# {"t_start": 1641588357.067676, "env_id": "Office-v0"} 
r,l,t
0.0,63,0.022866
0.0,149,0.073603
0.0,14,0.078497
0.0,27,0.087786
0.0,151,0.139385
0.0,111,0.177714
0.0,41,0.191611
0.0,47,0.207628
0.0,108,0.244763
0.0,238,0.329415
0.0,229,0.40968
0.0,89,0.439928
0.0,168,0.497373
0.0,232,0.576617
0.0,205,0.647452
0.0,85,0.676487
0.0,61,0.697608
0.0,340,0.815791
0.0,349,0.935215
0.0,321,1.045307
0.0,265,1.137996
0.0,258,1.226275
0.0,280,1.322694
0.0,350,1.444129
0.0,623,1.657214
0.0,376,1.787652
0.0,466,1.950047
0.0,129,1.993838
0.0,263,2.084976
0.0,382,2.217447
0.0,128,2.261344
0.0,221,2.336975
0.0,314,2.446052
1.0,434,2.595904
0.0,36,2.608266
0.0,12,2.612377
0.0,57,2.631831
0.0,169,2.689596
0.0,405,2.829175
0.0,339,2.94754
0.0,146,2.998005
0.0,18,3.00435
0.0,197,3.071867
0.0,393,3.20796
0.0,1000,3.552722
0.0,293,3.653389
0.0,931,3.977991
0.0,37,3.990825
0.0,315,4.100052
0.0,1000,4.445735
0.0,458,4.604113
0.0,733,4.857167
0.0,12,4.861447
0.0,288,4.960643
0.0,1000,5.30696
0.0,78,5.333802
0.0,554,5.523284
0.0,194,5.592174
0.0,160,5.647968
0.0,40,5.661798
0.0,331,5.775093
0.0,756,6.036079
0.0,115,6.07571
0.0,592,6.279767
0.0,34,6.291538
0.0,190,6.356615
0.0,353,6.477615
0.0,338,6.594292
1.0,333,6.709269
0.0,378,6.838941
0.0,55,6.858082
0.0,456,7.017827
1.0,99,7.052347
0.0,90,7.083116
0.0,197,7.151229
0.0,643,7.374371
0.0,167,7.432467
0.0,449,7.585383
1.0,595,7.791512
0.0,228,7.869669
1.0,194,7.935882
0.0,11,7.939702
0.0,1000,8.288723
0.0,1000,8.636224
1.0,110,8.676317
1.0,829,8.962785
0.0,831,9.250915
0.0,646,9.475417
1.0,163,9.531811
1.0,372,9.65957
0.0,1000,10.005477
0.0,51,10.023086
0.0,173,10.084555
0.0,181,10.147438
1.0,262,10.236718
0.0,63,10.258318
1.0,60,10.278919
1.0,434,10.429887
0.0,1000,10.779486
0.0,121,10.82134
1.0,77,10.848059
0.0,147,10.898247
1.0,298,11.000661
0.0,37,11.013357
1.0,180,11.076268
1.0,306,11.183161
0.0,64,11.204784
0.0,288,11.304294
1.0,41,11.318316
1.0,273,11.412367
1.0,329,11.526871
0.0,335,11.643391
1.0,128,11.687314
0.0,317,11.797404
1.0,427,11.946299
0.0,237,12.028322
1.0,32,12.03935
1.0,110,12.076978
0.0,432,12.226262
0.0,814,12.507083
0.0,7,12.509737
1.0,471,12.671652
1.0,209,12.743235
1.0,246,12.828836
1.0,101,12.864143
0.0,121,12.905269
0.0,325,13.017499
0.0,137,13.064521
1.0,53,13.082795
1.0,296,13.186682
1.0,530,13.372903
0.0,252,13.461701
1.0,156,13.516068
1.0,603,13.727353
0.0,98,13.76093
0.0,214,13.834815
1.0,18,13.84101
1.0,267,13.935351
1.0,173,13.995018
1.0,315,14.104562
1.0,18,14.110768
1.0,292,14.213482
0.0,14,14.218442
0.0,193,14.285856
1.0,18,14.292308
1.0,149,14.343806
0.0,16,14.349391
1.0,162,14.405644
1.0,18,14.411923
1.0,157,14.465849
0.0,291,14.567168
0.0,64,14.590039
1.0,20,14.596941
1.0,370,14.724592
1.0,493,14.895212
1.0,139,14.944612
1.0,20,14.951495
1.0,142,15.000573
1.0,272,15.094615
0.0,151,15.147293
1.0,20,15.154273
1.0,210,15.22633
1.0,197,15.295553
1.0,114,15.334996
1.0,26,15.343997
0.0,122,15.385854
0.0,14,15.390689
0.0,123,15.433165
1.0,20,15.440043
0.0,44,15.455093
1.0,317,15.564709
0.0,105,15.60153
1.0,20,15.609076
0.0,89,15.640429
0.0,25,15.649147
1.0,446,15.803092
1.0,20,15.809925
0.0,50,15.827103
0.0,314,15.935331
1.0,421,16.082469
1.0,22,16.089979
