episodes,steps,total reward
12,1000,0.0
16,2000,0.0
21,3000,0.0
25,4000,0.0
28,5000,0.0
30,6000,0.0
33,7000,0.0
35,8000,0.0
38,9000,0.0
41,10000,0.0
42,11000,0.0
44,12000,0.0
45,13000,0.0
47,14000,0.0
51,15000,0.0
52,16000,0.0
54,17000,0.0
57,18000,0.0
60,19000,0.0
65,20000,0.0
66,21000,0.0
68,22000,0.0
69,23000,0.0
73,24000,0.0
76,25000,0.0
77,26000,0.0
79,27000,1.0
82,28000,0.0
83,29000,0.0
87,30000,1.0
91,31000,2.0
97,32000,2.0
99,33000,1.0
108,34000,7.0
117,35000,6.0
125,36000,6.0
134,37000,9.0
139,38000,2.0
147,39000,7.0
160,40000,9.0
175,41000,9.0
189,42000,12.0
202,43000,10.0
216,44000,10.0
228,45000,11.0
241,46000,12.0
255,47000,10.0
272,48000,9.0
286,49000,11.0
301,50000,10.0
315,51000,10.0
328,52000,11.0
345,53000,9.0
359,54000,11.0
374,55000,11.0
390,56000,8.0
403,57000,13.0
417,58000,10.0
431,59000,11.0
448,60000,9.0
464,61000,10.0
479,62000,9.0
492,63000,11.0
505,64000,10.0
519,65000,11.0
532,66000,10.0
548,67000,11.0
562,68000,12.0
576,69000,10.0
591,70000,10.0
606,71000,11.0
623,72000,10.0
635,73000,10.0
648,74000,11.0
661,75000,10.0
676,76000,11.0
690,77000,11.0
706,78000,10.0
719,79000,12.0
733,80000,9.0
747,81000,11.0
760,82000,10.0
775,83000,12.0
791,84000,10.0
804,85000,13.0
819,86000,9.0
832,87000,10.0
847,88000,11.0
862,89000,9.0
875,90000,10.0
889,91000,13.0
902,92000,12.0
915,93000,11.0
930,94000,11.0
943,95000,12.0
958,96000,10.0
972,97000,12.0
987,98000,12.0
1000,99000,11.0
1013,100000,11.0
