# {"t_start": 1642019307.4547758, "env_id": "Office-single-v0"} 
r,l,t
0.0,5,0.001499
0.0,99,0.027953
0.0,229,0.085582
0.0,29,0.093067
0.0,7,0.094893
0.0,110,0.123465
0.0,177,0.168712
0.0,170,0.212599
0.0,132,0.246557
0.0,92,0.270471
0.0,69,0.287875
0.0,44,0.299038
0.0,136,0.333691
0.0,50,0.346339
0.0,182,0.392905
0.0,112,0.421698
0.0,13,0.425059
0.0,255,0.490198
0.0,307,0.568864
0.0,353,0.65917
0.0,359,0.752228
0.0,194,0.801957
0.0,303,0.879961
0.0,212,0.934232
0.0,264,1.001749
0.0,156,1.041648
0.0,718,1.225837
0.0,138,1.261243
0.0,237,1.322179
0.0,617,1.479995
0.0,94,1.504129
0.0,292,1.57874
0.0,352,1.668554
0.0,813,1.876504
0.0,51,1.889604
0.0,13,1.892951
0.0,1000,2.148777
0.0,371,2.243206
0.0,552,2.384264
0.0,172,2.428176
0.0,637,2.592523
0.0,675,2.765685
0.0,1000,3.021174
0.0,78,3.041043
0.0,95,3.065646
0.0,289,3.139672
0.0,739,3.329309
0.0,879,3.554336
0.0,506,3.68401
0.0,1000,3.939489
0.0,1000,4.194724
0.0,534,4.331688
0.0,140,4.367557
0.0,141,4.403395
0.0,358,4.495621
0.0,127,4.527989
0.0,37,4.537386
0.0,845,4.75324
0.0,101,4.779073
0.0,1000,5.035637
0.0,293,5.111243
0.0,68,5.128986
0.0,298,5.205824
0.0,1000,5.463167
0.0,271,5.533002
0.0,1000,5.792363
0.0,33,5.801028
0.0,351,5.891667
0.0,832,6.105831
0.0,265,6.174072
0.0,1000,6.431808
0.0,669,6.604425
0.0,934,6.845134
0.0,279,6.917037
0.0,1000,7.179898
1.0,196,7.231912
0.0,807,7.446159
0.0,398,7.550873
1.0,246,7.615921
1.0,483,7.74411
1.0,836,7.961738
1.0,148,7.999746
0.0,76,8.01926
0.0,52,8.032532
0.0,57,8.047179
0.0,1000,8.302607
0.0,531,8.439004
1.0,113,8.467993
1.0,94,8.492449
0.0,344,8.581136
1.0,84,8.602771
0.0,530,8.738562
1.0,100,8.764456
0.0,11,8.767272
1.0,106,8.794261
0.0,53,8.807776
1.0,77,8.827534
1.0,480,8.95058
0.0,39,8.960531
1.0,73,8.979322
1.0,86,9.001276
0.0,62,9.017171
1.0,81,9.037788
0.0,150,9.076317
1.0,77,9.096197
0.0,63,9.11226
1.0,81,9.133099
1.0,78,9.153111
0.0,17,9.157471
1.0,77,9.177342
0.0,37,9.186814
0.0,342,9.27441
0.0,161,9.315704
1.0,78,9.335871
1.0,83,9.357289
1.0,83,9.378611
1.0,79,9.399001
0.0,56,9.413435
1.0,80,9.434077
1.0,77,9.453813
1.0,75,9.473161
1.0,120,9.50407
0.0,79,9.524266
1.0,87,9.547021
1.0,81,9.567754
1.0,79,9.588222
1.0,83,9.60953
0.0,49,9.622152
1.0,79,9.642387
1.0,106,9.669538
0.0,36,9.678766
1.0,96,9.703469
1.0,77,9.723196
1.0,75,9.742502
0.0,52,9.755953
1.0,77,9.775845
1.0,82,9.796811
1.0,79,9.817197
1.0,79,9.837455
1.0,75,9.856753
1.0,79,9.877038
1.0,80,9.897618
0.0,50,9.910467
1.0,78,9.930546
1.0,80,9.951024
0.0,44,9.962336
1.0,73,9.981097
1.0,79,10.001769
1.0,77,10.021726
1.0,80,10.042251
1.0,81,10.063045
1.0,78,10.083097
1.0,84,10.104582
1.0,79,10.124913
0.0,18,10.129524
1.0,71,10.148093
1.0,83,10.169327
1.0,84,10.190824
0.0,70,10.208803
1.0,75,10.228141
1.0,78,10.248165
1.0,79,10.268474
1.0,79,10.288683
1.0,75,10.308612
1.0,78,10.328913
1.0,77,10.34879
1.0,91,10.372098
1.0,80,10.392692
1.0,91,10.416021
1.0,81,10.436753
1.0,73,10.455624
1.0,94,10.479603
1.0,82,10.500877
1.0,85,10.522534
0.0,57,10.537172
1.0,81,10.557891
0.0,42,10.56872
1.0,84,10.590204
1.0,73,10.609047
1.0,87,10.631321
1.0,83,10.652615
0.0,13,10.655929
0.0,72,10.674364
1.0,80,10.694911
1.0,84,10.716458
1.0,78,10.7365
0.0,7,10.73849
1.0,77,10.758617
1.0,78,10.778583
1.0,96,10.803216
0.0,82,10.824166
1.0,77,10.843994
1.0,91,10.867304
1.0,82,10.888395
1.0,81,10.909216
1.0,80,10.929664
1.0,75,10.949001
1.0,77,10.968658
1.0,74,10.987634
1.0,81,11.008338
1.0,83,11.029595
1.0,79,11.049819
0.0,61,11.065486
0.0,7,11.06729
0.0,60,11.082714
1.0,83,11.104112
1.0,85,11.125806
1.0,83,11.147043
1.0,96,11.171572
1.0,82,11.192483
1.0,78,11.21251
1.0,89,11.235437
1.0,73,11.25435
1.0,80,11.274825
1.0,89,11.297647
1.0,82,11.318651
1.0,75,11.33796
0.0,18,11.342926
1.0,73,11.361888
1.0,81,11.382705
1.0,79,11.403024
1.0,75,11.422276
1.0,77,11.442047
1.0,78,11.46207
1.0,89,11.484978
1.0,84,11.506402
0.0,13,11.509723
1.0,80,11.530287
1.0,85,11.552191
1.0,79,11.572489
0.0,73,11.591266
1.0,77,11.61104
0.0,48,11.623435
1.0,78,11.643401
1.0,77,11.663221
0.0,18,11.667846
0.0,9,11.67016
1.0,107,11.697512
0.0,59,11.712881
1.0,79,11.733143
1.0,80,11.753811
1.0,87,11.776099
1.0,96,11.800558
1.0,81,11.821345
1.0,77,11.841056
0.0,24,11.847169
1.0,75,11.866428
1.0,77,11.8862
1.0,81,11.906955
1.0,82,11.928015
0.0,55,11.942349
1.0,78,11.962696
1.0,90,11.985984
0.0,28,11.993194
1.0,86,12.015215
1.0,75,12.034431
0.0,44,12.045747
1.0,79,12.065948
0.0,20,12.071056
1.0,75,12.090431
0.0,77,12.110191
1.0,89,12.13297
1.0,76,12.152531
1.0,76,12.171979
1.0,82,12.193038
1.0,82,12.213979
1.0,81,12.234769
1.0,74,12.253886
1.0,74,12.272981
1.0,79,12.293202
1.0,79,12.313497
1.0,79,12.333731
1.0,89,12.356509
0.0,63,12.372686
0.0,41,12.383312
1.0,82,12.404276
0.0,48,12.416599
1.0,73,12.435459
0.0,52,12.448792
1.0,75,12.468146
1.0,80,12.488693
1.0,73,12.507488
1.0,85,12.529337
1.0,93,12.553617
1.0,81,12.574557
0.0,20,12.579647
1.0,85,12.601454
1.0,77,12.621239
0.0,49,12.633789
1.0,85,12.655576
1.0,84,12.677027
1.0,84,12.698524
1.0,78,12.718488
1.0,80,12.739059
1.0,83,12.760502
1.0,83,12.78178
1.0,99,12.807921
1.0,81,12.82871
1.0,82,12.849745
0.0,7,12.851557
1.0,84,12.873439
0.0,61,12.889584
1.0,85,12.912029
1.0,85,12.933899
1.0,81,12.954736
0.0,11,12.957565
1.0,76,12.977015
1.0,79,12.997323
1.0,86,13.019295
1.0,78,13.039361
0.0,40,13.049604
0.0,48,13.061947
1.0,71,13.080219
1.0,88,13.102789
1.0,79,13.12307
0.0,7,13.124875
1.0,87,13.147662
1.0,80,13.168135
1.0,75,13.187422
1.0,73,13.206139
1.0,84,13.227792
1.0,81,13.248579
0.0,51,13.261678
1.0,75,13.280939
1.0,77,13.300781
1.0,82,13.321791
1.0,82,13.342984
1.0,83,13.364474
1.0,75,13.38381
0.0,56,13.398134
1.0,85,13.42002
1.0,78,13.440086
1.0,76,13.459574
1.0,85,13.481445
0.0,7,13.483238
1.0,73,13.502059
0.0,13,13.505397
1.0,85,13.527217
1.0,83,13.54846
1.0,78,13.568576
1.0,84,13.59012
1.0,91,13.613278
1.0,75,13.632647
1.0,74,13.651556
0.0,11,13.654358
1.0,75,13.673635
1.0,83,13.694948
1.0,93,13.718918
1.0,77,13.738673
1.0,88,13.761994
1.0,82,13.78309
1.0,77,13.802831
1.0,77,13.822685
1.0,77,13.842424
1.0,79,13.862769
1.0,77,13.882626
1.0,75,13.90198
1.0,75,13.92122
1.0,79,13.941551
1.0,82,13.962651
0.0,7,13.964506
1.0,75,13.98396
0.0,52,13.997316
1.0,79,14.017569
1.0,74,14.036528
1.0,80,14.057133
1.0,77,14.077004
1.0,79,14.097434
1.0,84,14.119028
1.0,75,14.138271
1.0,78,14.158364
1.0,79,14.178697
0.0,22,14.184333
0.0,80,14.204908
0.0,65,14.221591
0.0,15,14.225406
1.0,87,14.247825
1.0,90,14.270971
1.0,82,14.291965
1.0,81,14.312816
0.0,50,14.325691
0.0,24,14.331818
0.0,9,14.334128
1.0,77,14.35439
1.0,77,14.374223
1.0,75,14.393597
1.0,91,14.416943
0.0,49,14.42961
1.0,76,14.449041
1.0,80,14.469634
1.0,83,14.490894
1.0,91,14.514201
1.0,80,14.534789
1.0,79,14.554996
1.0,81,14.575855
1.0,73,14.594616
1.0,75,14.614
0.0,34,14.622683
0.0,39,14.63263
1.0,86,14.654678
1.0,73,14.673369
0.0,60,14.688854
1.0,71,14.707165
0.0,20,14.712366
0.0,65,14.729189
1.0,75,14.748485
0.0,34,14.757279
1.0,75,14.776661
1.0,83,14.797928
0.0,33,14.806484
1.0,77,14.826266
1.0,82,14.847314
1.0,75,14.866583
1.0,83,14.887981
1.0,84,14.909494
1.0,80,14.93003
1.0,86,14.95245
1.0,79,14.972701
0.0,35,14.981641
1.0,74,15.000938
0.0,50,15.014036
1.0,78,15.03413
1.0,82,15.055156
1.0,89,15.077941
0.0,54,15.091782
1.0,82,15.112824
1.0,86,15.134745
1.0,78,15.15479
0.0,42,15.165468
1.0,88,15.188081
1.0,79,15.208336
1.0,79,15.228854
0.0,65,15.245592
0.0,38,15.255492
0.0,38,15.265242
1.0,87,15.287578
1.0,80,15.308126
0.0,22,15.313761
1.0,87,15.33621
1.0,87,15.358477
1.0,83,15.379971
0.0,20,15.385081
1.0,84,15.406754
0.0,62,15.422598
1.0,91,15.446475
1.0,91,15.469991
0.0,38,15.480064
0.0,53,15.493735
1.0,84,15.515284
0.0,54,15.529208
1.0,79,15.549594
0.0,59,15.565155
1.0,83,15.586507
0.0,11,15.58934
0.0,36,15.598754
1.0,78,15.618826
1.0,84,15.640429
0.0,9,15.642724
1.0,79,15.662924
0.0,13,15.666273
1.0,82,15.687359
0.0,22,15.69299
0.0,64,15.709455
1.0,82,15.730465
1.0,79,15.750911
1.0,84,15.772397
0.0,55,15.786609
0.0,9,15.788925
0.0,34,15.797598
1.0,77,15.81735
1.0,85,15.839187
1.0,87,15.861531
1.0,81,15.882509
0.0,40,15.892729
1.0,85,15.914586
1.0,72,15.933031
1.0,87,15.955348
1.0,74,15.974488
1.0,77,15.994256
1.0,83,16.015574
1.0,85,16.037659
1.0,84,16.059555
1.0,82,16.080593
1.0,77,16.100432
1.0,78,16.120435
1.0,78,16.140511
1.0,73,16.159663
0.0,47,16.171828
1.0,84,16.193317
1.0,84,16.21495
1.0,72,16.233432
1.0,82,16.254784
0.0,20,16.259905
1.0,79,16.280312
0.0,11,16.28312
0.0,75,16.302356
1.0,83,16.323797
1.0,85,16.345583
1.0,83,16.367004
1.0,77,16.386824
1.0,80,16.407426
1.0,82,16.428575
0.0,24,16.434715
1.0,81,16.455527
1.0,77,16.475327
0.0,16,16.479435
1.0,81,16.500256
1.0,77,16.520164
0.0,20,16.525292
0.0,50,16.538069
1.0,82,16.55923
1.0,78,16.579332
1.0,75,16.598538
1.0,80,16.619187
1.0,81,16.640082
0.0,13,16.643421
0.0,34,16.652134
1.0,76,16.671719
0.0,16,16.675829
0.0,65,16.692674
1.0,77,16.712433
1.0,84,16.734027
1.0,80,16.755048
1.0,76,16.774728
0.0,59,16.789869
1.0,77,16.809777
1.0,76,16.829278
0.0,36,16.838468
1.0,79,16.858816
1.0,79,16.879071
1.0,77,16.898933
1.0,82,16.920005
0.0,39,16.929902
0.0,58,16.944676
1.0,77,16.965151
1.0,83,16.986388
1.0,82,17.007567
1.0,80,17.028042
1.0,77,17.047876
0.0,13,17.051159
1.0,86,17.073281
0.0,11,17.076137
1.0,81,17.0971
0.0,68,17.114545
0.0,9,17.116864
1.0,80,17.137326
1.0,73,17.15617
1.0,81,17.176927
0.0,70,17.194801
1.0,80,17.215314
0.0,34,17.224126
1.0,75,17.243386
1.0,81,17.264326
1.0,82,17.285423
1.0,77,17.305257
1.0,77,17.324986
1.0,81,17.345819
0.0,63,17.36243
1.0,79,17.382861
1.0,74,17.401934
1.0,82,17.422993
1.0,80,17.44342
0.0,53,17.457016
0.0,52,17.470412
1.0,74,17.489491
0.0,26,17.496134
1.0,73,17.514856
1.0,79,17.535189
1.0,79,17.555365
1.0,73,17.574205
0.0,9,17.576514
1.0,74,17.595462
1.0,77,17.615289
0.0,23,17.621155
1.0,87,17.643479
0.0,38,17.653222
1.0,81,17.674043
1.0,81,17.694757
0.0,11,17.697579
1.0,85,17.71959
1.0,74,17.738537
1.0,78,17.758622
0.0,64,17.774889
1.0,78,17.795014
1.0,83,17.816305
1.0,82,17.837354
0.0,46,17.849144
1.0,75,17.868498
1.0,103,17.894802
1.0,81,17.915648
1.0,79,17.935866
1.0,77,17.956043
1.0,75,17.975366
0.0,53,17.989057
1.0,83,18.010308
0.0,36,18.019925
1.0,88,18.042834
1.0,89,18.066296
0.0,23,18.072301
0.0,40,18.082532
1.0,73,18.101434
1.0,78,18.121413
1.0,85,18.143251
0.0,46,18.154969
1.0,80,18.175652
0.0,33,18.184117
1.0,85,18.205966
1.0,83,18.227226
1.0,80,18.247794
1.0,74,18.266823
1.0,78,18.286874
1.0,79,18.307226
1.0,88,18.329746
1.0,80,18.35033
1.0,77,18.370234
1.0,75,18.389612
1.0,77,18.409478
0.0,38,18.419211
1.0,88,18.441825
1.0,75,18.461071
1.0,81,18.481964
0.0,42,18.492692
0.0,52,18.506134
1.0,83,18.52735
1.0,78,18.547391
1.0,78,18.567597
1.0,74,18.586792
0.0,40,18.597121
0.0,24,18.603264
1.0,76,18.622866
1.0,86,18.644998
0.0,22,18.650649
1.0,83,18.672077
0.0,50,18.684877
0.0,15,18.688669
1.0,79,18.709049
1.0,82,18.730135
1.0,75,18.749513
0.0,16,18.753652
1.0,77,18.773506
1.0,85,18.795282
1.0,75,18.814672
1.0,80,18.835239
0.0,13,18.838538
0.0,32,18.846851
0.0,22,18.852508
1.0,82,18.873507
0.0,22,18.879236
0.0,7,18.881038
1.0,81,18.901917
0.0,40,18.912161
1.0,78,18.932279
1.0,81,18.953236
1.0,73,18.972142
1.0,79,18.992355
1.0,79,19.012717
1.0,77,19.032545
1.0,73,19.051403
1.0,80,19.071899
1.0,88,19.094513
1.0,79,19.114918
1.0,86,19.136933
1.0,89,19.159832
1.0,78,19.179865
0.0,20,19.185014
1.0,73,19.203796
1.0,73,19.222723
1.0,86,19.245178
1.0,81,19.266115
1.0,77,19.285935
1.0,88,19.308522
0.0,38,19.318254
1.0,77,19.338156
1.0,86,19.360197
1.0,77,19.380175
1.0,77,19.399976
1.0,80,19.420601
1.0,81,19.441428
1.0,83,19.462837
1.0,73,19.481636
1.0,78,19.501772
1.0,77,19.521561
1.0,81,19.542434
1.0,80,19.562942
1.0,78,19.583078
1.0,80,19.603728
1.0,83,19.625001
1.0,73,19.643912
1.0,85,19.665662
1.0,82,19.686753
1.0,80,19.707275
1.0,91,19.730564
1.0,75,19.74992
1.0,93,19.77388
1.0,87,19.796282
1.0,81,19.81756
0.0,11,19.820431
0.0,48,19.832814
1.0,78,19.852862
0.0,56,19.867308
1.0,94,19.891407
1.0,87,19.913769
1.0,76,19.933287
0.0,51,19.946379
1.0,81,19.967166
0.0,20,19.972282
1.0,76,19.992054
1.0,85,20.014029
1.0,78,20.034128
1.0,78,20.054061
1.0,79,20.074383
0.0,47,20.086541
1.0,79,20.106967
1.0,75,20.126246
1.0,83,20.147606
1.0,75,20.166819
1.0,77,20.186712
1.0,73,20.205472
0.0,7,20.207281
1.0,73,20.22612
0.0,62,20.241946
1.0,88,20.264738
0.0,57,20.279295
1.0,81,20.300178
1.0,80,20.320646
1.0,84,20.342177
1.0,82,20.363341
1.0,77,20.383073
1.0,75,20.402533
1.0,84,20.424065
1.0,76,20.443691
1.0,75,20.462945
1.0,77,20.482757
1.0,87,20.504982
1.0,81,20.525848
1.0,73,20.544559
1.0,80,20.565256
0.0,34,20.573919
1.0,77,20.594059
1.0,77,20.613996
1.0,75,20.633528
1.0,95,20.657772
1.0,77,20.677675
1.0,79,20.698027
1.0,83,20.719417
1.0,89,20.742515
1.0,80,20.763068
0.0,67,20.780364
1.0,77,20.800254
1.0,79,20.820692
1.0,87,20.842962
0.0,22,20.848686
0.0,39,20.858729
1.0,88,20.881241
1.0,81,20.902122
1.0,89,20.924969
1.0,79,20.945317
1.0,73,20.964026
1.0,80,20.984693
1.0,79,21.005095
1.0,73,21.023908
0.0,27,21.030765
0.0,18,21.035368
0.0,22,21.041108
0.0,37,21.050577
0.0,38,21.06037
1.0,77,21.080444
1.0,73,21.0992
1.0,73,21.118169
1.0,79,21.139288
1.0,77,21.159225
1.0,86,21.181242
1.0,75,21.200619
1.0,97,21.225565
1.0,79,21.24592
1.0,76,21.265501
0.0,18,21.270187
1.0,76,21.289625
1.0,75,21.309016
1.0,78,21.328974
1.0,81,21.349873
1.0,79,21.370195
0.0,11,21.373015
1.0,77,21.393
0.0,24,21.399163
1.0,79,21.419512
1.0,78,21.439555
1.0,81,21.460486
0.0,7,21.462282
1.0,81,21.483128
1.0,81,21.504025
0.0,11,21.506822
0.0,54,21.520698
0.0,67,21.53796
1.0,77,21.557688
0.0,39,21.567914
1.0,81,21.588866
1.0,77,21.608796
1.0,77,21.628515
1.0,75,21.64788
0.0,38,21.657589
1.0,82,21.678645
1.0,77,21.698515
0.0,36,21.707738
1.0,76,21.727372
1.0,85,21.749152
1.0,80,21.769815
1.0,85,21.791643
1.0,77,21.811841
0.0,51,21.824924
1.0,75,21.844256
1.0,77,21.864021
1.0,75,21.883715
1.0,79,21.90428
1.0,75,21.923658
1.0,78,21.943677
1.0,80,21.964553
1.0,83,21.986187
0.0,22,21.991911
1.0,77,22.01167
0.0,58,22.026627
1.0,82,22.047657
1.0,83,22.069026
1.0,81,22.08972
1.0,75,22.109197
1.0,72,22.127771
1.0,75,22.147109
1.0,81,22.167904
1.0,81,22.188727
0.0,13,22.192083
1.0,79,22.212358
1.0,89,22.235357
0.0,41,22.245858
1.0,79,22.266526
1.0,75,22.286041
1.0,79,22.30639
0.0,35,22.315348
1.0,81,22.336233
0.0,52,22.349573
1.0,86,22.371744
1.0,77,22.391775
1.0,77,22.412097
1.0,91,22.435371
1.0,79,22.455718
0.0,46,22.467439
0.0,34,22.476154
1.0,78,22.496222
1.0,83,22.517546
1.0,83,22.538819
1.0,79,22.559209
1.0,77,22.578928
0.0,15,22.582787
0.0,65,22.599546
1.0,88,22.622008
1.0,80,22.642664
0.0,11,22.645543
1.0,75,22.664749
1.0,74,22.68388
1.0,73,22.702616
1.0,79,22.723026
0.0,11,22.725823
1.0,77,22.745761
1.0,81,22.766949
0.0,48,22.779377
0.0,34,22.788215
1.0,77,22.807921
1.0,81,22.828709
1.0,83,22.850115
1.0,79,22.870459
1.0,77,22.890462
1.0,81,22.91157
1.0,86,22.933647
1.0,75,22.952965
1.0,79,22.973337
1.0,82,22.994353
0.0,17,22.998693
1.0,76,23.018436
1.0,81,23.039153
1.0,79,23.059543
0.0,19,23.064388
1.0,79,23.084823
1.0,75,23.104402
1.0,77,23.124269
1.0,79,23.144511
0.0,16,23.148674
1.0,87,23.171232
1.0,85,23.193175
1.0,77,23.21329
1.0,85,23.235415
1.0,82,23.256712
1.0,76,23.276591
1.0,79,23.296825
1.0,79,23.317192
1.0,81,23.338035
0.0,9,23.340355
0.0,61,23.356259
0.0,25,23.362736
1.0,90,23.386039
1.0,77,23.40604
1.0,79,23.426349
1.0,84,23.447868
1.0,77,23.467754
1.0,79,23.488062
1.0,88,23.510662
0.0,16,23.514755
1.0,79,23.534973
1.0,84,23.556595
1.0,82,23.577744
1.0,81,23.598584
1.0,78,23.618957
1.0,81,23.639706
1.0,77,23.659583
1.0,75,23.678883
0.0,50,23.691815
1.0,76,23.711311
1.0,80,23.732091
1.0,81,23.753161
0.0,24,23.75932
1.0,78,23.779703
1.0,76,23.799259
1.0,78,23.819308
0.0,58,23.834127
1.0,88,23.856772
1.0,80,23.877344
0.0,13,23.881011
1.0,77,23.901576
1.0,78,23.921656
1.0,84,23.943093
1.0,79,23.963651
1.0,79,23.9839
1.0,84,24.005498
1.0,80,24.026023
1.0,75,24.045459
0.0,13,24.048807
1.0,82,24.069946
1.0,89,24.092684
1.0,86,24.11472
1.0,73,24.133479
1.0,78,24.153547
1.0,81,24.174306
1.0,78,24.194556
1.0,84,24.216258
0.0,59,24.231562
1.0,81,24.252753
1.0,75,24.272396
1.0,82,24.29353
0.0,58,24.308356
0.0,61,24.323991
1.0,79,24.344396
0.0,36,24.353627
1.0,79,24.374044
0.0,46,24.386216
1.0,90,24.409678
1.0,79,24.429998
1.0,85,24.451833
1.0,79,24.472
1.0,89,24.494799
1.0,86,24.516768
1.0,80,24.537368
1.0,78,24.557384
1.0,81,24.578182
1.0,81,24.599091
1.0,81,24.61995
1.0,94,24.644077
0.0,79,24.664306
1.0,81,24.685146
1.0,77,24.704897
1.0,83,24.726284
1.0,98,24.751835
1.0,80,24.772562
1.0,81,24.793383
1.0,79,24.813846
1.0,82,24.83493
1.0,77,24.854727
1.0,79,24.875111
1.0,82,24.89672
1.0,80,24.917364
1.0,82,24.938463
1.0,82,24.959539
1.0,84,24.981116
0.0,36,24.990571
1.0,76,25.010282
1.0,81,25.031182
0.0,34,25.039905
1.0,77,25.05978
1.0,87,25.082029
1.0,88,25.104645
1.0,83,25.126027
0.0,36,25.135247
1.0,84,25.156822
1.0,79,25.177178
1.0,91,25.20067
1.0,79,25.220928
0.0,9,25.223314
1.0,86,25.245439
1.0,78,25.265723
1.0,75,25.285344
1.0,81,25.306083
1.0,81,25.327003
0.0,52,25.340358
1.0,84,25.362027
0.0,13,25.36537
1.0,87,25.388011
1.0,85,25.410323
1.0,73,25.429365
1.0,79,25.449621
1.0,82,25.470797
1.0,75,25.490075
1.0,71,25.508479
1.0,94,25.532525
1.0,78,25.552648
0.0,61,25.568377
1.0,85,25.590281
1.0,81,25.611018
1.0,79,25.631356
1.0,77,25.651097
1.0,77,25.670954
1.0,83,25.692337
1.0,80,25.712906
1.0,79,25.733249
1.0,73,25.75257
1.0,74,25.772167
1.0,84,25.793914
1.0,77,25.813785
0.0,67,25.830888
1.0,76,25.850512
0.0,9,25.85283
1.0,92,25.876303
1.0,82,25.897944
1.0,82,25.919009
0.0,35,25.928045
1.0,83,25.949243
0.0,20,25.954386
1.0,73,25.973308
1.0,83,25.994574
1.0,84,26.01639
1.0,77,26.036316
1.0,74,26.055313
1.0,77,26.075131
0.0,20,26.080253
1.0,71,26.098587
1.0,77,26.11849
1.0,77,26.138179
1.0,78,26.158303
1.0,76,26.177798
1.0,79,26.198234
1.0,74,26.217166
1.0,86,26.23933
1.0,75,26.258937
1.0,77,26.279057
1.0,75,26.298435
0.0,22,26.304042
0.0,15,26.30791
0.0,50,26.320723
1.0,78,26.340841
1.0,83,26.362185
1.0,82,26.38354
1.0,79,26.403992
1.0,78,26.424123
1.0,80,26.444539
1.0,92,26.468131
0.0,16,26.472255
0.0,22,26.477891
1.0,81,26.498776
1.0,92,26.522172
1.0,92,26.545799
1.0,80,26.566389
0.0,32,26.574622
1.0,80,26.595114
1.0,75,26.614601
1.0,85,26.63637
1.0,73,26.655257
1.0,81,26.676074
1.0,83,26.697326
1.0,73,26.716162
1.0,83,26.737557
1.0,81,26.758817
0.0,22,26.764467
1.0,79,26.784827
0.0,81,26.805638
0.0,34,26.814314
1.0,73,26.833155
1.0,78,26.853111
1.0,90,26.876143
1.0,75,26.895926
1.0,79,26.916207
1.0,88,26.939017
1.0,78,26.95931
1.0,87,26.98195
1.0,90,27.005045
1.0,78,27.025152
1.0,83,27.046444
1.0,76,27.066085
1.0,79,27.086356
1.0,80,27.10697
1.0,85,27.128731
1.0,73,27.1475
1.0,105,27.174462
0.0,34,27.183219
1.0,84,27.204691
0.0,22,27.210432
1.0,83,27.231964
1.0,77,27.252186
1.0,78,27.272365
1.0,90,27.295387
1.0,86,27.317338
0.0,15,27.321267
1.0,82,27.3422
1.0,77,27.362103
1.0,78,27.382381
0.0,17,27.386709
1.0,87,27.409226
1.0,91,27.432417
1.0,75,27.451697
0.0,71,27.469983
1.0,76,27.489537
1.0,83,27.510938
1.0,83,27.532203
1.0,73,27.551011
1.0,77,27.570762
1.0,79,27.591178
1.0,82,27.612213
0.0,60,27.627682
0.0,20,27.632775
1.0,83,27.65397
1.0,80,27.674506
1.0,78,27.694436
0.0,15,27.698395
0.0,63,27.714535
0.0,18,27.719154
1.0,87,27.741577
1.0,80,27.762427
1.0,78,27.782743
1.0,83,27.804021
1.0,75,27.823571
1.0,77,27.843275
0.0,34,27.852106
1.0,81,27.872823
1.0,81,27.893865
1.0,74,27.913081
1.0,73,27.93192
0.0,34,27.940622
0.0,37,27.950131
0.0,11,27.952938
1.0,91,27.976417
1.0,92,28.000067
1.0,81,28.020779
0.0,11,28.023612
1.0,77,28.043504
1.0,73,28.062272
1.0,79,28.082651
1.0,81,28.103459
1.0,85,28.125299
1.0,78,28.1453
0.0,55,28.159512
1.0,84,28.181067
0.0,11,28.183883
1.0,82,28.204965
1.0,80,28.225538
0.0,46,28.23753
1.0,81,28.258542
0.0,54,28.27265
1.0,89,28.295367
1.0,86,28.317441
1.0,86,28.340167
1.0,84,28.362283
1.0,86,28.384565
1.0,81,28.405615
0.0,56,28.420177
0.0,61,28.436121
0.0,11,28.438977
1.0,80,28.459557
0.0,65,28.476198
1.0,77,28.496005
1.0,85,28.51771
1.0,75,28.536993
1.0,78,28.557028
0.0,81,28.577875
1.0,83,28.599138
1.0,84,28.620635
1.0,83,28.641857
1.0,74,28.660941
0.0,69,28.678614
1.0,96,28.703213
0.0,34,28.711929
1.0,86,28.734025
0.0,80,28.754931
1.0,80,28.775726
0.0,18,28.780698
1.0,77,28.800711
1.0,78,28.820646
1.0,71,28.838971
1.0,74,28.857913
1.0,80,28.878473
1.0,89,28.90175
1.0,84,28.923341
1.0,75,28.942576
1.0,77,28.962507
1.0,84,28.984076
1.0,77,29.003752
1.0,78,29.024256
1.0,74,29.043226
1.0,83,29.064544
1.0,75,29.083743
0.0,65,29.100472
1.0,75,29.119796
1.0,77,29.139612
0.0,55,29.153686
1.0,77,29.173451
1.0,77,29.19319
1.0,79,29.213441
0.0,20,29.218552
1.0,83,29.239779
1.0,80,29.260578
1.0,81,29.281543
0.0,24,29.287791
1.0,75,29.307007
1.0,79,29.327328
0.0,70,29.345213
1.0,83,29.366574
1.0,80,29.387292
1.0,89,29.410382
1.0,87,29.432553
0.0,13,29.435866
1.0,82,29.456921
1.0,88,29.480203
1.0,79,29.500493
1.0,73,29.519258
1.0,81,29.540035
1.0,78,29.560142
1.0,74,29.579112
1.0,81,29.599945
1.0,79,29.620505
1.0,82,29.641657
1.0,80,29.662131
1.0,78,29.682149
1.0,83,29.703494
1.0,81,29.724246
0.0,56,29.738704
0.0,17,29.743188
1.0,82,29.764443
1.0,72,29.783381
1.0,100,29.809072
1.0,79,29.829412
1.0,80,29.849937
1.0,81,29.870778
1.0,75,29.890265
1.0,75,29.909767
1.0,75,29.929081
1.0,73,29.947777
0.0,36,29.956985
1.0,82,29.978062
1.0,82,29.999319
0.0,59,30.014782
1.0,73,30.033481
1.0,74,30.052524
1.0,78,30.072497
1.0,83,30.093837
1.0,77,30.113607
1.0,83,30.134896
1.0,79,30.155157
1.0,86,30.177094
1.0,79,30.197418
