episodes,steps,total reward
35,10000,0.0
64,20000,0.0
88,30000,1.0
172,40000,59.0
315,50000,108.0
458,60000,104.0
601,70000,106.0
739,80000,105.0
881,90000,112.0
1022,100000,101.0
1161,110000,107.0
1303,120000,102.0
1441,130000,113.0
1577,140000,110.0
1716,150000,112.0
1856,160000,111.0
1995,170000,110.0
2135,180000,106.0
2274,190000,109.0
2408,200000,106.0
2551,210000,109.0
2691,220000,109.0
2836,230000,107.0
2976,240000,109.0
3114,250000,112.0
3256,260000,104.0
3398,270000,110.0
3543,280000,109.0
3682,290000,112.0
3826,300000,106.0
3970,310000,106.0
4112,320000,106.0
4256,330000,109.0
4393,340000,108.0
4539,350000,104.0
4683,360000,106.0
4822,370000,107.0
4967,380000,108.0
5105,390000,107.0
5254,400000,104.0
5390,410000,106.0
5532,420000,99.0
5672,430000,106.0
5814,440000,110.0
5948,450000,111.0
6091,460000,109.0
6225,470000,113.0
6367,480000,106.0
6507,490000,103.0
6651,500000,110.0
6784,510000,112.0
6928,520000,104.0
7067,530000,114.0
7205,540000,106.0
7351,550000,102.0
7491,560000,112.0
7630,570000,110.0
7764,580000,110.0
7907,590000,112.0
8046,600000,107.0
8190,610000,106.0
8331,620000,113.0
8469,630000,107.0
8606,640000,112.0
8747,650000,109.0
8889,660000,112.0
9029,670000,110.0
9169,680000,108.0
9309,690000,102.0
9453,700000,105.0
9598,710000,105.0
9740,720000,110.0
9887,730000,107.0
10032,740000,106.0
10172,750000,106.0
10315,760000,108.0
10462,770000,106.0
10606,780000,109.0
10744,790000,106.0
10879,800000,109.0
11026,810000,107.0
11160,820000,113.0
11304,830000,104.0
11446,840000,102.0
11587,850000,106.0
11726,860000,110.0
11866,870000,110.0
12009,880000,104.0
12159,890000,105.0
12303,900000,113.0
12443,910000,108.0
12585,920000,103.0
12721,930000,113.0
12863,940000,108.0
13005,950000,105.0
13144,960000,111.0
13282,970000,115.0
13425,980000,111.0
13563,990000,106.0
13701,1000000,110.0
