episodes,steps,total reward
11,1000,0.0
15,2000,0.0
19,3000,0.0
24,4000,0.0
26,5000,0.0
28,6000,0.0
31,7000,0.0
32,8000,0.0
34,9000,0.0
36,10000,0.0
37,11000,0.0
39,12000,0.0
40,13000,0.0
41,14000,0.0
45,15000,1.0
53,16000,0.0
54,17000,0.0
56,18000,0.0
58,19000,1.0
60,20000,0.0
63,21000,1.0
65,22000,0.0
66,23000,1.0
70,24000,2.0
72,25000,1.0
77,26000,2.0
78,27000,0.0
82,28000,2.0
89,29000,1.0
93,30000,1.0
99,31000,2.0
103,32000,1.0
109,33000,1.0
111,34000,1.0
115,35000,3.0
122,36000,3.0
125,37000,2.0
131,38000,1.0
134,39000,2.0
139,40000,2.0
146,41000,4.0
150,42000,4.0
155,43000,3.0
166,44000,4.0
170,45000,4.0
177,46000,6.0
183,47000,4.0
190,48000,5.0
196,49000,5.0
207,50000,7.0
214,51000,7.0
222,52000,4.0
233,53000,8.0
245,54000,12.0
253,55000,5.0
258,56000,4.0
271,57000,13.0
279,58000,8.0
291,59000,12.0
305,60000,14.0
319,61000,10.0
326,62000,6.0
335,63000,7.0
349,64000,13.0
359,65000,7.0
379,66000,15.0
392,67000,11.0
409,68000,11.0
426,69000,14.0
446,70000,16.0
463,71000,14.0
482,72000,16.0
501,73000,17.0
521,74000,15.0
543,75000,18.0
562,76000,16.0
582,77000,17.0
599,78000,15.0
623,79000,22.0
646,80000,21.0
667,81000,19.0
693,82000,18.0
714,83000,20.0
738,84000,20.0
761,85000,20.0
783,86000,21.0
806,87000,22.0
830,88000,19.0
852,89000,20.0
874,90000,21.0
895,91000,21.0
915,92000,17.0
943,93000,22.0
965,94000,21.0
987,95000,20.0
1010,96000,20.0
1033,97000,21.0
1054,98000,20.0
1076,99000,21.0
1100,100000,20.0
