# {"t_start": 1641595267.309352, "env_id": "Office-single-v0"} 
r,l,t
0.0,58,0.016705
0.0,142,0.052599
0.0,21,0.058323
0.0,178,0.104079
0.0,96,0.128599
0.0,44,0.139934
0.0,101,0.165807
0.0,9,0.168203
0.0,86,0.189917
0.0,51,0.202899
0.0,17,0.207132
0.0,94,0.230577
0.0,137,0.265293
0.0,254,0.331993
0.0,42,0.342565
0.0,81,0.363326
0.0,88,0.385265
0.0,293,0.45835
0.0,330,0.544348
0.0,155,0.584893
0.0,22,0.5906
0.0,201,0.642014
0.0,107,0.66942
0.0,103,0.695209
0.0,302,0.771505
0.0,203,0.825468
0.0,276,0.894871
0.0,483,1.017495
0.0,123,1.050082
0.0,108,1.079284
0.0,231,1.138774
0.0,308,1.217169
0.0,440,1.331636
0.0,114,1.360579
0.0,548,1.49814
0.0,149,1.536074
0.0,97,1.562076
0.0,72,1.581142
0.0,190,1.630722
0.0,541,1.768232
0.0,11,1.771068
0.0,68,1.788036
0.0,1000,2.043286
0.0,1000,2.299959
0.0,259,2.368258
0.0,225,2.425386
0.0,309,2.504092
0.0,1000,2.761575
0.0,247,2.824455
0.0,9,2.826765
0.0,262,2.89542
0.0,816,3.106216
0.0,242,3.169749
0.0,1000,3.426503
0.0,1000,3.684148
0.0,362,3.775844
0.0,19,3.780638
0.0,857,4.001191
0.0,1000,4.259884
0.0,71,4.277707
0.0,37,4.286966
0.0,253,4.352034
0.0,115,4.382306
0.0,945,4.626565
0.0,388,4.728129
0.0,203,4.780509
0.0,501,4.911251
0.0,408,5.018239
0.0,141,5.054307
0.0,1000,5.314369
0.0,691,5.495181
0.0,131,5.529564
0.0,74,5.54845
0.0,599,5.705131
0.0,819,5.915604
0.0,1000,6.175779
0.0,564,6.323205
0.0,393,6.424384
0.0,897,6.657214
0.0,112,6.686117
0.0,374,6.784739
0.0,460,6.901683
0.0,179,6.94779
0.0,1000,7.208976
0.0,468,7.331907
0.0,81,7.352658
0.0,398,7.454212
0.0,130,7.488038
0.0,414,7.597601
0.0,457,7.714198
1.0,674,7.88931
0.0,168,7.932666
0.0,92,7.956115
0.0,737,8.148966
0.0,181,8.195486
1.0,100,8.220943
0.0,119,8.251223
0.0,530,8.389334
0.0,66,8.40655
1.0,255,8.472375
1.0,100,8.498261
0.0,22,8.504111
1.0,86,8.526729
1.0,88,8.550458
0.0,562,8.696278
1.0,118,8.72666
1.0,110,8.755046
1.0,110,8.783721
1.0,487,8.911136
1.0,73,8.929971
1.0,82,8.951086
1.0,74,8.970059
0.0,20,8.975196
1.0,118,9.005449
1.0,77,9.025532
1.0,97,9.050293
1.0,83,9.073117
1.0,86,9.096166
0.0,13,9.099444
1.0,71,9.117768
1.0,81,9.138558
1.0,104,9.165232
1.0,82,9.186145
0.0,11,9.188942
1.0,81,9.209624
1.0,85,9.231226
0.0,20,9.236261
0.0,36,9.245605
1.0,88,9.268149
1.0,87,9.290596
1.0,84,9.312377
0.0,73,9.33247
1.0,73,9.352598
1.0,88,9.375168
1.0,83,9.396599
1.0,79,9.416837
1.0,79,9.437165
1.0,84,9.458645
0.0,65,9.475406
1.0,81,9.495931
0.0,24,9.502502
1.0,75,9.521941
0.0,49,9.534408
0.0,20,9.539429
0.0,40,9.54963
1.0,75,9.569502
1.0,73,9.589734
1.0,77,9.610754
1.0,86,9.633065
1.0,77,9.652733
1.0,75,9.672153
1.0,75,9.691121
1.0,74,9.710176
0.0,34,9.718922
1.0,83,9.740159
1.0,78,9.760201
1.0,72,9.778883
0.0,11,9.781764
0.0,11,9.78463
1.0,74,9.803659
1.0,73,9.822881
0.0,36,9.832117
1.0,80,9.853848
1.0,83,9.875694
1.0,90,9.899944
1.0,84,9.9217
1.0,81,9.942526
0.0,9,9.944897
1.0,82,9.966064
0.0,53,9.979774
1.0,85,10.001695
1.0,75,10.020998
1.0,71,10.039164
0.0,878,10.267586
1.0,76,10.287584
0.0,67,10.304887
1.0,753,10.501116
0.0,283,10.573834
1.0,85,10.595979
0.0,72,10.615713
1.0,84,10.638353
1.0,77,10.659239
0.0,64,10.67577
0.0,48,10.688076
1.0,79,10.708205
1.0,79,10.728452
1.0,91,10.751904
1.0,75,10.771201
1.0,79,10.791495
1.0,81,10.81237
1.0,79,10.832771
0.0,51,10.845904
1.0,75,10.865519
1.0,83,10.887623
1.0,80,10.909509
1.0,80,10.930125
1.0,90,10.953201
1.0,83,10.974559
1.0,75,10.99379
1.0,82,11.015122
1.0,80,11.037248
0.0,20,11.042363
1.0,83,11.063929
1.0,86,11.086289
1.0,89,11.109123
1.0,82,11.130568
1.0,75,11.151189
1.0,83,11.172918
0.0,15,11.177368
1.0,79,11.197991
1.0,79,11.218205
1.0,80,11.238374
1.0,94,11.262708
0.0,22,11.268374
1.0,76,11.28794
1.0,89,11.310623
1.0,85,11.332857
0.0,20,11.337885
1.0,81,11.358792
0.0,806,11.569237
1.0,84,11.591083
1.0,83,11.612282
1.0,77,11.632108
1.0,82,11.65343
1.0,79,11.674969
0.0,18,11.680152
0.0,15,11.684143
0.0,9,11.686786
1.0,80,11.707473
0.0,54,11.721416
0.0,62,11.737376
1.0,73,11.75609
1.0,78,11.776255
1.0,82,11.797009
0.0,22,11.802543
1.0,78,11.822669
1.0,87,11.845015
1.0,77,11.865002
0.0,22,11.870693
1.0,88,11.893543
1.0,77,11.913411
1.0,78,11.934814
1.0,76,11.955365
1.0,81,11.976137
1.0,78,11.996197
1.0,82,12.017487
1.0,77,12.037648
1.0,87,12.060035
1.0,80,12.081108
1.0,77,12.100667
0.0,36,12.109931
1.0,81,12.130637
1.0,77,12.150689
1.0,79,12.171203
1.0,73,12.191071
0.0,7,12.193181
1.0,76,12.21397
1.0,99,12.239307
1.0,75,12.258645
1.0,75,12.277991
1.0,75,12.297276
1.0,85,12.319164
1.0,77,12.33912
1.0,94,12.363551
1.0,74,12.382749
1.0,78,12.402807
1.0,76,12.422766
1.0,82,12.445236
1.0,82,12.467101
0.0,55,12.481387
1.0,80,12.50245
1.0,79,12.523062
1.0,81,12.54407
0.0,52,12.557414
1.0,89,12.580676
1.0,79,12.600997
1.0,80,12.621639
1.0,74,12.640765
1.0,73,12.659475
1.0,81,12.680271
1.0,76,12.700612
1.0,79,12.721519
0.0,9,12.723765
1.0,83,12.745897
1.0,79,12.76611
1.0,83,12.787414
1.0,79,12.808018
1.0,80,12.82863
1.0,80,12.849324
1.0,75,12.869045
1.0,75,12.888416
0.0,41,12.899166
1.0,73,12.918306
1.0,79,12.93875
1.0,93,12.963621
0.0,20,12.969117
1.0,73,12.988799
1.0,78,13.009621
1.0,94,13.034195
1.0,80,13.054667
1.0,89,13.078104
1.0,98,13.102916
1.0,84,13.124388
0.0,47,13.136533
1.0,82,13.157576
0.0,69,13.175381
1.0,83,13.197044
1.0,76,13.216775
0.0,40,13.228148
0.0,54,13.242056
1.0,85,13.264719
1.0,82,13.285902
1.0,73,13.304597
1.0,79,13.32485
1.0,80,13.345255
1.0,86,13.367259
0.0,73,13.385913
1.0,79,13.406161
1.0,83,13.427594
1.0,78,13.447744
1.0,77,13.467546
1.0,78,13.4889
0.0,54,13.503059
1.0,78,13.524462
1.0,78,13.544324
1.0,73,13.563435
0.0,81,13.585092
1.0,80,13.605532
1.0,84,13.627063
0.0,15,13.630924
1.0,87,13.653143
1.0,78,13.673204
0.0,56,13.687395
1.0,77,13.707082
1.0,79,13.727426
1.0,86,13.750559
1.0,81,13.772607
1.0,75,13.791911
0.0,40,13.802244
1.0,83,13.823708
1.0,80,13.844311
1.0,82,13.865541
1.0,78,13.88563
1.0,89,13.908563
1.0,90,13.931919
1.0,81,13.952889
0.0,20,13.958032
1.0,81,13.978971
1.0,84,14.001521
1.0,77,14.022323
0.0,11,14.025131
0.0,61,14.041368
1.0,92,14.065576
1.0,84,14.087495
1.0,81,14.108249
1.0,78,14.128556
1.0,86,14.150535
1.0,84,14.172087
1.0,79,14.192163
0.0,54,14.206304
1.0,80,14.226784
0.0,24,14.232943
0.0,18,14.237609
1.0,78,14.258073
1.0,77,14.279135
1.0,75,14.299254
1.0,79,14.31958
0.0,53,14.333627
1.0,84,14.355478
1.0,74,14.374496
1.0,80,14.395201
1.0,79,14.415582
0.0,38,14.425462
1.0,85,14.447515
1.0,77,14.467413
1.0,77,14.487576
1.0,87,14.510276
0.0,58,14.52643
0.0,82,14.548497
1.0,77,14.568809
1.0,73,14.58791
1.0,87,14.610277
1.0,75,14.629518
