episodes,steps,total reward
18,1000,0.0
26,2000,0.0
32,3000,0.0
34,4000,0.0
37,5000,0.0
45,6000,0.0
56,7000,0.0
61,8000,0.0
65,9000,0.0
66,10000,0.0
74,11000,1.0
82,12000,2.0
89,13000,1.0
97,14000,3.0
112,15000,8.0
133,16000,11.0
154,17000,15.0
180,18000,12.0
198,19000,14.0
216,20000,12.0
237,21000,17.0
258,22000,16.0
279,23000,15.0
302,24000,16.0
324,25000,13.0
346,26000,15.0
371,27000,14.0
396,28000,14.0
415,29000,16.0
436,30000,13.0
457,31000,14.0
483,32000,13.0
506,33000,12.0
529,34000,13.0
553,35000,14.0
576,36000,13.0
601,37000,16.0
622,38000,16.0
643,39000,14.0
668,40000,17.0
691,41000,14.0
714,42000,13.0
736,43000,15.0
762,44000,12.0
783,45000,14.0
807,46000,16.0
828,47000,13.0
850,48000,14.0
874,49000,14.0
897,50000,13.0
923,51000,14.0
947,52000,14.0
974,53000,13.0
993,54000,15.0
1018,55000,15.0
1043,56000,15.0
1062,57000,16.0
1087,58000,13.0
1110,59000,14.0
1134,60000,14.0
1158,61000,11.0
1182,62000,13.0
1207,63000,14.0
1230,64000,15.0
1253,65000,13.0
1278,66000,14.0
1299,67000,14.0
1325,68000,13.0
1347,69000,15.0
1368,70000,14.0
1395,71000,12.0
1421,72000,11.0
1444,73000,17.0
1467,74000,15.0
1489,75000,14.0
1510,76000,16.0
1534,77000,14.0
1556,78000,15.0
1580,79000,14.0
1603,80000,14.0
1626,81000,15.0
1648,82000,13.0
1668,83000,14.0
1688,84000,15.0
1707,85000,17.0
1730,86000,16.0
1751,87000,16.0
1777,88000,14.0
1800,89000,15.0
1823,90000,14.0
1848,91000,11.0
1871,92000,15.0
1896,93000,14.0
1923,94000,14.0
1942,95000,16.0
1965,96000,15.0
1992,97000,13.0
2011,98000,16.0
2035,99000,17.0
2056,100000,15.0
