episodes,steps,total reward
11,1000,0.0
17,2000,0.0
21,3000,0.0
25,4000,0.0
30,5000,0.5
35,6000,0.0
37,7000,0.0
40,8000,1.0
41,9000,0.0
43,10000,0.0
45,11000,0.0
46,12000,0.0
50,13000,1.0
56,14000,1.0
61,15000,0.5
64,16000,0.5
68,17000,0.5
69,18000,1.0
77,19000,3.0
81,20000,1.5
85,21000,1.5
89,22000,0.5
92,23000,1.5
94,24000,1.0
102,25000,3.0
103,26000,0.0
109,27000,1.5
113,28000,3.5
120,29000,4.0
125,30000,2.5
129,31000,3.5
138,32000,6.0
146,33000,4.0
153,34000,5.0
158,35000,4.5
170,36000,7.5
177,37000,4.0
185,38000,6.0
193,39000,5.0
198,40000,4.5
202,41000,2.5
210,42000,5.0
221,43000,8.5
229,44000,7.0
237,45000,6.0
242,46000,3.5
253,47000,9.5
265,48000,7.5
278,49000,10.5
294,50000,11.0
309,51000,11.0
325,52000,10.0
341,53000,14.0
354,54000,11.5
378,55000,16.0
396,56000,12.5
413,57000,13.0
428,58000,11.0
445,59000,14.0
466,60000,15.5
490,61000,17.0
518,62000,17.5
545,63000,22.5
561,64000,13.0
585,65000,17.0
614,66000,21.5
642,67000,22.5
666,68000,19.0
693,69000,21.5
722,70000,22.5
746,71000,20.0
777,72000,26.0
809,73000,28.0
840,74000,26.0
873,75000,26.0
905,76000,28.0
939,77000,27.5
970,78000,23.5
998,79000,21.5
1031,80000,27.0
1066,81000,25.5
1097,82000,25.0
1130,83000,27.0
1158,84000,23.5
1196,85000,30.0
1230,86000,26.0
1266,87000,27.5
1305,88000,28.0
1338,89000,27.0
1374,90000,28.5
1407,91000,26.0
1442,92000,24.5
1480,93000,28.0
1515,94000,29.0
1550,95000,27.5
1585,96000,29.5
1617,97000,27.0
1650,98000,27.0
1685,99000,26.5
1716,100000,24.0
