episodes,steps,total reward
10,1000,0.0
18,2000,0.0
22,3000,0.0
25,4000,0.0
30,5000,0.0
35,6000,0.0
37,7000,0.0
39,8000,0.0
41,9000,0.0
42,10000,0.0
43,11000,0.0
45,12000,0.0
48,13000,0.0
49,14000,0.0
52,15000,0.0
53,16000,0.0
57,17000,0.0
58,18000,0.0
60,19000,0.0
62,20000,0.0
67,21000,0.0
71,22000,0.0
73,23000,0.0
77,24000,1.0
79,25000,0.0
84,26000,0.0
87,27000,0.0
93,28000,1.0
96,29000,0.0
97,30000,0.0
102,31000,2.0
105,32000,1.0
112,33000,3.0
117,34000,5.0
126,35000,6.0
137,36000,7.0
146,37000,8.0
161,38000,11.0
176,39000,9.0
188,40000,11.0
203,41000,11.0
215,42000,12.0
216,43000,0.0
220,44000,3.0
235,45000,12.0
247,46000,12.0
260,47000,10.0
275,48000,11.0
289,49000,11.0
302,50000,11.0
315,51000,11.0
330,52000,12.0
344,53000,12.0
358,54000,11.0
370,55000,10.0
386,56000,10.0
399,57000,11.0
414,58000,12.0
429,59000,11.0
443,60000,9.0
458,61000,11.0
470,62000,12.0
486,63000,10.0
499,64000,12.0
512,65000,12.0
525,66000,11.0
538,67000,11.0
552,68000,12.0
566,69000,12.0
581,70000,10.0
595,71000,11.0
609,72000,10.0
624,73000,9.0
637,74000,11.0
652,75000,10.0
665,76000,11.0
678,77000,11.0
692,78000,12.0
706,79000,10.0
718,80000,10.0
733,81000,10.0
746,82000,11.0
759,83000,11.0
772,84000,12.0
785,85000,11.0
798,86000,11.0
812,87000,11.0
825,88000,12.0
840,89000,9.0
852,90000,12.0
865,91000,13.0
879,92000,10.0
893,93000,10.0
906,94000,11.0
920,95000,11.0
935,96000,11.0
949,97000,12.0
964,98000,11.0
980,99000,10.0
995,100000,11.0
