# {"t_start": 1641558598.5090344, "env_id": "Office-single-v0"} 
r,l,t
0.0,107,0.028943
0.0,53,0.042707
0.0,18,0.047466
0.0,194,0.097779
0.0,31,0.105892
0.0,12,0.109112
0.0,83,0.130129
0.0,63,0.146337
0.0,159,0.187382
0.0,198,0.238654
0.0,50,0.251425
0.0,80,0.272251
0.0,162,0.314961
0.0,238,0.375778
0.0,85,0.39753
0.0,66,0.414337
0.0,343,0.502836
0.0,375,0.601265
0.0,197,0.652451
0.0,34,0.66126
0.0,34,0.670009
0.0,310,0.749112
0.0,352,0.840613
0.0,300,0.918275
0.0,296,0.995136
0.0,124,1.02679
0.0,323,1.111895
0.0,65,1.128428
0.0,116,1.157967
0.0,139,1.194098
0.0,643,1.360959
0.0,121,1.392665
0.0,113,1.422524
0.0,578,1.573195
0.0,659,1.746127
0.0,993,2.002704
0.0,193,2.052859
0.0,1000,2.311254
0.0,956,2.558295
0.0,729,2.745866
0.0,877,2.973356
0.0,1000,3.230637
0.0,377,3.326839
0.0,13,3.33037
0.0,280,3.403192
0.0,247,3.467161
0.0,802,3.674421
0.0,167,3.717856
0.0,575,3.865501
0.0,120,3.89627
0.0,426,4.006617
0.0,54,4.020437
0.0,1000,4.277702
0.0,30,4.285675
0.0,533,4.422283
0.0,1000,4.681601
0.0,153,4.721577
0.0,89,4.744357
0.0,417,4.850641
0.0,596,5.005843
0.0,176,5.051527
0.0,123,5.083851
0.0,142,5.120855
0.0,394,5.223266
0.0,265,5.290699
0.0,75,5.309986
0.0,596,5.464155
0.0,244,5.528339
0.0,83,5.549844
0.0,926,5.788457
0.0,181,5.83515
0.0,110,5.863386
0.0,141,5.89924
0.0,85,5.921256
0.0,674,6.096488
0.0,1000,6.355334
0.0,1000,6.613398
1.0,931,6.852953
0.0,744,7.045999
0.0,266,7.115434
0.0,383,7.214386
0.0,35,7.223276
0.0,197,7.274667
0.0,77,7.294573
0.0,723,7.479789
0.0,711,7.666484
0.0,288,7.740232
1.0,122,7.77193
1.0,116,7.802988
0.0,139,7.838732
0.0,477,7.961447
1.0,181,8.008189
0.0,955,8.257626
1.0,97,8.28265
1.0,159,8.324343
0.0,76,8.344362
1.0,124,8.376061
0.0,434,8.48742
1.0,88,8.510023
1.0,75,8.529377
0.0,646,8.69654
1.0,83,8.718751
1.0,84,8.740155
0.0,51,8.753278
0.0,185,8.800936
1.0,81,8.822492
1.0,89,8.84606
0.0,36,8.855273
1.0,569,9.00302
0.0,86,9.025017
1.0,89,9.048013
1.0,77,9.067906
1.0,79,9.089531
1.0,87,9.112139
1.0,74,9.131183
1.0,91,9.154222
1.0,81,9.175048
1.0,75,9.194116
1.0,160,9.235173
1.0,98,9.260137
1.0,79,9.280406
1.0,77,9.300027
1.0,79,9.321043
1.0,74,9.340502
1.0,73,9.359751
1.0,85,9.382015
0.0,24,9.38832
1.0,80,9.409013
1.0,76,9.429026
1.0,77,9.449289
1.0,86,9.471659
1.0,125,9.50352
1.0,109,9.53125
0.0,61,9.546904
0.0,22,9.5525
1.0,85,9.574297
1.0,85,9.597115
1.0,75,9.617242
1.0,76,9.638136
