episodes,steps,total reward
12,1000,0.0
15,2000,0.0
18,3000,0.0
22,4000,0.0
24,5000,0.0
27,6000,0.0
30,7000,0.0
31,8000,0.0
32,9000,0.0
33,10000,0.0
35,11000,0.0
38,12000,0.0
41,13000,0.0
46,14000,0.0
47,15000,0.0
48,16000,0.0
52,17000,0.0
53,18000,0.0
56,19000,0.0
59,20000,0.0
61,21000,0.0
63,22000,0.0
64,23000,0.0
65,24000,0.0
68,25000,0.0
70,26000,0.0
73,27000,0.0
78,28000,1.0
81,29000,0.0
83,30000,2.0
86,31000,0.0
90,32000,2.0
95,33000,3.0
102,34000,4.0
110,35000,7.0
122,36000,11.0
135,37000,11.0
137,38000,1.0
151,39000,11.0
165,40000,11.0
179,41000,12.0
192,42000,10.0
205,43000,9.0
220,44000,9.0
234,45000,12.0
246,46000,11.0
259,47000,12.0
274,48000,10.0
288,49000,8.0
302,50000,12.0
315,51000,10.0
329,52000,11.0
346,53000,12.0
361,54000,11.0
375,55000,11.0
387,56000,11.0
402,57000,13.0
415,58000,11.0
431,59000,12.0
445,60000,11.0
459,61000,10.0
472,62000,11.0
487,63000,12.0
499,64000,12.0
512,65000,10.0
528,66000,11.0
540,67000,12.0
553,68000,11.0
566,69000,12.0
578,70000,11.0
593,71000,10.0
607,72000,12.0
620,73000,12.0
636,74000,11.0
650,75000,12.0
666,76000,9.0
680,77000,12.0
694,78000,10.0
708,79000,10.0
724,80000,11.0
740,81000,11.0
753,82000,10.0
768,83000,11.0
782,84000,11.0
795,85000,10.0
809,86000,11.0
826,87000,10.0
840,88000,10.0
852,89000,11.0
869,90000,9.0
884,91000,12.0
897,92000,12.0
911,93000,11.0
925,94000,10.0
939,95000,12.0
953,96000,11.0
967,97000,10.0
980,98000,12.0
994,99000,12.0
1010,100000,10.0
