# {"t_start": 1641354352.7472231, "env_id": "Office-single-v0"} 
r,l,t
0.0,2,0.000453
0.0,10,0.001305
1.0,26,0.003552
1.0,51,0.007342
0.0,9,0.008085
0.0,19,0.009553
0.0,24,0.011487
0.0,21,0.013118
0.0,25,0.015175
0.0,36,0.018044
0.0,45,0.02186
0.0,29,0.02413
0.0,23,0.0259
0.0,54,0.03023
0.0,119,0.039491
0.0,96,0.046667
0.0,97,0.054222
0.0,97,0.061543
1.0,42,0.064665
0.0,74,0.070203
0.0,66,0.075356
1.0,35,0.077883
0.0,11,0.079032
0.0,60,0.08366
0.0,26,0.085636
1.0,6,0.086129
0.0,71,0.091899
0.0,69,0.097333
1.0,34,0.099892
0.0,104,0.107684
0.0,85,0.114345
0.0,76,0.120404
0.0,28,0.12276
0.0,131,0.132693
1.0,16,0.133942
0.0,170,0.146933
0.0,140,0.157661
0.0,907,0.227474
0.0,23,0.229327
1.0,11,0.230177
0.0,690,0.28291
0.0,388,0.312499
1.0,6,0.313023
1.0,4,0.313352
1.0,10,0.314103
1.0,4,0.314442
1.0,8,0.315053
1.0,4,0.315385
1.0,4,0.315756
1.0,6,0.316231
0.0,515,0.355528
1.0,4,0.355958
1.0,4,0.356537
1.0,8,0.357187
1.0,4,0.357546
1.0,4,0.357928
1.0,6,0.358394
1.0,8,0.35899
1.0,4,0.359341
1.0,4,0.359682
1.0,6,0.36016
1.0,4,0.360498
1.0,4,0.360832
1.0,4,0.361165
1.0,4,0.361498
1.0,6,0.361976
1.0,4,0.362349
1.0,4,0.362691
1.0,4,0.363029
1.0,4,0.363522
1.0,4,0.363861
1.0,4,0.364199
1.0,4,0.364534
1.0,4,0.364869
1.0,6,0.365327
1.0,4,0.365664
1.0,4,0.366033
1.0,4,0.366368
1.0,6,0.366851
1.0,4,0.367191
1.0,4,0.367527
1.0,4,0.36786
1.0,4,0.368194
1.0,4,0.368523
1.0,6,0.368987
1.0,4,0.369323
1.0,4,0.369659
1.0,4,0.37003
1.0,4,0.370364
1.0,4,0.370703
1.0,4,0.371039
1.0,4,0.37137
1.0,4,0.371707
1.0,4,0.372063
1.0,4,0.3724
1.0,4,0.372735
1.0,4,0.373071
1.0,4,0.373463
1.0,12,0.374324
1.0,4,0.374667
1.0,4,0.375006
1.0,4,0.375341
1.0,6,0.37582
1.0,4,0.376155
1.0,4,0.376491
1.0,4,0.376832
1.0,7,0.377385
1.0,4,0.377737
1.0,4,0.378071
1.0,6,0.378553
1.0,4,0.378893
1.0,8,0.379544
1.0,4,0.379883
1.0,6,0.38036
1.0,4,0.380696
1.0,4,0.381029
1.0,4,0.381363
1.0,4,0.381696
1.0,4,0.382031
1.0,6,0.382527
1.0,6,0.383014
1.0,4,0.383353
1.0,8,0.383936
1.0,4,0.384275
1.0,4,0.384614
1.0,4,0.384948
1.0,6,0.385455
1.0,6,0.385921
1.0,4,0.386257
1.0,4,0.386598
1.0,8,0.387218
1.0,4,0.387557
1.0,4,0.387893
1.0,4,0.388231
1.0,6,0.388843
1.0,4,0.38926
1.0,14,0.390315
1.0,4,0.390738
1.0,4,0.391076
1.0,4,0.391408
1.0,4,0.391746
1.0,4,0.392081
1.0,4,0.392417
1.0,4,0.392845
1.0,4,0.393172
1.0,4,0.393509
1.0,4,0.393845
1.0,8,0.394451
1.0,4,0.394794
1.0,4,0.395133
1.0,4,0.395467
1.0,4,0.395804
1.0,6,0.396261
1.0,4,0.396595
1.0,4,0.396929
1.0,4,0.397255
1.0,10,0.398
1.0,4,0.398336
1.0,4,0.39871
1.0,4,0.39907
1.0,4,0.399511
1.0,4,0.399848
1.0,4,0.400184
1.0,4,0.400519
1.0,4,0.400889
1.0,4,0.401225
1.0,4,0.401558
1.0,6,0.402018
1.0,4,0.402354
1.0,4,0.402694
1.0,4,0.403033
1.0,4,0.403356
1.0,4,0.403692
1.0,4,0.404048
1.0,4,0.404392
1.0,4,0.404719
1.0,4,0.405061
1.0,4,0.405402
1.0,4,0.405742
1.0,4,0.406083
1.0,4,0.406426
1.0,4,0.406771
1.0,4,0.407116
1.0,4,0.407459
1.0,4,0.407801
1.0,8,0.408434
1.0,4,0.408812
1.0,6,0.409282
1.0,4,0.409626
1.0,6,0.4101
1.0,4,0.410484
1.0,4,0.410894
1.0,4,0.411457
1.0,10,0.412256
1.0,6,0.412749
1.0,4,0.413091
1.0,6,0.413576
1.0,4,0.41392
1.0,4,0.414265
1.0,6,0.414846
1.0,4,0.415193
1.0,4,0.415533
1.0,4,0.415875
1.0,4,0.416217
1.0,8,0.416866
1.0,4,0.41721
1.0,4,0.417553
1.0,4,0.417895
1.0,6,0.418441
1.0,4,0.418973
1.0,4,0.419329
1.0,4,0.419672
1.0,6,0.420157
1.0,4,0.420499
1.0,4,0.42084
1.0,4,0.421184
1.0,4,0.421525
1.0,4,0.421867
1.0,4,0.422199
1.0,4,0.422539
1.0,4,0.422939
1.0,4,0.423281
1.0,4,0.423622
1.0,4,0.423964
1.0,4,0.424305
1.0,4,0.424647
1.0,4,0.425021
1.0,4,0.425361
1.0,4,0.4257
1.0,4,0.426041
1.0,4,0.426382
1.0,4,0.426785
1.0,4,0.427129
1.0,4,0.427472
1.0,4,0.427813
1.0,4,0.428152
1.0,6,0.428617
1.0,4,0.428958
1.0,4,0.4293
1.0,8,0.429915
1.0,4,0.430259
1.0,7,0.430853
1.0,4,0.431194
1.0,4,0.431591
1.0,4,0.432079
1.0,4,0.432422
1.0,8,0.433071
1.0,4,0.433414
1.0,4,0.433757
1.0,4,0.434099
1.0,4,0.43444
1.0,4,0.434826
1.0,4,0.435186
1.0,4,0.435536
1.0,4,0.435885
1.0,4,0.436448
1.0,4,0.436798
1.0,4,0.43716
1.0,6,0.437696
1.0,4,0.438044
1.0,4,0.438387
1.0,6,0.43888
1.0,4,0.439225
1.0,6,0.439711
1.0,6,0.440199
1.0,10,0.440994
1.0,4,0.441354
1.0,4,0.441688
1.0,4,0.442033
1.0,4,0.442364
1.0,4,0.442712
1.0,4,0.443055
1.0,4,0.443557
1.0,4,0.443894
1.0,6,0.444399
1.0,4,0.44476
1.0,4,0.445114
1.0,4,0.445554
1.0,4,0.445891
1.0,4,0.446231
1.0,4,0.446579
1.0,4,0.446924
1.0,4,0.447265
1.0,4,0.447605
1.0,7,0.448158
1.0,4,0.448503
1.0,4,0.448865
1.0,4,0.44929
1.0,4,0.449632
1.0,6,0.450116
1.0,4,0.450459
1.0,6,0.450954
1.0,4,0.451299
1.0,4,0.451641
1.0,6,0.452127
1.0,4,0.452495
1.0,4,0.452841
1.0,4,0.453186
1.0,4,0.453527
1.0,8,0.454167
1.0,4,0.454507
1.0,4,0.454908
1.0,4,0.455251
1.0,4,0.45559
1.0,4,0.455932
1.0,4,0.456261
1.0,4,0.456601
1.0,4,0.45694
1.0,4,0.457317
1.0,4,0.457656
1.0,4,0.457996
1.0,4,0.458333
1.0,6,0.458825
1.0,4,0.459169
1.0,6,0.459635
1.0,4,0.459979
1.0,4,0.460319
1.0,10,0.461098
1.0,4,0.461442
1.0,4,0.461787
1.0,6,0.462279
1.0,10,0.463027
1.0,4,0.463376
1.0,4,0.46372
1.0,4,0.464063
1.0,6,0.46525
1.0,6,0.465753
1.0,4,0.466096
1.0,4,0.466428
1.0,8,0.467046
1.0,4,0.467393
1.0,4,0.467733
1.0,4,0.468076
1.0,4,0.468419
1.0,4,0.468762
1.0,4,0.46909
1.0,4,0.469433
1.0,6,0.469917
1.0,4,0.470256
1.0,6,0.470764
1.0,4,0.471108
1.0,4,0.471449
1.0,4,0.47179
1.0,6,0.472265
1.0,4,0.472607
1.0,4,0.472949
1.0,4,0.47331
1.0,4,0.473664
1.0,4,0.474006
1.0,4,0.474337
1.0,4,0.47466
1.0,4,0.475003
1.0,8,0.475888
1.0,4,0.476235
1.0,4,0.476578
1.0,4,0.476922
1.0,4,0.477262
1.0,4,0.477604
1.0,6,0.478073
1.0,4,0.478416
1.0,4,0.478794
1.0,6,0.479264
1.0,4,0.479595
1.0,4,0.479926
1.0,4,0.480265
1.0,4,0.480595
1.0,6,0.481081
1.0,4,0.481456
1.0,4,0.481798
1.0,6,0.482265
1.0,10,0.483042
1.0,4,0.483387
1.0,4,0.48373
1.0,4,0.484074
1.0,4,0.484415
1.0,6,0.484898
1.0,4,0.485229
1.0,4,0.48557
1.0,4,0.485934
1.0,4,0.486376
1.0,4,0.48686
1.0,4,0.487202
1.0,8,0.487827
1.0,8,0.488469
1.0,4,0.488811
1.0,4,0.489151
1.0,4,0.489526
1.0,4,0.489865
1.0,4,0.490226
1.0,4,0.490656
1.0,4,0.491287
1.0,4,0.491621
1.0,4,0.49201
1.0,6,0.492498
1.0,4,0.492842
1.0,4,0.493185
1.0,4,0.493527
1.0,8,0.494156
1.0,4,0.494488
1.0,4,0.494833
1.0,4,0.495178
1.0,8,0.495802
1.0,4,0.496144
1.0,6,0.496628
1.0,6,0.497256
1.0,4,0.497648
1.0,4,0.497993
1.0,12,0.498899
1.0,4,0.499246
1.0,4,0.499587
1.0,4,0.499929
1.0,6,0.500416
1.0,4,0.500758
1.0,4,0.501119
1.0,4,0.501491
1.0,6,0.501956
1.0,4,0.502289
1.0,4,0.502677
1.0,4,0.50307
1.0,4,0.503408
1.0,4,0.503749
