episodes,steps,total reward
11,1000,0.0
17,2000,0.0
21,3000,0.0
23,4000,0.0
30,5000,0.0
34,6000,0.0
36,7000,0.0
39,8000,0.0
41,9000,0.0
43,10000,0.0
44,11000,0.0
46,12000,0.0
47,13000,0.0
53,14000,3.0
54,15000,0.0
56,16000,0.0
57,17000,0.0
62,18000,2.0
68,19000,3.0
74,20000,2.0
78,21000,2.0
82,22000,2.0
89,23000,4.0
96,24000,5.0
101,25000,4.0
105,26000,3.0
110,27000,3.0
114,28000,4.0
118,29000,2.0
122,30000,4.0
129,31000,6.0
136,32000,5.0
141,33000,5.0
149,34000,6.0
158,35000,6.0
161,36000,3.0
173,37000,9.0
178,38000,5.0
188,39000,10.0
198,40000,6.0
206,41000,8.0
214,42000,6.0
225,43000,11.0
234,44000,6.0
249,45000,13.0
261,46000,10.0
272,47000,8.0
285,48000,13.0
298,49000,11.0
311,50000,11.0
329,51000,16.0
342,52000,13.0
360,53000,16.0
374,54000,12.0
390,55000,13.0
409,56000,18.0
425,57000,13.0
438,58000,13.0
457,59000,17.0
482,60000,22.0
502,61000,18.0
525,62000,21.0
546,63000,19.0
576,64000,27.0
598,65000,20.0
618,66000,14.0
644,67000,25.0
665,68000,20.0
690,69000,23.0
722,70000,28.0
753,71000,27.0
786,72000,31.0
820,73000,30.0
853,74000,29.0
885,75000,28.0
917,76000,30.0
950,77000,31.0
982,78000,31.0
1017,79000,30.0
1050,80000,32.0
1086,81000,29.0
1121,82000,32.0
1155,83000,32.0
1190,84000,33.0
1223,85000,30.0
1254,86000,31.0
1289,87000,33.0
1318,88000,27.0
1357,89000,33.0
1396,90000,31.0
1430,91000,32.0
1460,92000,29.0
1491,93000,29.0
1526,94000,33.0
1560,95000,35.0
1594,96000,32.0
1626,97000,32.0
1660,98000,32.0
1693,99000,32.0
1733,100000,33.0
