# {"t_start": 1641564367.0518625, "env_id": "Office-single-v0"} 
r,l,t
0.0,79,0.021283
0.0,15,0.02537
0.0,24,0.03164
0.0,209,0.085692
0.0,51,0.099129
0.0,22,0.104864
0.0,97,0.129535
0.0,144,0.166712
0.0,84,0.18823
0.0,134,0.222211
0.0,315,0.303867
0.0,59,0.318955
0.0,16,0.323066
0.0,381,0.420052
0.0,120,0.451204
0.0,501,0.580786
0.0,365,0.674939
0.0,139,0.710934
0.0,48,0.723274
0.0,88,0.745945
0.0,207,0.799994
0.0,36,0.809423
0.0,293,0.885736
0.0,154,0.925662
0.0,160,0.967035
0.0,151,1.006007
0.0,70,1.024035
0.0,251,1.089771
0.0,703,1.272171
0.0,183,1.320748
0.0,322,1.404891
0.0,258,1.471877
0.0,276,1.543597
0.0,127,1.577011
0.0,603,1.733644
0.0,1000,1.994404
0.0,3,1.99521
0.0,1000,2.25708
0.0,1000,2.517889
0.0,245,2.582127
0.0,1000,2.842682
0.0,11,2.845536
0.0,561,2.992045
0.0,80,3.012985
0.0,32,3.021341
0.0,1000,3.282875
0.0,30,3.29085
0.0,359,3.384334
0.0,1000,3.646366
0.0,57,3.661991
0.0,1000,3.924858
0.0,122,3.957406
0.0,159,3.998855
0.0,58,4.014001
0.0,1000,4.276451
0.0,63,4.292947
0.0,797,4.502
0.0,60,4.517728
0.0,50,4.530778
0.0,45,4.54245
0.0,529,4.680102
0.0,43,4.691313
0.0,270,4.762781
0.0,571,4.911699
0.0,137,4.947788
0.0,154,4.988491
0.0,91,5.012392
0.0,287,5.087314
0.0,82,5.108796
0.0,444,5.225386
0.0,105,5.25327
0.0,805,5.463983
0.0,195,5.515698
0.0,777,5.720064
0.0,349,5.812489
0.0,34,5.821419
0.0,483,5.948255
0.0,215,6.004838
0.0,289,6.082215
0.0,343,6.172601
0.0,26,6.179458
0.0,37,6.189142
0.0,75,6.208807
0.0,460,6.330731
0.0,855,6.556859
0.0,16,6.56106
0.0,164,6.604472
1.0,590,6.760554
0.0,772,6.965271
1.0,746,7.162685
0.0,185,7.211575
0.0,88,7.2349
0.0,368,7.331475
0.0,40,7.342158
0.0,1000,7.605034
0.0,400,7.710413
0.0,178,7.757203
0.0,133,7.791903
0.0,1000,8.054633
0.0,593,8.210623
0.0,112,8.24021
0.0,27,8.247198
0.0,785,8.453715
1.0,145,8.491868
1.0,82,8.513417
1.0,82,8.535039
0.0,116,8.565787
1.0,78,8.586339
1.0,89,8.609642
0.0,444,8.72807
1.0,89,8.751291
0.0,553,8.895327
1.0,83,8.91749
0.0,163,8.961021
0.0,35,8.970261
1.0,96,8.995477
1.0,109,9.024067
1.0,100,9.050196
0.0,257,9.117157
0.0,20,9.122394
1.0,78,9.143366
1.0,87,9.166229
1.0,103,9.193856
1.0,82,9.215643
1.0,79,9.236377
1.0,78,9.256855
1.0,98,9.28249
1.0,920,9.523963
1.0,82,9.545535
1.0,74,9.565
0.0,204,9.618525
1.0,86,9.641214
1.0,73,9.660329
1.0,78,9.680841
0.0,49,9.693531
1.0,90,9.717699
1.0,76,9.737936
0.0,22,9.743816
1.0,87,9.76673
0.0,53,9.780937
1.0,78,9.801495
1.0,84,9.823523
0.0,50,9.836637
1.0,77,9.856819
0.0,60,9.872505
1.0,77,9.892741
1.0,75,9.912416
1.0,78,9.932805
0.0,36,9.942258
1.0,89,9.965784
1.0,86,9.988692
1.0,85,10.011414
1.0,81,10.03268
1.0,85,10.055021
1.0,76,10.07497
0.0,9,10.077368
1.0,101,10.10373
0.0,48,10.116339
0.0,15,10.120283
1.0,79,10.141133
1.0,93,10.165906
1.0,86,10.188393
1.0,79,10.20916
0.0,71,10.228122
1.0,79,10.24928
1.0,82,10.271277
1.0,81,10.292551
0.0,40,10.303047
1.0,81,10.324467
1.0,75,10.344371
1.0,81,10.365916
1.0,81,10.388196
1.0,85,10.41064
1.0,96,10.435962
1.0,86,10.458765
1.0,79,10.47963
0.0,99,10.50586
1.0,81,10.527299
1.0,83,10.549163
1.0,82,10.570789
1.0,76,10.590643
0.0,13,10.594046
1.0,79,10.614729
1.0,83,10.636437
1.0,78,10.656976
1.0,87,10.679755
0.0,73,10.698998
1.0,81,10.720122
1.0,79,10.740845
0.0,532,10.881226
1.0,81,10.90321
1.0,78,10.923744
1.0,84,10.945768
1.0,84,10.967996
0.0,9,10.970364
1.0,77,10.990616
1.0,79,11.011374
1.0,77,11.03189
0.0,67,11.049757
1.0,84,11.072077
1.0,88,11.095142
1.0,79,11.115909
1.0,92,11.139984
0.0,13,11.143441
0.0,76,11.163357
1.0,77,11.183623
1.0,79,11.204283
1.0,81,11.225559
1.0,84,11.247437
1.0,89,11.270771
0.0,52,11.284665
1.0,81,11.306126
1.0,84,11.328477
0.0,22,11.334268
0.0,39,11.34443
0.0,56,11.35908
1.0,79,11.379797
1.0,75,11.399427
1.0,77,11.419713
1.0,79,11.440768
1.0,85,11.462951
1.0,78,11.483477
1.0,89,11.506794
1.0,77,11.527131
1.0,85,11.549951
0.0,21,11.555526
1.0,80,11.577125
1.0,84,11.599468
1.0,88,11.622478
1.0,84,11.64467
1.0,93,11.669002
1.0,73,11.688188
0.0,11,11.691084
1.0,82,11.712621
0.0,36,11.722123
1.0,76,11.74202
1.0,77,11.762254
1.0,84,11.784259
1.0,83,11.805972
1.0,83,11.828381
0.0,28,11.835719
1.0,78,11.856879
1.0,81,11.878081
0.0,793,12.086452
1.0,83,12.108598
0.0,77,12.129109
1.0,79,12.150375
1.0,80,12.171712
1.0,73,12.19092
1.0,78,12.211467
1.0,82,12.232943
1.0,75,12.252753
1.0,87,12.275567
1.0,88,12.298584
1.0,84,12.320634
1.0,71,12.339662
1.0,81,12.361401
1.0,75,12.381259
1.0,83,12.403445
1.0,84,12.425501
0.0,9,12.427866
1.0,78,12.44835
1.0,78,12.469072
1.0,84,12.491098
1.0,83,12.512951
1.0,79,12.533709
0.0,49,12.54672
1.0,74,12.56612
1.0,75,12.585892
1.0,86,12.608653
0.0,13,12.612062
1.0,101,12.6393
1.0,92,12.663844
1.0,90,12.687388
0.0,63,12.704029
1.0,78,12.724495
1.0,82,12.746162
1.0,81,12.767677
1.0,76,12.787601
1.0,83,12.809374
0.0,37,12.819005
1.0,79,12.839732
0.0,54,12.853831
1.0,85,12.876173
0.0,9,12.878827
1.0,75,12.898757
0.0,71,12.917673
0.0,66,12.935033
1.0,88,12.958049
1.0,81,12.979215
1.0,76,12.999351
1.0,78,13.019728
1.0,87,13.042557
1.0,86,13.064949
1.0,81,13.086257
1.0,82,13.107698
0.0,11,13.110583
0.0,57,13.12553
1.0,77,13.14615
1.0,81,13.16783
1.0,79,13.18863
1.0,83,13.21037
1.0,79,13.231314
1.0,75,13.250973
1.0,79,13.271784
0.0,22,13.277552
1.0,80,13.298546
0.0,30,13.306354
0.0,9,13.308701
1.0,79,13.329414
1.0,81,13.351123
1.0,84,13.373142
0.0,75,13.392933
1.0,75,13.413027
0.0,22,13.41906
1.0,78,13.439868
0.0,57,13.455002
1.0,78,13.475497
1.0,73,13.494935
1.0,78,13.515357
1.0,81,13.536664
1.0,75,13.556336
1.0,76,13.576367
1.0,75,13.596102
1.0,79,13.616822
0.0,67,13.634574
1.0,75,13.65481
1.0,81,13.676692
1.0,75,13.696665
1.0,80,13.717927
1.0,80,13.738796
1.0,84,13.760858
1.0,79,13.781605
0.0,51,13.795015
1.0,76,13.814962
0.0,13,13.818354
1.0,72,13.837398
1.0,80,13.85832
1.0,79,13.879106
1.0,86,13.901751
0.0,36,13.911167
0.0,40,13.921849
1.0,81,13.943584
1.0,77,13.964142
1.0,75,13.983899
1.0,76,14.003923
1.0,83,14.025936
1.0,86,14.048684
1.0,82,14.070242
0.0,11,14.073132
1.0,77,14.093385
0.0,11,14.096268
1.0,86,14.118799
1.0,82,14.140409
1.0,85,14.162649
1.0,85,14.18495
1.0,76,14.205452
1.0,75,14.225473
0.0,64,14.242427
1.0,77,14.262617
0.0,18,14.267326
1.0,79,14.288696
1.0,81,14.309873
1.0,80,14.330937
1.0,83,14.35281
1.0,77,14.373001
0.0,59,14.388596
0.0,62,14.404914
1.0,81,14.426161
1.0,79,14.446967
1.0,74,14.467083
1.0,75,14.48723
1.0,82,14.50905
1.0,75,14.528723
1.0,83,14.550509
1.0,78,14.570945
1.0,80,14.591907
1.0,73,14.611015
1.0,82,14.63258
0.0,20,14.637828
1.0,73,14.657088
1.0,97,14.682497
0.0,13,14.685875
0.0,50,14.699064
1.0,76,14.71925
1.0,83,14.74167
1.0,74,14.761452
1.0,80,14.782575
1.0,81,14.803903
1.0,76,14.824285
1.0,81,14.845572
0.0,69,14.863576
1.0,84,14.885615
0.0,59,14.901062
1.0,82,14.922669
1.0,79,14.943334
1.0,93,14.967654
1.0,79,14.988681
1.0,77,15.009404
1.0,78,15.030165
1.0,86,15.052786
1.0,76,15.072831
1.0,78,15.093245
1.0,83,15.115091
1.0,81,15.136381
1.0,81,15.157706
1.0,76,15.177649
1.0,81,15.199007
1.0,85,15.221217
1.0,92,15.245536
1.0,92,15.269981
0.0,32,15.278751
0.0,63,15.295316
1.0,77,15.315635
1.0,76,15.335669
1.0,79,15.356306
1.0,81,15.377642
1.0,83,15.399463
1.0,81,15.421154
1.0,75,15.441065
1.0,87,15.464034
1.0,79,15.484765
1.0,75,15.504484
0.0,22,15.51052
1.0,79,15.531603
1.0,83,15.553898
1.0,79,15.574763
0.0,63,15.591314
1.0,79,15.612142
1.0,77,15.632473
1.0,78,15.653154
1.0,77,15.673382
1.0,89,15.696758
1.0,79,15.717671
1.0,83,15.739638
0.0,59,15.755481
0.0,20,15.76077
0.0,15,15.764818
1.0,80,15.787142
1.0,74,15.808325
1.0,76,15.829562
1.0,72,15.849513
1.0,79,15.870688
1.0,77,15.891296
1.0,78,15.912117
1.0,77,15.932622
1.0,81,15.954257
1.0,77,15.974471
1.0,74,15.993933
0.0,61,16.010441
1.0,86,16.033109
1.0,76,16.053466
1.0,79,16.074651
1.0,86,16.097683
1.0,76,16.117666
0.0,48,16.130382
1.0,86,16.152962
1.0,77,16.173285
1.0,81,16.194489
0.0,33,16.203084
1.0,84,16.225146
0.0,15,16.22926
1.0,77,16.249501
1.0,77,16.26968
1.0,83,16.291752
1.0,77,16.312292
1.0,81,16.334089
0.0,63,16.351113
1.0,78,16.371851
0.0,76,16.391747
0.0,25,16.39826
1.0,81,16.419433
1.0,79,16.44003
1.0,75,16.459706
1.0,78,16.480302
1.0,81,16.501457
1.0,81,16.522713
1.0,75,16.542378
1.0,82,16.564121
1.0,77,16.584942
1.0,77,16.605522
1.0,76,16.625729
0.0,40,16.636396
1.0,81,16.657909
1.0,75,16.677701
1.0,80,16.698725
1.0,83,16.720433
1.0,85,16.742715
1.0,76,16.762605
0.0,47,16.77497
1.0,76,16.794879
1.0,93,16.819327
1.0,86,16.842015
1.0,79,16.863341
1.0,81,16.884877
0.0,54,16.899165
0.0,36,16.908657
1.0,79,16.92942
1.0,82,16.95089
1.0,86,16.973462
1.0,85,16.995661
0.0,11,16.998614
1.0,80,17.019634
1.0,79,17.040464
1.0,79,17.061223
1.0,78,17.081784
0.0,61,17.097889
1.0,83,17.120183
1.0,82,17.142342
0.0,66,17.159711
0.0,18,17.164532
1.0,81,17.185709
1.0,86,17.20867
1.0,75,17.228432
1.0,78,17.248858
1.0,87,17.271756
1.0,79,17.292431
0.0,24,17.298731
1.0,81,17.320086
1.0,91,17.343869
1.0,79,17.364741
1.0,81,17.386462
1.0,84,17.408952
0.0,40,17.419508
0.0,18,17.424211
1.0,77,17.444384
1.0,77,17.464666
0.0,63,17.481088
1.0,79,17.501907
0.0,36,17.511321
0.0,61,17.527262
1.0,77,17.547536
1.0,79,17.568339
1.0,75,17.588011
1.0,74,17.607539
0.0,7,17.609361
1.0,79,17.630425
0.0,7,17.632268
1.0,82,17.654584
0.0,13,17.658016
1.0,71,17.677055
0.0,34,17.686075
1.0,82,17.707734
1.0,86,17.730468
1.0,77,17.750663
1.0,82,17.7722
1.0,77,17.792391
1.0,81,17.814056
1.0,75,17.833993
0.0,59,17.849569
1.0,78,17.870334
1.0,84,17.892504
1.0,85,17.91497
1.0,77,17.935707
1.0,75,17.955587
1.0,75,17.975283
1.0,84,17.997492
1.0,84,18.019724
1.0,75,18.039551
1.0,85,18.061916
0.0,9,18.064265
1.0,79,18.085051
1.0,85,18.107332
0.0,38,18.117242
1.0,83,18.139093
1.0,79,18.16007
1.0,83,18.18246
1.0,83,18.204581
1.0,81,18.225929
1.0,81,18.247188
1.0,84,18.269145
1.0,77,18.289457
1.0,75,18.309107
1.0,77,18.329403
1.0,77,18.349591
1.0,83,18.371465
1.0,78,18.391995
1.0,86,18.415025
1.0,87,18.438318
1.0,80,18.459794
1.0,73,18.479513
1.0,77,18.499743
1.0,76,18.519705
0.0,15,18.523626
1.0,79,18.54434
1.0,77,18.564661
1.0,77,18.584949
1.0,74,18.604659
1.0,78,18.625109
0.0,32,18.633728
1.0,80,18.655689
0.0,59,18.671407
1.0,83,18.693322
0.0,64,18.710716
1.0,89,18.734433
1.0,79,18.755426
1.0,84,18.777619
0.0,83,18.799331
1.0,79,18.820235
1.0,78,18.840668
1.0,82,18.862253
1.0,81,18.883516
1.0,81,18.904878
1.0,87,18.927676
0.0,72,18.946646
1.0,73,18.966504
1.0,75,18.986669
1.0,77,19.007349
0.0,61,19.023473
1.0,82,19.045326
1.0,78,19.065777
1.0,73,19.085056
1.0,84,19.107072
1.0,78,19.127546
1.0,78,19.148195
1.0,90,19.171846
1.0,78,19.192313
1.0,79,19.213109
1.0,92,19.238699
1.0,87,19.261929
0.0,44,19.273567
0.0,46,19.285631
1.0,75,19.30519
1.0,73,19.324518
0.0,84,19.346635
0.0,13,19.350071
0.0,11,19.352946
1.0,84,19.374788
1.0,80,19.395832
1.0,82,19.41725
1.0,77,19.437544
1.0,74,19.456906
0.0,48,19.469547
1.0,78,19.490493
1.0,76,19.510966
0.0,9,19.513529
1.0,80,19.534869
1.0,82,19.55634
1.0,81,19.577643
