# {"t_start": 1641569469.2145996, "env_id": "Office-v0"} 
r,l,t
0.0,31,0.010144
0.0,116,0.045576
0.0,47,0.059639
0.0,97,0.088984
0.0,15,0.093521
0.0,166,0.1435
0.0,88,0.16996
0.0,131,0.209664
0.0,115,0.244428
0.0,79,0.268553
0.0,449,0.40682
0.0,116,0.441883
1.0,318,0.538075
0.0,56,0.554924
0.0,308,0.649112
0.0,140,0.691544
1.0,321,0.788618
0.0,238,0.860537
0.0,187,0.918263
0.0,138,0.960476
1.0,182,1.015749
0.0,237,1.086962
0.0,223,1.155173
0.0,38,1.166756
0.0,402,1.289949
0.0,294,1.378703
0.0,103,1.410499
0.0,191,1.468171
0.0,160,1.516473
0.0,36,1.528144
0.0,170,1.580323
0.0,101,1.610679
0.0,140,1.653277
0.0,477,1.79794
0.0,241,1.872035
0.0,475,2.015544
1.0,81,2.039837
1.0,679,2.246692
0.0,206,2.308644
0.0,1000,2.613224
1.0,237,2.684711
1.0,399,2.806898
0.0,388,2.925552
0.0,616,3.113631
0.0,1000,3.419278
0.0,351,3.525786
0.0,34,3.536264
0.0,215,3.600791
0.0,605,3.785481
0.0,611,3.971988
0.0,287,4.059689
0.0,1000,4.363386
0.0,96,4.392965
0.0,279,4.4775
0.0,125,4.515506
0.0,182,4.571039
1.0,170,4.623417
0.0,285,4.709672
0.0,37,4.721087
0.0,1000,5.025826
1.0,116,5.060686
0.0,19,5.066482
0.0,49,5.081339
0.0,1000,5.384622
1.0,325,5.483852
0.0,35,5.494791
0.0,75,5.518024
0.0,531,5.679738
1.0,104,5.711299
0.0,698,5.925069
0.0,35,5.935762
0.0,440,6.06949
1.0,254,6.148498
0.0,211,6.213336
0.0,186,6.270279
0.0,434,6.403939
1.0,57,6.422276
0.0,101,6.453558
0.0,235,6.5258
0.0,293,6.615352
1.0,66,6.635561
1.0,585,6.815475
0.0,156,6.863898
1.0,292,6.954108
1.0,75,6.977048
0.0,163,7.02784
0.0,170,7.080544
0.0,131,7.120658
1.0,103,7.152533
1.0,582,7.331446
1.0,292,7.421641
1.0,351,7.528891
1.0,47,7.543261
1.0,348,7.649914
0.0,36,7.661418
0.0,219,7.727898
0.0,44,7.741383
0.0,290,7.829539
0.0,1000,8.133618
0.0,182,8.189034
1.0,56,8.206016
0.0,257,8.284953
0.0,70,8.306368
0.0,183,8.362184
1.0,45,8.375851
0.0,56,8.393205
0.0,251,8.469704
0.0,78,8.493323
1.0,93,8.521404
1.0,241,8.59517
0.0,558,8.763869
0.0,43,8.776907
1.0,43,8.790347
1.0,420,8.91921
0.0,325,9.018507
1.0,161,9.067462
1.0,62,9.08627
0.0,32,9.096711
0.0,404,9.221032
0.0,1000,9.527359
1.0,59,9.545395
1.0,467,9.687321
0.0,38,9.698871
0.0,993,10.002773
1.0,25,10.010551
0.0,121,10.047198
0.0,43,10.060267
1.0,156,10.109038
1.0,23,10.11631
0.0,189,10.173896
1.0,311,10.267425
0.0,340,10.370591
1.0,26,10.378768
0.0,36,10.390089
0.0,186,10.447273
0.0,395,10.567153
1.0,22,10.573931
1.0,367,10.686219
0.0,3,10.687167
0.0,380,10.803306
1.0,22,10.810067
1.0,106,10.842556
1.0,350,10.949424
0.0,351,11.056246
1.0,24,11.063621
1.0,534,11.226062
0.0,24,11.233363
0.0,1000,11.538596
0.0,89,11.565662
0.0,287,11.654194
1.0,683,11.862791
0.0,301,11.955475
1.0,19,11.961436
0.0,101,11.992125
1.0,345,12.096137
0.0,156,12.144146
1.0,20,12.150224
1.0,405,12.274124
1.0,300,12.36585
0.0,386,12.483847
1.0,22,12.490596
1.0,166,12.541773
1.0,244,12.616498
1.0,107,12.649036
1.0,20,12.65516
1.0,218,12.72094
0.0,272,12.803241
0.0,1000,13.108852
1.0,52,13.124844
1.0,177,13.179489
0.0,410,13.303707
1.0,54,13.320139
1.0,19,13.326099
1.0,164,13.376079
1.0,269,13.458706
1.0,117,13.495003
1.0,20,13.501058
1.0,228,13.570344
0.0,159,13.618984
1.0,44,13.632453
1.0,23,13.639504
0.0,19,13.645299
0.0,109,13.678287
0.0,97,13.707718
1.0,21,13.714112
1.0,168,13.766161
0.0,375,13.881491
1.0,40,13.894079
1.0,18,13.899634
0.0,62,13.918925
1.0,668,14.123418
1.0,66,14.143657
1.0,20,14.149728
1.0,158,14.197647
0.0,39,14.20988
0.0,320,14.306904
1.0,18,14.312432
1.0,185,14.369558
0.0,451,14.508366
0.0,9,14.511137
1.0,24,14.518393
1.0,176,14.571832
0.0,27,14.57994
1.0,458,14.719947
1.0,18,14.725397
1.0,309,14.819121
0.0,108,14.85251
0.0,41,14.86497
0.0,11,14.868301
0.0,30,14.877373
1.0,131,14.917277
0.0,71,14.938854
1.0,22,14.945508
1.0,117,14.981787
1.0,204,15.044294
1.0,53,15.060405
1.0,19,15.066091
1.0,141,15.10897
0.0,92,15.136727
0.0,16,15.141616
1.0,20,15.147779
1.0,158,15.195936
0.0,52,15.211743
