episodes,steps,total reward
82,10000,4.0
131,20000,6.0
183,30000,6.0
217,40000,9.0
257,50000,10.0
293,60000,11.0
325,70000,9.0
361,80000,14.0
401,90000,15.0
429,100000,13.0
474,110000,14.0
508,120000,17.0
562,130000,26.0
606,140000,21.0
646,150000,18.0
699,160000,21.0
743,170000,19.0
799,180000,22.0
839,190000,19.0
890,200000,29.0
923,210000,16.0
982,220000,35.0
1026,230000,26.0
1067,240000,21.0
1118,250000,28.0
1166,260000,25.0
1226,270000,28.0
1278,280000,30.0
1339,290000,29.0
1395,300000,29.0
1462,310000,36.0
1515,320000,29.0
1574,330000,35.0
1609,340000,22.0
1667,350000,29.0
1727,360000,32.0
1778,370000,30.0
1839,380000,38.0
1894,390000,33.0
1951,400000,35.0
2027,410000,51.0
2075,420000,32.0
2150,430000,45.0
2219,440000,44.0
2279,450000,41.0
2343,460000,45.0
2415,470000,47.0
2489,480000,50.0
2559,490000,45.0
2615,500000,40.0
2691,510000,50.0
2771,520000,55.0
2847,530000,47.0
2923,540000,55.0
3011,550000,59.0
3087,560000,51.0
3155,570000,45.0
3235,580000,55.0
3315,590000,54.0
3383,600000,49.0
3463,610000,55.0
3533,620000,49.0
3603,630000,43.0
3675,640000,47.0
3747,650000,51.0
3823,660000,54.0
3907,670000,56.0
3975,680000,46.0
4051,690000,55.0
4115,700000,43.0
4187,710000,46.0
4260,720000,52.0
4327,730000,49.0
4399,740000,47.0
4470,750000,46.0
4559,760000,61.0
4639,770000,53.0
4739,780000,72.0
4815,790000,52.0
4899,800000,58.0
4956,810000,36.0
5035,820000,60.0
5135,830000,66.0
5207,840000,46.0
5303,850000,63.0
5363,860000,41.0
5423,870000,42.0
5484,880000,42.0
5582,890000,67.0
5652,900000,48.0
5735,910000,58.0
5810,920000,56.0
5889,930000,55.0
5995,940000,72.0
6075,950000,55.0
6147,960000,49.0
6223,970000,56.0
6287,980000,38.0
6359,990000,46.0
6443,1000000,59.0
