episodes,steps,total reward
58,10000,0.0
94,20000,0.0
123,30000,0.0
148,40000,0.0
179,50000,0.0
204,60000,0.0
231,70000,0.0
254,80000,0.0
279,90000,0.0
310,100000,0.0
341,110000,0.0
361,120000,0.0
386,130000,0.0
409,140000,0.0
429,150000,0.0
464,160000,0.0
482,170000,0.0
512,180000,0.0
546,190000,0.0
583,200000,0.0
605,210000,0.0
626,220000,0.0
646,230000,0.0
675,240000,0.0
699,250000,0.0
721,260000,0.0
742,270000,0.0
765,280000,0.0
787,290000,0.0
811,300000,0.0
832,310000,0.0
857,320000,0.0
881,330000,0.0
907,340000,0.0
942,350000,0.0
959,360000,0.0
988,370000,0.0
1010,380000,0.0
1030,390000,0.0
1056,400000,0.0
1080,410000,0.0
1105,420000,0.0
1126,430000,0.0
1145,440000,1.0
1171,450000,0.0
1193,460000,0.0
1215,470000,0.0
1234,480000,0.0
1262,490000,0.0
1288,500000,0.0
1318,510000,0.0
1341,520000,0.0
1363,530000,0.0
1387,540000,0.0
1404,550000,0.0
1428,560000,0.0
1452,570000,0.0
1473,580000,0.0
1497,590000,0.0
1520,600000,0.0
1549,610000,1.0
1574,620000,0.0
1598,630000,0.0
1624,640000,1.0
1647,650000,1.0
1673,660000,1.0
1696,670000,1.0
1720,680000,0.0
1741,690000,1.0
1763,700000,0.0
1780,710000,0.0
1805,720000,1.0
1829,730000,0.0
1848,740000,2.0
1875,750000,1.0
1898,760000,0.0
1923,770000,1.0
1951,780000,2.0
1977,790000,3.0
2002,800000,1.0
2028,810000,3.0
2055,820000,2.0
2084,830000,4.0
2106,840000,2.0
2126,850000,1.0
2153,860000,4.0
2178,870000,3.0
2204,880000,5.0
2224,890000,1.0
2255,900000,4.0
2282,910000,7.0
2308,920000,6.0
2339,930000,5.0
2367,940000,6.0
2397,950000,8.0
2427,960000,4.0
2459,970000,9.0
2488,980000,12.0
2518,990000,11.0
2550,1000000,13.0
