# {"t_start": 1642026300.4292219, "env_id": "Office-single-v0"} 
r,l,t
0.0,25,0.00108
0.0,25,0.001844
0.0,72,0.004046
0.0,53,0.00565
0.0,213,0.01224
0.0,15,0.012759
0.0,76,0.014994
0.0,132,0.018908
0.0,92,0.021633
0.0,127,0.02538
0.0,22,0.026062
0.0,124,0.029712
0.0,130,0.033517
0.0,111,0.037031
0.0,78,0.039265
0.0,64,0.041185
0.0,100,0.044087
0.0,87,0.046611
0.0,39,0.047764
0.0,54,0.049378
0.0,139,0.053348
0.0,135,0.057271
0.0,92,0.059949
0.0,426,0.072796
0.0,184,0.078196
0.0,72,0.080323
0.0,37,0.081441
0.0,132,0.085313
0.0,228,0.091945
0.0,159,0.096631
0.0,178,0.101886
0.0,378,0.112971
0.0,287,0.121348
0.0,70,0.123415
0.0,214,0.12969
0.0,84,0.132188
0.0,59,0.133938
0.0,76,0.136203
0.0,242,0.143265
0.0,148,0.147641
0.0,488,0.162881
0.0,361,0.17352
0.0,388,0.184912
0.0,284,0.193302
0.0,382,0.204413
0.0,144,0.208701
0.0,129,0.212532
0.0,394,0.224011
0.0,149,0.228421
0.0,360,0.238898
0.0,122,0.242504
0.0,595,0.259904
0.0,178,0.265215
0.0,300,0.274018
0.0,269,0.281927
0.0,122,0.285543
0.0,63,0.287432
0.0,575,0.304727
0.0,108,0.308117
0.0,122,0.311888
0.0,263,0.319829
0.0,241,0.327119
0.0,200,0.333188
0.0,121,0.336908
0.0,521,0.352247
0.0,634,0.370739
0.0,677,0.390483
0.0,131,0.394338
0.0,214,0.400621
0.0,112,0.403964
0.0,26,0.404766
0.0,559,0.421018
0.0,494,0.435432
0.0,472,0.449307
0.0,75,0.451531
0.0,736,0.473177
0.0,79,0.475515
0.0,61,0.477369
0.0,100,0.480315
0.0,181,0.48562
0.0,24,0.486376
0.0,214,0.492713
0.0,13,0.49314
0.0,189,0.498736
0.0,34,0.499768
0.0,334,0.509525
0.0,144,0.51394
0.0,124,0.517811
0.0,202,0.524149
0.0,413,0.536302
0.0,141,0.540472
0.0,242,0.547572
0.0,1000,0.576754
0.0,24,0.577504
0.0,106,0.580673
0.0,1000,0.610566
0.0,1000,0.64049
0.0,733,0.661938
0.0,279,0.670234
0.0,362,0.680819
0.0,661,0.70011
0.0,68,0.702207
0.0,159,0.7073
0.0,78,0.70962
0.0,1000,0.73852
0.0,507,0.753516
0.0,46,0.754901
0.0,1000,0.784702
0.0,232,0.791471
0.0,80,0.793843
0.0,1000,0.822913
0.0,69,0.824982
0.0,1000,0.853792
0.0,42,0.855171
0.0,95,0.857973
0.0,1000,0.887147
0.0,294,0.895851
0.0,119,0.899534
0.0,195,0.905548
0.0,22,0.906275
0.0,94,0.909055
0.0,220,0.915702
0.0,828,0.940197
0.0,201,0.94613
0.0,238,0.953152
0.0,385,0.964355
0.0,718,0.985474
0.0,318,0.994758
0.0,102,0.997758
0.0,153,1.002279
0.0,403,1.014165
0.0,116,1.017599
0.0,1000,1.046486
0.0,157,1.051104
0.0,307,1.059976
0.0,464,1.07352
0.0,221,1.080004
0.0,1000,1.108997
0.0,590,1.126201
0.0,291,1.134732
0.0,64,1.136646
0.0,193,1.142328
0.0,1000,1.17122
0.0,851,1.196599
0.0,1000,1.226165
0.0,103,1.229185
0.0,30,1.230097
0.0,1000,1.259374
0.0,160,1.264197
0.0,980,1.292729
0.0,475,1.306524
0.0,832,1.330814
0.0,187,1.336303
0.0,94,1.339109
0.0,51,1.340628
0.0,141,1.344736
0.0,1000,1.374345
0.0,141,1.378474
0.0,327,1.388366
0.0,346,1.398469
0.0,323,1.407915
0.0,222,1.414461
0.0,185,1.419893
0.0,111,1.423184
0.0,412,1.435215
0.0,32,1.4362
0.0,618,1.454585
0.0,10,1.454922
0.0,292,1.463654
0.0,36,1.464811
0.0,613,1.483071
0.0,254,1.491158
0.0,379,1.502545
0.0,1000,1.531951
0.0,421,1.544307
0.0,188,1.549822
0.0,422,1.562081
0.0,64,1.563975
0.0,341,1.574061
0.0,197,1.579898
0.0,54,1.581511
0.0,157,1.586095
0.0,774,1.60855
0.0,50,1.610037
0.0,51,1.611601
0.0,382,1.622743
0.0,268,1.630601
0.0,827,1.654756
0.0,823,1.678589
0.0,349,1.688882
0.0,90,1.691551
0.0,85,1.694146
0.0,1000,1.723126
0.0,1000,1.752132
0.0,35,1.7532
0.0,189,1.758717
0.0,10,1.759047
0.0,68,1.761052
0.0,142,1.765322
0.0,119,1.769056
0.0,968,1.798001
0.0,314,1.807572
0.0,1000,1.836809
0.0,210,1.843047
0.0,711,1.863808
0.0,555,1.880097
0.0,538,1.895922
0.0,61,1.897744
0.0,95,1.90056
0.0,274,1.908602
0.0,778,1.931241
0.0,84,1.93374
0.0,122,1.937301
0.0,63,1.939169
0.0,1000,1.968983
0.0,116,1.972431
0.0,424,1.984777
0.0,1000,2.013964
0.0,1000,2.043033
0.0,207,2.049131
0.0,96,2.051981
0.0,105,2.055053
0.0,502,2.070054
0.0,76,2.072307
0.0,106,2.075641
0.0,53,2.07752
0.0,238,2.084639
0.0,1000,2.114479
0.0,48,2.11593
0.0,55,2.117577
0.0,1000,2.146691
0.0,53,2.148274
0.0,72,2.150401
0.0,66,2.152344
0.0,98,2.155237
0.0,43,2.156532
0.0,422,2.168839
0.0,1000,2.197953
0.0,39,2.199131
0.0,550,2.215311
0.0,137,2.219466
0.0,224,2.226007
0.0,13,2.226429
0.0,1000,2.255657
0.0,1000,2.284928
0.0,41,2.286166
0.0,1000,2.31527
0.0,983,2.343987
0.0,160,2.348707
0.0,21,2.34935
0.0,130,2.353168
