# {"t_start": 1641593173.249011, "env_id": "Office-single-v0"} 
r,l,t
0.0,34,0.001506
0.0,10,0.001919
0.0,35,0.003203
0.0,41,0.00469
0.0,57,0.00673
0.0,249,0.016618
0.0,13,0.01705
0.0,170,0.022166
0.0,62,0.024069
0.0,72,0.026197
0.0,73,0.028378
0.0,33,0.029413
0.0,46,0.03078
0.0,64,0.032663
0.0,172,0.037999
0.0,234,0.045017
0.0,11,0.045377
0.0,101,0.048314
0.0,144,0.052576
0.0,49,0.054041
0.0,21,0.054683
0.0,103,0.057673
0.0,182,0.063771
0.0,199,0.069852
0.0,83,0.072328
0.0,306,0.081597
0.0,97,0.084567
0.0,430,0.097595
0.0,451,0.111448
0.0,292,0.120361
0.0,140,0.124866
0.0,84,0.127687
0.0,107,0.131001
0.0,248,0.138438
0.0,199,0.14434
0.0,42,0.145751
0.0,357,0.156648
0.0,62,0.15867
0.0,343,0.169129
0.0,48,0.170686
0.0,316,0.180338
0.0,772,0.203618
0.0,178,0.209152
0.0,225,0.215841
0.0,159,0.220795
0.0,312,0.2301
0.0,289,0.23883
0.0,103,0.241991
0.0,36,0.243109
0.0,242,0.250679
0.0,306,0.259946
0.0,144,0.264365
0.0,100,0.267632
0.0,20,0.268253
0.0,43,0.269582
0.0,159,0.274466
0.0,223,0.281327
0.0,154,0.28594
0.0,184,0.291576
0.0,118,0.295155
0.0,66,0.297161
0.0,141,0.301367
0.0,246,0.308961
0.0,312,0.318533
0.0,134,0.322684
0.0,1000,0.353323
0.0,182,0.358787
0.0,49,0.360266
0.0,275,0.368706
0.0,78,0.371275
0.0,83,0.373856
0.0,506,0.389343
0.0,118,0.392956
0.0,76,0.395273
0.0,282,0.403889
0.0,116,0.407392
0.0,134,0.411526
0.0,468,0.425605
0.0,809,0.450098
0.0,89,0.452768
0.0,72,0.454931
0.0,1000,0.485631
0.0,5,0.48583
0.0,145,0.490185
0.0,52,0.491752
0.0,90,0.494656
0.0,134,0.498717
0.0,159,0.50361
0.0,352,0.514157
0.0,107,0.517582
0.0,668,0.538225
0.0,117,0.541781
0.0,108,0.545017
0.0,442,0.558384
0.0,312,0.567845
0.0,286,0.576656
0.0,338,0.587017
0.0,333,0.597193
0.0,121,0.600825
0.0,60,0.602633
0.0,5,0.602811
0.0,234,0.609902
0.0,344,0.620506
0.0,243,0.627904
0.0,960,0.657064
0.0,3,0.657196
0.0,466,0.67122
0.0,207,0.677643
0.0,23,0.678367
0.0,130,0.682273
0.0,207,0.688756
0.0,327,0.698611
0.0,77,0.700933
0.0,43,0.702259
0.0,337,0.712449
0.0,1000,0.742451
0.0,45,0.743841
0.0,203,0.750047
0.0,452,0.763733
0.0,559,0.780561
0.0,1000,0.811053
0.0,1000,0.841635
0.0,147,0.846081
0.0,142,0.850367
0.0,65,0.852325
0.0,427,0.865249
