episodes,steps,total reward
11,1000,0.0
28,2000,0.0
39,3000,0.0
48,4000,1.0
56,5000,1.0
65,6000,0.0
71,7000,0.0
77,8000,0.0
83,9000,0.0
88,10000,0.0
95,11000,1.0
101,12000,0.0
108,13000,1.0
113,14000,1.0
117,15000,1.0
123,16000,1.0
129,17000,1.0
133,18000,0.0
140,19000,0.0
145,20000,2.0
149,21000,0.0
157,22000,1.0
162,23000,0.0
167,24000,1.0
169,25000,0.0
171,26000,1.0
174,27000,2.0
177,28000,1.0
181,29000,2.0
185,30000,2.0
189,31000,2.0
196,32000,1.0
201,33000,0.0
206,34000,0.0
211,35000,1.0
213,36000,0.0
218,37000,0.0
224,38000,1.0
229,39000,2.0
231,40000,1.0
234,41000,1.0
238,42000,1.0
243,43000,1.0
245,44000,1.0
251,45000,1.0
256,46000,1.0
261,47000,1.0
263,48000,1.0
266,49000,1.0
271,50000,0.0
277,51000,2.0
280,52000,1.0
283,53000,1.0
286,54000,2.0
294,55000,2.0
295,56000,0.0
298,57000,2.0
302,58000,0.0
305,59000,0.0
306,60000,1.0
310,61000,1.0
314,62000,1.0
319,63000,1.0
321,64000,1.0
325,65000,1.0
326,66000,1.0
331,67000,1.0
332,68000,1.0
339,69000,2.0
343,70000,1.0
348,71000,0.0
351,72000,1.0
354,73000,1.0
355,74000,0.0
357,75000,0.0
363,76000,1.0
369,77000,2.0
371,78000,1.0
377,79000,3.0
382,80000,1.0
386,81000,1.0
389,82000,1.0
392,83000,1.0
395,84000,2.0
398,85000,0.0
402,86000,1.0
406,87000,0.0
410,88000,1.0
413,89000,1.0
419,90000,3.0
420,91000,0.0
425,92000,3.0
430,93000,3.0
431,94000,1.0
434,95000,1.0
438,96000,1.0
439,97000,1.0
445,98000,2.0
447,99000,1.0
450,100000,2.0
