# {"t_start": 1641598014.7812319, "env_id": "Office-v0"} 
r,l,t
0.0,228,0.009347
0.0,78,0.012057
0.0,82,0.014824
0.0,36,0.015969
0.0,17,0.016531
0.0,116,0.020141
0.0,224,0.027476
0.0,23,0.02823
0.0,5,0.028413
0.0,55,0.030198
0.0,55,0.031871
0.0,130,0.03599
0.0,196,0.041997
0.0,29,0.042948
0.0,37,0.044066
0.0,146,0.048621
0.0,48,0.050148
0.0,107,0.053544
0.0,36,0.054653
0.0,51,0.056182
0.0,178,0.061815
0.0,24,0.062566
0.0,51,0.064136
0.0,27,0.065005
0.0,40,0.066543
0.0,62,0.068454
0.0,64,0.070458
0.0,178,0.075939
0.0,68,0.078069
0.0,196,0.084141
0.0,40,0.085532
0.0,61,0.087492
0.0,91,0.090288
0.0,69,0.092425
0.0,123,0.096234
0.0,106,0.099613
0.0,49,0.10124
0.0,44,0.1026
0.0,62,0.104564
0.0,203,0.111103
0.0,173,0.116397
0.0,300,0.125597
0.0,206,0.132133
0.0,12,0.13256
0.0,30,0.133517
0.0,86,0.136199
0.0,154,0.140881
0.0,32,0.141891
0.0,385,0.15398
0.0,29,0.154916
0.0,559,0.172291
0.0,62,0.174228
1.0,165,0.179287
0.0,65,0.181542
0.0,77,0.18405
0.0,147,0.188535
0.0,69,0.190686
0.0,209,0.197402
0.0,104,0.200612
0.0,113,0.204333
1.0,121,0.208064
0.0,341,0.21883
0.0,48,0.220359
0.0,61,0.222273
0.0,9,0.222579
0.0,71,0.224959
0.0,228,0.23188
0.0,228,0.239043
1.0,169,0.244419
0.0,356,0.255669
0.0,276,0.26472
0.0,61,0.266607
0.0,45,0.268028
0.0,354,0.279021
0.0,188,0.285151
0.0,123,0.289125
0.0,123,0.292937
0.0,77,0.295306
0.0,150,0.299987
0.0,22,0.300703
0.0,239,0.308012
0.0,169,0.313389
0.0,373,0.325367
0.0,47,0.326813
0.0,150,0.331373
0.0,384,0.343325
0.0,266,0.351885
0.0,117,0.355538
0.0,123,0.359619
0.0,81,0.362154
0.0,149,0.366666
0.0,144,0.371161
1.0,93,0.374192
0.0,87,0.376932
0.0,122,0.381063
0.0,74,0.383332
0.0,145,0.38802
0.0,285,0.39676
0.0,373,0.40919
0.0,138,0.413708
1.0,311,0.423317
0.0,460,0.437502
0.0,48,0.438995
0.0,322,0.449261
1.0,282,0.458141
0.0,352,0.469058
0.0,284,0.478224
0.0,24,0.479022
0.0,320,0.488939
0.0,298,0.498332
0.0,251,0.50608
0.0,253,0.514351
0.0,21,0.515024
0.0,116,0.518633
0.0,166,0.523902
0.0,114,0.527492
1.0,122,0.531484
0.0,62,0.533449
0.0,181,0.539147
0.0,11,0.539511
1.0,208,0.545905
0.0,222,0.552747
0.0,207,0.559432
0.0,231,0.566699
0.0,261,0.575232
0.0,176,0.580854
0.0,59,0.582676
0.0,91,0.585476
1.0,82,0.588217
0.0,717,0.61046
0.0,347,0.621355
0.0,52,0.622946
0.0,182,0.628858
1.0,555,0.646363
0.0,158,0.651349
0.0,303,0.660648
1.0,123,0.664809
0.0,221,0.671737
0.0,167,0.676985
0.0,7,0.677233
0.0,368,0.688902
0.0,70,0.691103
0.0,45,0.692502
0.0,133,0.696801
0.0,153,0.701578
0.0,329,0.711863
0.0,173,0.717225
0.0,144,0.721979
1.0,69,0.724108
1.0,840,0.750096
0.0,65,0.752118
0.0,168,0.757574
0.0,240,0.765213
1.0,365,0.776739
0.0,349,0.787802
0.0,67,0.789922
0.0,65,0.792242
0.0,151,0.796822
0.0,388,0.808936
0.0,78,0.811327
0.0,129,0.8155
1.0,743,0.838882
0.0,85,0.841527
0.0,101,0.844637
0.0,162,0.849704
1.0,424,0.863126
0.0,160,0.868158
0.0,58,0.869985
1.0,139,0.874566
1.0,755,0.897945
0.0,65,0.900017
0.0,78,0.902482
1.0,57,0.904275
0.0,107,0.907619
0.0,328,0.918308
0.0,43,0.919659
0.0,358,0.931063
1.0,293,0.940075
0.0,150,0.944741
0.0,357,0.9562
0.0,306,0.966122
0.0,385,0.978188
0.0,122,0.982202
0.0,149,0.987117
0.0,32,0.98816
0.0,9,0.988469
0.0,194,0.994525
0.0,91,0.997368
0.0,375,1.008848
0.0,472,1.023958
0.0,374,1.035722
0.0,122,1.039462
1.0,115,1.04301
0.0,59,1.045218
0.0,56,1.046918
0.0,333,1.057219
0.0,37,1.058439
0.0,50,1.060169
0.0,286,1.069031
0.0,154,1.073764
0.0,79,1.076421
0.0,121,1.080327
0.0,253,1.088404
0.0,197,1.094447
0.0,186,1.100386
1.0,650,1.120848
0.0,45,1.122244
0.0,137,1.126516
1.0,87,1.129211
0.0,87,1.131978
0.0,65,1.134104
0.0,100,1.1375
1.0,147,1.142257
1.0,727,1.164489
0.0,367,1.176308
0.0,285,1.18516
0.0,65,1.187157
0.0,62,1.1891
0.0,562,1.2067
0.0,310,1.216555
0.0,27,1.217402
0.0,478,1.232285
0.0,423,1.245679
0.0,133,1.249757
0.0,301,1.259118
1.0,664,1.279943
0.0,621,1.299632
0.0,244,1.307178
1.0,264,1.315366
0.0,88,1.318265
0.0,235,1.325558
0.0,348,1.33671
0.0,135,1.340894
0.0,71,1.343059
0.0,34,1.344117
0.0,429,1.357508
0.0,169,1.362944
0.0,597,1.381464
0.0,235,1.389077
0.0,309,1.398872
0.0,517,1.414863
0.0,78,1.417259
0.0,203,1.424116
0.0,219,1.430888
1.0,55,1.432595
0.0,133,1.436717
0.0,613,1.455915
0.0,114,1.459457
0.0,55,1.461243
1.0,547,1.478246
0.0,435,1.492229
0.0,558,1.50962
0.0,805,1.534822
0.0,876,1.562163
0.0,98,1.565316
0.0,117,1.568915
1.0,91,1.571875
1.0,299,1.581516
0.0,387,1.593467
