# {"t_start": 1642109191.8183424, "env_id": "Office-v0"} 
r,l,t
0.0,6,0.000689
0.0,141,0.005308
0.0,189,0.01137
0.0,131,0.015484
0.0,196,0.021748
0.0,51,0.023829
0.0,48,0.025292
0.0,46,0.027212
0.0,33,0.028278
0.0,11,0.02868
0.0,28,0.029543
0.0,27,0.03049
0.0,190,0.036269
0.0,34,0.037317
0.0,64,0.039238
0.0,23,0.039968
0.0,28,0.040836
0.0,124,0.044549
0.0,128,0.048408
0.0,142,0.052687
0.0,71,0.054836
0.0,215,0.061286
0.0,131,0.065245
0.0,78,0.067611
0.0,11,0.068113
0.0,40,0.069498
0.0,79,0.071869
0.0,73,0.074075
0.0,36,0.075181
0.0,26,0.075996
0.0,66,0.078002
0.0,140,0.082226
0.0,102,0.085305
0.0,42,0.086594
0.0,85,0.089145
0.0,114,0.092571
0.0,67,0.094624
0.0,60,0.09645
0.0,257,0.10412
0.0,19,0.104726
0.0,107,0.108074
0.0,36,0.109185
0.0,153,0.113797
0.0,61,0.115663
0.0,84,0.118126
0.0,42,0.119383
0.0,73,0.12152
0.0,184,0.126923
1.0,160,0.131712
0.0,85,0.13421
0.0,82,0.136762
0.0,73,0.138939
0.0,123,0.142594
0.0,178,0.14812
0.0,109,0.151388
0.0,95,0.154347
1.0,301,0.163229
0.0,173,0.168411
0.0,387,0.179854
0.0,263,0.188456
0.0,56,0.190142
0.0,319,0.199668
0.0,121,0.203297
0.0,48,0.204761
0.0,288,0.213392
0.0,247,0.220916
0.0,30,0.22185
0.0,79,0.224228
0.0,56,0.225909
0.0,379,0.237024
0.0,78,0.239415
0.0,119,0.243108
1.0,459,0.256885
0.0,99,0.259881
0.0,137,0.263959
0.0,17,0.264536
1.0,82,0.266978
0.0,215,0.273323
0.0,127,0.277087
0.0,36,0.278174
0.0,244,0.285359
0.0,212,0.291642
0.0,220,0.298365
0.0,55,0.300047
0.0,280,0.308565
0.0,68,0.310638
0.0,161,0.315672
0.0,40,0.317557
0.0,284,0.326267
0.0,319,0.33618
0.0,184,0.341726
0.0,126,0.345567
0.0,108,0.348814
0.0,93,0.351609
0.0,326,0.362305
0.0,384,0.373795
1.0,241,0.380997
0.0,291,0.389764
0.0,284,0.398269
0.0,54,0.399942
0.0,269,0.407867
0.0,364,0.418721
0.0,281,0.427141
0.0,136,0.431167
1.0,84,0.433712
0.0,292,0.442278
0.0,347,0.452712
0.0,59,0.454481
1.0,180,0.459918
0.0,339,0.469849
0.0,55,0.471531
0.0,29,0.472407
1.0,313,0.481578
0.0,59,0.483366
0.0,91,0.486169
0.0,188,0.491737
0.0,161,0.496555
0.0,601,0.514423
0.0,212,0.52076
0.0,200,0.526793
0.0,186,0.532362
1.0,818,0.556409
0.0,158,0.561256
0.0,46,0.56322
1.0,113,0.567029
0.0,68,0.569127
0.0,168,0.574123
0.0,196,0.580001
0.0,458,0.593584
0.0,453,0.607485
0.0,208,0.613665
0.0,87,0.616284
1.0,65,0.618363
0.0,256,0.625893
0.0,257,0.633565
0.0,88,0.637236
0.0,302,0.646608
0.0,337,0.65765
0.0,209,0.664247
0.0,199,0.670312
1.0,454,0.683959
0.0,556,0.700548
0.0,490,0.715246
0.0,305,0.724324
0.0,52,0.725907
0.0,190,0.731568
0.0,102,0.734646
0.0,92,0.737381
1.0,83,0.739833
1.0,608,0.757971
0.0,72,0.760127
0.0,450,0.773476
0.0,251,0.780951
0.0,252,0.788447
0.0,196,0.794302
0.0,234,0.801417
1.0,85,0.804019
0.0,9,0.804323
0.0,12,0.804705
0.0,44,0.806019
0.0,193,0.811854
1.0,362,0.823733
0.0,113,0.827174
0.0,263,0.83506
0.0,402,0.84708
0.0,68,0.849118
0.0,204,0.855212
0.0,130,0.859087
1.0,406,0.871038
1.0,746,0.893037
0.0,190,0.898749
0.0,96,0.901774
0.0,310,0.911294
1.0,801,0.935901
0.0,64,0.938035
0.0,210,0.945593
0.0,69,0.948154
0.0,170,0.953278
0.0,121,0.956902
0.0,291,0.965608
0.0,12,0.966003
1.0,338,0.976201
0.0,33,0.977213
0.0,617,0.995494
1.0,122,0.999113
0.0,31,1.000074
0.0,33,1.00107
0.0,147,1.005502
0.0,730,1.026978
0.0,90,1.029701
0.0,352,1.040239
0.0,103,1.043333
1.0,52,1.044931
0.0,33,1.045928
0.0,301,1.054965
0.0,132,1.058856
1.0,122,1.062505
0.0,55,1.064157
0.0,152,1.068685
0.0,322,1.078196
1.0,88,1.08087
1.0,659,1.100255
0.0,169,1.105329
0.0,50,1.106865
1.0,73,1.109057
1.0,671,1.128843
0.0,488,1.143285
0.0,255,1.150902
0.0,30,1.151814
0.0,106,1.155006
0.0,562,1.172816
0.0,262,1.180643
0.0,736,1.20236
1.0,552,1.219027
0.0,151,1.223761
0.0,11,1.224126
0.0,16,1.224628
1.0,572,1.24262
0.0,47,1.244205
0.0,397,1.256613
1.0,176,1.262405
1.0,580,1.279784
0.0,161,1.284585
0.0,31,1.285543
1.0,815,1.309608
0.0,140,1.313727
0.0,302,1.322778
0.0,64,1.324754
1.0,50,1.326481
0.0,87,1.329151
0.0,27,1.329973
0.0,128,1.333839
1.0,719,1.354934
1.0,313,1.364247
0.0,205,1.370352
0.0,223,1.377029
1.0,284,1.385603
1.0,873,1.411267
0.0,535,1.427176
0.0,103,1.430399
0.0,17,1.430942
1.0,653,1.450054
0.0,41,1.451292
0.0,589,1.468894
1.0,376,1.48004
0.0,261,1.487828
0.0,28,1.488688
0.0,282,1.497096
0.0,823,1.521835
0.0,457,1.535973
0.0,341,1.546935
0.0,513,1.562326
1.0,30,1.563261
0.0,51,1.564867
0.0,45,1.566211
0.0,525,1.58193
0.0,73,1.584172
0.0,25,1.584937
0.0,54,1.586565
0.0,1000,1.616212
1.0,96,1.619222
0.0,108,1.62243
0.0,503,1.637429
0.0,39,1.638615
1.0,82,1.641141
1.0,448,1.65437
0.0,362,1.665811
0.0,302,1.675104
1.0,77,1.677454
1.0,449,1.690731
0.0,210,1.69722
0.0,35,1.698302
1.0,166,1.703307
0.0,125,1.707107
0.0,19,1.707704
0.0,119,1.711414
1.0,102,1.714446
0.0,473,1.728245
0.0,49,1.72972
0.0,60,1.731664
0.0,84,1.734202
0.0,134,1.738192
0.0,269,1.746435
0.0,102,1.749739
1.0,121,1.753317
0.0,320,1.762737
0.0,811,1.787243
0.0,1000,1.817356
1.0,57,1.819108
0.0,110,1.822374
0.0,351,1.833014
0.0,370,1.845093
0.0,44,1.846392
0.0,60,1.848236
0.0,16,1.848782
0.0,681,1.869731
1.0,141,1.874086
0.0,96,1.877027
0.0,511,1.892476
0.0,76,1.894789
0.0,40,1.895998
1.0,418,1.90834
0.0,69,1.910449
0.0,339,1.920686
0.0,73,1.922871
0.0,238,1.929887
0.0,497,1.944644
0.0,145,1.948969
1.0,193,1.954626
1.0,501,1.969456
0.0,162,1.974391
0.0,117,1.977893
1.0,75,1.980209
0.0,159,1.984923
0.0,402,1.996973
0.0,64,1.998884
1.0,175,2.004121
0.0,95,2.006964
0.0,279,2.015419
0.0,323,2.025105
1.0,52,2.026677
1.0,444,2.039919
0.0,13,2.040335
0.0,43,2.041631
1.0,130,2.045537
0.0,233,2.052497
1.0,584,2.069832
0.0,245,2.077334
0.0,13,2.07776
0.0,152,2.082302
0.0,223,2.088975
0.0,37,2.090113
0.0,591,2.107654
0.0,41,2.108905
0.0,39,2.110133
0.0,208,2.116591
1.0,181,2.121973
0.0,97,2.124827
0.0,606,2.143403
0.0,106,2.146891
1.0,126,2.150987
0.0,499,2.166039
0.0,443,2.179231
0.0,73,2.181421
1.0,34,2.182466
0.0,415,2.194805
0.0,20,2.195432
0.0,1000,2.225155
0.0,64,2.22707
1.0,334,2.236922
0.0,11,2.237289
0.0,376,2.248595
1.0,44,2.249941
1.0,655,2.269382
0.0,182,2.274861
0.0,527,2.290584
0.0,56,2.292281
0.0,72,2.294437
0.0,9,2.294731
0.0,165,2.299682
