episodes,steps,total reward
27,1000,0.0
43,2000,0.0
54,3000,0.0
65,4000,0.0
73,5000,0.0
78,6000,0.0
83,7000,0.0
89,8000,0.0
96,9000,0.0
108,10000,0.0
118,11000,0.0
135,12000,0.0
143,13000,0.0
150,14000,0.0
152,15000,0.0
158,16000,0.0
163,17000,0.0
172,18000,0.0
181,19000,0.0
185,20000,0.0
192,21000,0.0
200,22000,0.0
204,23000,0.0
215,24000,0.0
221,25000,0.0
226,26000,0.0
235,27000,0.0
239,28000,0.0
246,29000,0.0
250,30000,1.0
256,31000,0.0
262,32000,0.0
265,33000,0.0
272,34000,0.0
280,35000,1.0
286,36000,1.0
292,37000,2.0
299,38000,0.0
305,39000,0.0
311,40000,1.0
322,41000,0.0
326,42000,1.0
335,43000,0.0
342,44000,0.0
349,45000,0.0
353,46000,0.0
356,47000,1.0
366,48000,1.0
372,49000,0.0
374,50000,2.0
384,51000,1.0
394,52000,1.0
400,53000,0.0
406,54000,2.0
415,55000,0.0
422,56000,1.0
432,57000,2.0
437,58000,0.0
444,59000,2.0
452,60000,1.0
459,61000,2.0
468,62000,1.0
477,63000,1.0
485,64000,2.0
491,65000,1.0
499,66000,0.0
507,67000,3.0
517,68000,3.0
527,69000,2.0
543,70000,0.0
553,71000,2.0
566,72000,3.0
570,73000,1.0
582,74000,1.0
593,75000,3.0
602,76000,2.0
611,77000,0.0
616,78000,1.0
624,79000,2.0
634,80000,2.0
650,81000,5.0
663,82000,5.0
674,83000,4.0
684,84000,5.0
697,85000,7.0
713,86000,4.0
727,87000,5.0
743,88000,10.0
758,89000,4.0
759,90000,1.0
781,91000,9.0
798,92000,11.0
822,93000,15.0
847,94000,12.0
874,95000,15.0
895,96000,13.0
921,97000,14.0
953,98000,17.0
976,99000,16.0
1000,100000,15.0
