# {"t_start": 1640872756.8006215, "env_id": "Office-single-v0"} 
r,l,t
0.0,26,0.001153
0.0,26,0.002062
0.0,18,0.002694
0.0,35,0.003888
0.0,29,0.004886
0.0,4,0.00506
0.0,8,0.005386
0.0,63,0.007503
0.0,62,0.009595
0.0,62,0.011534
0.0,37,0.012684
0.0,32,0.013693
0.0,89,0.016265
0.0,27,0.01704
0.0,94,0.019715
0.0,24,0.020398
0.0,126,0.023868
0.0,32,0.024774
0.0,30,0.025821
0.0,36,0.026902
0.0,68,0.028851
0.0,58,0.030484
0.0,74,0.032511
0.0,150,0.036705
0.0,119,0.039972
0.0,14,0.040386
0.0,27,0.041187
0.0,74,0.043224
0.0,4,0.043366
0.0,67,0.045267
0.0,19,0.04581
0.0,78,0.047936
0.0,65,0.049784
0.0,40,0.050895
0.0,26,0.051624
0.0,74,0.053664
0.0,13,0.054083
0.0,57,0.055637
0.0,52,0.057065
0.0,79,0.059211
0.0,70,0.061108
0.0,50,0.062514
0.0,24,0.063195
0.0,105,0.066055
0.0,10,0.066361
0.0,52,0.067795
0.0,87,0.07029
0.0,22,0.071021
0.0,47,0.07243
0.0,41,0.073629
0.0,117,0.076913
0.0,87,0.079447
0.0,33,0.080634
0.0,84,0.083488
0.0,4,0.083669
0.0,28,0.084649
1.0,46,0.086254
0.0,54,0.087739
0.0,13,0.08812
0.0,74,0.090157
0.0,107,0.093077
0.0,52,0.094512
0.0,42,0.095678
0.0,14,0.096092
0.0,61,0.097839
0.0,89,0.100277
0.0,41,0.101431
0.0,135,0.105093
0.0,20,0.105676
0.0,4,0.105816
0.0,155,0.110264
0.0,69,0.112179
0.0,16,0.112638
0.0,92,0.115489
0.0,95,0.118078
0.0,37,0.119105
0.0,9,0.119377
0.0,150,0.123443
0.0,224,0.129553
0.0,2,0.129712
0.0,230,0.136163
0.0,68,0.138089
0.0,87,0.140463
0.0,301,0.148654
0.0,7,0.148884
0.0,6,0.149077
0.0,189,0.154214
1.0,494,0.167487
0.0,102,0.170294
0.0,18,0.170817
1.0,202,0.176348
0.0,24,0.177038
1.0,235,0.183394
0.0,201,0.189072
0.0,48,0.190408
0.0,103,0.193269
0.0,39,0.194364
0.0,124,0.197769
0.0,92,0.200282
0.0,50,0.201675
0.0,119,0.204957
0.0,233,0.211589
1.0,186,0.216671
0.0,67,0.218546
0.0,149,0.222754
1.0,177,0.227579
0.0,11,0.227912
0.0,210,0.233605
0.0,86,0.235956
0.0,37,0.23698
0.0,29,0.237837
0.0,134,0.241558
0.0,204,0.247139
1.0,126,0.250599
1.0,177,0.255411
1.0,133,0.259041
1.0,506,0.272907
0.0,89,0.275344
0.0,158,0.279759
0.0,162,0.284803
0.0,149,0.288875
0.0,197,0.294567
1.0,90,0.297095
0.0,69,0.299363
0.0,24,0.300043
0.0,35,0.301085
1.0,159,0.305461
0.0,281,0.313188
1.0,78,0.315512
