# {"t_start": 1640876061.1925678, "env_id": "Office-v0"} 
r,l,t
0.0,11,0.000654
0.0,28,0.001761
0.0,8,0.002114
0.0,2,0.002239
0.0,17,0.002908
0.0,51,0.00483
0.0,7,0.005132
0.0,45,0.006862
0.0,62,0.009172
0.0,2,0.0093
0.0,78,0.012159
0.0,50,0.0142
0.0,48,0.015777
0.0,33,0.016819
0.0,38,0.018023
0.0,15,0.01852
0.0,12,0.018923
0.0,8,0.019203
0.0,28,0.020075
0.0,44,0.021478
0.0,27,0.022302
0.0,27,0.023134
0.0,28,0.023985
0.0,23,0.024691
0.0,41,0.025963
0.0,63,0.027872
0.0,13,0.028294
0.0,40,0.029534
0.0,31,0.030475
0.0,26,0.031265
0.0,38,0.032404
0.0,8,0.032673
0.0,6,0.032876
0.0,21,0.033559
0.0,30,0.034502
0.0,9,0.034807
1.0,79,0.037299
0.0,93,0.040141
0.0,39,0.041353
0.0,24,0.042123
0.0,20,0.042963
0.0,10,0.043409
0.0,77,0.045823
0.0,11,0.046194
0.0,16,0.046706
0.0,58,0.04849
0.0,48,0.050036
0.0,14,0.050485
0.0,78,0.052857
0.0,83,0.055372
0.0,30,0.056297
0.0,38,0.057465
0.0,40,0.058693
0.0,125,0.062688
0.0,43,0.06402
0.0,26,0.064832
0.0,6,0.065046
0.0,29,0.065952
0.0,44,0.067286
0.0,21,0.067944
0.0,22,0.068643
0.0,58,0.070398
0.0,55,0.072064
0.0,63,0.073977
0.0,26,0.074801
0.0,36,0.075916
0.0,32,0.0769
0.0,19,0.077495
0.0,118,0.081086
0.0,8,0.081359
0.0,25,0.082135
0.0,37,0.083274
0.0,84,0.085816
0.0,56,0.087573
0.0,112,0.090965
0.0,33,0.091975
0.0,17,0.092514
0.0,137,0.096643
0.0,88,0.099316
0.0,39,0.100554
0.0,20,0.101182
0.0,28,0.102055
0.0,63,0.104427
0.0,34,0.10548
1.0,39,0.106698
0.0,75,0.108991
0.0,21,0.109776
0.0,25,0.110562
1.0,88,0.113233
0.0,10,0.113569
0.0,206,0.119719
0.0,67,0.121784
1.0,48,0.12329
0.0,71,0.125492
0.0,88,0.128163
0.0,77,0.13051
1.0,109,0.133837
0.0,116,0.137363
0.0,45,0.138756
0.0,97,0.141731
0.0,37,0.142914
0.0,22,0.143609
0.0,44,0.145417
0.0,23,0.146208
1.0,35,0.147297
0.0,46,0.148693
0.0,23,0.149446
0.0,13,0.149871
0.0,115,0.153394
0.0,89,0.156121
0.0,33,0.157145
0.0,122,0.160868
0.0,70,0.163054
0.0,149,0.167552
0.0,28,0.168421
0.0,65,0.170415
1.0,31,0.171372
0.0,23,0.172087
0.0,32,0.17308
0.0,37,0.174233
0.0,40,0.175463
1.0,152,0.180072
0.0,19,0.180683
0.0,22,0.181378
0.0,30,0.18231
0.0,5,0.182489
0.0,68,0.184563
0.0,9,0.184869
1.0,67,0.186916
0.0,56,0.188619
0.0,85,0.191218
0.0,94,0.194087
1.0,49,0.195589
0.0,28,0.19647
0.0,31,0.197431
0.0,89,0.200186
0.0,29,0.201089
0.0,20,0.201722
0.0,52,0.203298
0.0,50,0.204827
1.0,23,0.205548
0.0,31,0.206561
0.0,21,0.207212
0.0,36,0.208331
0.0,57,0.210078
0.0,101,0.213133
0.0,114,0.216589
0.0,62,0.218499
0.0,63,0.220405
0.0,55,0.222095
0.0,70,0.224202
0.0,129,0.228113
0.0,51,0.229692
0.0,75,0.231981
0.0,75,0.234299
0.0,121,0.238048
0.0,30,0.238984
0.0,56,0.240695
0.0,130,0.244619
0.0,30,0.245574
1.0,23,0.246294
0.0,92,0.249099
0.0,67,0.251165
0.0,59,0.252959
0.0,29,0.25387
0.0,92,0.256683
0.0,61,0.258543
0.0,117,0.262079
1.0,71,0.264255
0.0,124,0.268149
0.0,96,0.271085
0.0,9,0.271391
1.0,21,0.272061
0.0,33,0.273078
0.0,99,0.276126
0.0,43,0.27747
0.0,94,0.280298
0.0,237,0.287442
0.0,87,0.290097
0.0,43,0.291424
1.0,71,0.29361
0.0,16,0.294124
0.0,70,0.296247
0.0,69,0.298359
1.0,27,0.299208
0.0,2,0.299299
0.0,77,0.301641
0.0,5,0.301828
0.0,66,0.30384
0.0,24,0.304597
0.0,166,0.309607
0.0,164,0.314923
1.0,13,0.315357
1.0,226,0.32222
0.0,21,0.322896
0.0,57,0.324929
0.0,26,0.32582
0.0,148,0.330284
0.0,9,0.330626
0.0,99,0.333668
0.0,104,0.337074
0.0,36,0.338233
0.0,48,0.339734
0.0,53,0.341418
0.0,25,0.342194
1.0,79,0.344662
0.0,20,0.345452
0.0,20,0.346118
1.0,40,0.347358
0.0,132,0.351673
0.0,5,0.351857
0.0,15,0.352344
0.0,16,0.352894
1.0,147,0.357433
0.0,44,0.358793
0.0,93,0.361666
1.0,21,0.362333
0.0,33,0.363342
0.0,66,0.365396
0.0,79,0.367792
1.0,60,0.36962
1.0,170,0.374727
0.0,101,0.37781
0.0,101,0.38087
0.0,2,0.380962
0.0,82,0.383517
0.0,180,0.388978
0.0,120,0.392641
1.0,17,0.393191
0.0,41,0.394466
0.0,129,0.39837
0.0,129,0.402287
0.0,9,0.402588
0.0,155,0.407272
0.0,81,0.409757
0.0,84,0.4123
1.0,19,0.412899
0.0,177,0.418216
0.0,70,0.420355
0.0,81,0.422831
1.0,53,0.424459
0.0,39,0.425667
0.0,12,0.426061
0.0,173,0.431293
1.0,17,0.431848
1.0,151,0.436418
0.0,250,0.44388
0.0,50,0.445433
1.0,50,0.446975
1.0,60,0.448822
0.0,85,0.451404
0.0,116,0.454983
1.0,22,0.45568
1.0,171,0.460784
0.0,42,0.46208
0.0,59,0.463877
1.0,21,0.464546
1.0,106,0.467794
0.0,5,0.467983
0.0,101,0.471048
1.0,18,0.471631
0.0,172,0.476822
0.0,74,0.479108
0.0,55,0.480797
1.0,56,0.482509
0.0,40,0.48373
0.0,66,0.485726
0.0,59,0.487498
0.0,56,0.4892
0.0,115,0.492708
0.0,62,0.494596
0.0,127,0.498419
1.0,18,0.498998
0.0,6,0.499212
0.0,94,0.502056
0.0,77,0.504426
1.0,16,0.504946
0.0,39,0.506139
1.0,199,0.51212
0.0,185,0.517717
1.0,23,0.518437
0.0,107,0.521682
0.0,5,0.521869
0.0,5,0.522052
1.0,31,0.523019
0.0,38,0.524204
0.0,168,0.529281
0.0,112,0.532711
0.0,18,0.533292
0.0,52,0.534868
0.0,103,0.537959
0.0,105,0.541187
1.0,41,0.5425
0.0,36,0.543841
0.0,4,0.543989
0.0,145,0.548384
1.0,23,0.549119
1.0,106,0.552366
0.0,18,0.553078
0.0,270,0.561696
1.0,13,0.562124
1.0,170,0.567292
0.0,29,0.568203
0.0,146,0.572645
1.0,14,0.573111
0.0,39,0.574326
0.0,220,0.58098
0.0,397,0.592953
1.0,29,0.593874
1.0,146,0.598309
0.0,155,0.603016
0.0,688,0.62379
1.0,15,0.624292
0.0,57,0.626033
0.0,118,0.629629
0.0,19,0.630234
1.0,30,0.631275
1.0,116,0.634799
0.0,20,0.635432
0.0,657,0.655697
0.0,4,0.65586
0.0,20,0.656487
1.0,224,0.663451
0.0,6,0.663676
1.0,14,0.664136
1.0,148,0.668681
0.0,57,0.670464
0.0,133,0.674485
1.0,42,0.675784
1.0,207,0.682039
0.0,119,0.685658
0.0,26,0.686477
1.0,19,0.687117
0.0,5,0.687297
0.0,17,0.687838
0.0,55,0.689535
1.0,13,0.689963
1.0,87,0.69263
0.0,92,0.695434
0.0,111,0.698809
1.0,20,0.699445
0.0,41,0.700694
0.0,179,0.70609
0.0,32,0.707077
1.0,20,0.707717
1.0,128,0.711614
1.0,144,0.715971
0.0,75,0.718269
1.0,13,0.718703
0.0,17,0.719245
0.0,106,0.722441
0.0,64,0.724397
1.0,23,0.725101
0.0,33,0.726122
0.0,244,0.73348
0.0,40,0.734709
1.0,14,0.735165
0.0,54,0.736813
1.0,231,0.743755
0.0,446,0.757128
1.0,11,0.757508
1.0,176,0.762819
0.0,136,0.766978
0.0,99,0.770008
1.0,41,0.771273
0.0,28,0.772156
1.0,133,0.776147
0.0,123,0.77984
1.0,14,0.780298
0.0,41,0.781557
0.0,235,0.788624
0.0,69,0.790726
1.0,24,0.791483
0.0,33,0.792492
0.0,101,0.795556
0.0,97,0.798513
1.0,13,0.798942
0.0,47,0.800403
0.0,48,0.801878
0.0,138,0.806145
1.0,12,0.806553
0.0,77,0.808906
0.0,195,0.814835
0.0,396,0.826633
1.0,11,0.827012
0.0,33,0.828037
0.0,157,0.832746
0.0,214,0.839521
1.0,12,0.839929
1.0,206,0.84621
0.0,151,0.850956
0.0,39,0.852158
1.0,11,0.852528
1.0,73,0.854737
1.0,206,0.86091
0.0,23,0.861647
1.0,12,0.862048
0.0,85,0.864636
0.0,44,0.865994
0.0,54,0.867648
1.0,13,0.868074
0.0,59,0.869874
1.0,143,0.874383
0.0,98,0.877382
1.0,33,0.878415
0.0,9,0.878711
0.0,89,0.881465
0.0,37,0.882621
1.0,11,0.88299
1.0,77,0.885325
0.0,26,0.886141
0.0,91,0.888919
1.0,27,0.889763
0.0,31,0.890728
0.0,113,0.89415
0.0,148,0.898581
1.0,12,0.898983
1.0,51,0.90058
0.0,4,0.90073
0.0,171,0.905971
1.0,28,0.906849
1.0,69,0.908961
0.0,117,0.912531
0.0,106,0.915791
1.0,11,0.916162
1.0,144,0.920591
1.0,284,0.92929
0.0,276,0.937823
0.0,10,0.938207
0.0,64,0.940238
0.0,153,0.944902
0.0,152,0.949509
1.0,13,0.949943
1.0,136,0.954117
1.0,177,0.959885
0.0,47,0.961414
1.0,11,0.961789
1.0,48,0.963267
0.0,232,0.970376
0.0,21,0.971042
1.0,13,0.971477
1.0,117,0.975024
0.0,137,0.979129
0.0,148,0.983613
1.0,15,0.984103
0.0,94,0.986957
0.0,8,0.987231
0.0,58,0.989
1.0,11,0.989376
0.0,14,0.989831
0.0,104,0.993015
0.0,13,0.993509
1.0,11,0.993898
0.0,117,0.997485
1.0,61,0.999353
0.0,63,1.001301
1.0,16,1.001817
1.0,88,1.004491
1.0,207,1.010685
0.0,20,1.011326
1.0,11,1.011698
1.0,128,1.015609
1.0,262,1.023449
0.0,24,1.024212
1.0,11,1.024585
1.0,52,1.026179
0.0,37,1.027331
0.0,86,1.029938
0.0,9,1.030247
0.0,19,1.030845
1.0,131,1.034904
0.0,24,1.035659
1.0,11,1.036031
1.0,81,1.03849
1.0,197,1.04469
0.0,23,1.045473
1.0,12,1.04587
0.0,19,1.046473
0.0,7,1.046718
0.0,127,1.05057
1.0,11,1.050943
1.0,107,1.054222
0.0,7,1.054465
0.0,69,1.056558
1.0,13,1.056986
1.0,113,1.060601
1.0,206,1.06675
0.0,91,1.069598
1.0,11,1.06997
1.0,77,1.072298
0.0,20,1.072935
0.0,14,1.073385
1.0,11,1.073759
0.0,60,1.075628
0.0,158,1.080358
0.0,401,1.092404
1.0,11,1.092788
0.0,30,1.093732
0.0,98,1.096709
0.0,69,1.098813
1.0,11,1.099184
0.0,26,1.100008
0.0,135,1.104127
0.0,118,1.107813
1.0,14,1.10827
1.0,77,1.110658
0.0,141,1.114946
1.0,160,1.119862
0.0,100,1.122952
1.0,91,1.125705
0.0,36,1.126828
0.0,129,1.130712
1.0,13,1.131144
0.0,17,1.131684
0.0,276,1.139926
0.0,617,1.158631
1.0,12,1.159164
0.0,26,1.160017
0.0,8,1.160285
0.0,135,1.16448
1.0,11,1.164852
0.0,18,1.165496
0.0,197,1.171462
0.0,80,1.173881
1.0,11,1.174255
1.0,44,1.175609
0.0,8,1.175885
0.0,330,1.185818
1.0,13,1.186286
0.0,32,1.187268
0.0,22,1.187962
0.0,42,1.189251
1.0,11,1.189624
1.0,96,1.192542
1.0,230,1.199492
0.0,339,1.20964
1.0,11,1.210018
1.0,39,1.211231
0.0,13,1.211647
0.0,126,1.215476
1.0,11,1.215902
1.0,69,1.218041
0.0,22,1.218744
0.0,17,1.219275
1.0,11,1.219643
1.0,101,1.222745
1.0,266,1.230747
0.0,2,1.230839
1.0,12,1.231239
1.0,55,1.232907
0.0,98,1.236098
0.0,231,1.243053
1.0,11,1.243429
1.0,90,1.246329
1.0,305,1.255786
0.0,138,1.260089
1.0,13,1.260518
0.0,37,1.261759
1.0,325,1.27238
0.0,487,1.287198
1.0,12,1.287607
0.0,18,1.288177
1.0,128,1.292281
0.0,82,1.29478
1.0,11,1.29515
0.0,88,1.297883
0.0,6,1.298098
1.0,119,1.301733
1.0,11,1.302104
1.0,53,1.303716
0.0,103,1.306818
0.0,46,1.308226
1.0,13,1.308656
0.0,25,1.309439
1.0,176,1.314733
0.0,46,1.316132
0.0,13,1.31655
0.0,33,1.317579
0.0,140,1.321818
0.0,42,1.323116
1.0,13,1.323547
1.0,78,1.325927
0.0,82,1.32843
0.0,59,1.330237
1.0,11,1.33061
1.0,62,1.332513
0.0,5,1.332696
0.0,60,1.334888
1.0,13,1.335318
1.0,69,1.33747
0.0,54,1.339128
0.0,51,1.340684
1.0,12,1.341081
1.0,77,1.343457
0.0,36,1.344571
1.0,282,1.353233
1.0,13,1.353671
1.0,60,1.355493
0.0,91,1.358254
0.0,28,1.359127
1.0,13,1.359556
1.0,96,1.362467
0.0,165,1.367432
0.0,19,1.368037
0.0,9,1.368342
1.0,65,1.370328
0.0,32,1.371362
0.0,18,1.371936
1.0,12,1.372333
1.0,45,1.373722
0.0,203,1.379901
0.0,108,1.383208
1.0,12,1.383614
1.0,43,1.384945
1.0,129,1.38881
0.0,14,1.389273
0.0,6,1.389486
1.0,71,1.391644
0.0,52,1.39325
1.0,126,1.397069
1.0,11,1.397445
1.0,87,1.400094
1.0,73,1.402318
0.0,50,1.40385
1.0,11,1.404223
0.0,21,1.404882
0.0,80,1.407328
0.0,74,1.409619
1.0,21,1.410286
1.0,49,1.411782
0.0,62,1.413736
0.0,437,1.426805
1.0,11,1.427186
0.0,12,1.427577
1.0,183,1.433163
0.0,59,1.435031
1.0,13,1.435462
0.0,23,1.436183
0.0,146,1.440606
0.0,74,1.442873
1.0,13,1.443301
1.0,50,1.444828
0.0,7,1.445072
0.0,21,1.445741
1.0,14,1.446193
0.0,34,1.447292
0.0,122,1.450952
0.0,188,1.456582
1.0,16,1.457095
1.0,37,1.458241
0.0,133,1.462256
1.0,148,1.466745
1.0,13,1.467179
1.0,65,1.469177
0.0,49,1.470683
0.0,38,1.471864
1.0,11,1.472234
0.0,89,1.474936
1.0,121,1.478605
0.0,248,1.486224
1.0,11,1.486605
1.0,63,1.488523
1.0,303,1.497765
0.0,209,1.504173
1.0,11,1.504553
1.0,31,1.505525
0.0,31,1.506485
0.0,323,1.51618
1.0,11,1.516556
1.0,34,1.517628
0.0,114,1.521052
0.0,170,1.52624
1.0,11,1.526618
0.0,8,1.526891
0.0,9,1.527195
0.0,28,1.528065
1.0,11,1.528438
1.0,49,1.529952
1.0,362,1.540788
0.0,27,1.541834
1.0,11,1.54225
0.0,8,1.542526
0.0,63,1.544571
0.0,231,1.551621
1.0,11,1.5521
1.0,42,1.553619
0.0,18,1.554209
0.0,174,1.559715
1.0,13,1.56016
1.0,34,1.561273
0.0,14,1.561728
0.0,47,1.563194
1.0,12,1.563592
0.0,18,1.564157
1.0,82,1.56666
