# {"t_start": 1641540910.3561084, "env_id": "Office-v0"} 
r,l,t
0.0,79,0.002681
0.0,77,0.004992
0.0,156,0.009624
0.5,251,0.017518
0.0,44,0.018908
0.0,12,0.019301
0.0,28,0.020155
0.0,11,0.020519
0.0,117,0.024516
0.0,64,0.026521
0.0,78,0.028853
0.0,36,0.030029
0.0,44,0.031386
0.0,15,0.032102
0.0,36,0.033203
0.5,132,0.037163
0.0,49,0.038657
0.0,229,0.045705
0.0,30,0.046656
0.5,135,0.050716
0.0,24,0.051466
0.0,26,0.052294
0.0,158,0.0574
0.0,74,0.059689
0.0,136,0.063963
0.0,32,0.064975
0.0,25,0.065773
0.5,28,0.066655
0.0,24,0.067419
0.0,14,0.067868
0.0,234,0.074961
0.0,102,0.078098
0.0,74,0.080356
0.0,133,0.084383
0.0,29,0.085302
0.0,44,0.086682
0.0,141,0.091026
0.0,18,0.09162
0.0,105,0.094952
0.0,86,0.097574
0.0,74,0.09983
0.0,13,0.100259
0.0,71,0.102448
0.5,82,0.104936
0.0,258,0.112717
0.0,39,0.113956
0.0,165,0.119012
0.5,67,0.121076
1.0,104,0.124401
0.0,479,0.138995
0.0,43,0.140344
0.0,29,0.141263
1.0,354,0.152071
0.0,182,0.157889
0.0,411,0.170442
0.0,96,0.173522
0.0,11,0.173991
0.0,53,0.175577
0.0,203,0.181895
0.0,204,0.188248
0.0,396,0.200259
0.0,90,0.202956
0.0,268,0.211207
0.5,137,0.215423
1.0,172,0.220861
0.0,54,0.222519
0.0,81,0.22495
0.5,131,0.228967
0.0,93,0.232019
0.0,110,0.235319
0.0,329,0.245188
0.5,97,0.24841
1.0,325,0.258303
0.0,132,0.262269
0.0,111,0.265637
0.0,37,0.266774
0.0,156,0.271484
0.0,291,0.280755
0.0,143,0.285085
0.0,76,0.287464
0.0,122,0.29131
0.0,156,0.29625
0.0,606,0.314413
0.0,31,0.315376
1.0,152,0.3202
0.0,176,0.325476
0.0,202,0.331697
0.0,310,0.341409
0.0,222,0.348107
0.0,382,0.359926
0.0,170,0.36501
0.0,124,0.368734
0.0,223,0.375664
0.0,55,0.377328
0.0,21,0.37802
0.0,78,0.380451
0.0,270,0.388577
0.0,465,0.402791
0.0,183,0.408229
0.5,153,0.412955
1.0,154,0.417578
0.0,430,0.430608
0.0,259,0.438624
0.5,243,0.446125
0.0,320,0.455773
0.0,344,0.46612
0.0,107,0.469416
0.5,228,0.476444
1.0,286,0.485247
0.0,37,0.486419
0.0,128,0.490244
0.0,325,0.500115
0.0,58,0.502012
0.0,331,0.512352
0.0,92,0.515111
0.5,50,0.516643
1.0,120,0.520208
0.0,103,0.523459
0.0,403,0.535637
0.0,126,0.539428
0.0,314,0.549197
0.0,198,0.555307
0.0,5,0.555495
0.0,433,0.568444
1.0,69,0.570527
0.0,581,0.588376
0.0,195,0.594314
0.0,26,0.595125
0.0,161,0.600198
0.0,117,0.603732
0.0,116,0.607249
0.0,94,0.610096
1.0,307,0.61962
0.0,360,0.630518
0.0,338,0.640906
0.5,232,0.647987
0.0,15,0.648465
0.0,110,0.651732
0.0,284,0.660402
0.0,143,0.664687
1.0,135,0.668687
1.0,487,0.683606
0.0,139,0.68792
0.0,189,0.693909
0.0,219,0.700541
0.0,60,0.702363
0.0,224,0.709252
0.0,251,0.716904
1.0,297,0.725795
0.0,502,0.741387
0.0,78,0.74376
0.5,215,0.750565
1.0,106,0.7538
0.0,300,0.762675
0.0,200,0.768881
0.5,306,0.778325
0.0,274,0.786786
0.0,84,0.789358
0.0,285,0.797908
0.0,119,0.801731
0.0,86,0.804293
0.0,438,0.817603
0.0,87,0.820216
0.0,23,0.820935
0.0,651,0.841658
1.0,954,0.870862
0.0,220,0.877539
0.0,347,0.88837
0.0,407,0.900966
1.0,791,0.925885
0.0,190,0.931809
0.0,194,0.93793
1.0,67,0.940035
0.0,666,0.960285
0.0,353,0.971133
0.0,600,0.989588
1.0,196,0.995944
1.0,289,1.00479
0.0,62,1.006712
0.5,252,1.014309
1.0,64,1.016561
1.0,452,1.0302
0.0,246,1.037927
1.0,165,1.042983
0.0,8,1.043257
1.0,507,1.058619
0.0,448,1.072145
1.0,353,1.083003
0.0,59,1.084865
1.0,704,1.105926
0.0,11,1.106295
0.0,558,1.123777
0.0,1000,1.154238
1.0,535,1.170731
0.0,249,1.178295
0.5,206,1.184756
0.0,279,1.193191
1.0,704,1.214497
0.0,228,1.221577
0.0,461,1.235627
0.0,106,1.238973
0.0,131,1.243115
0.0,230,1.250045
0.5,94,1.252876
0.0,17,1.253422
1.0,705,1.274625
0.0,280,1.283269
0.0,163,1.28816
1.0,162,1.293284
0.0,48,1.294938
0.0,789,1.318805
0.0,712,1.340765
1.0,270,1.348865
0.0,337,1.359238
0.0,81,1.361681
0.0,303,1.370809
1.0,49,1.372396
0.0,128,1.376214
0.0,30,1.37725
0.0,68,1.379282
0.0,47,1.380706
0.0,242,1.388029
0.0,701,1.409322
1.0,332,1.419715
0.0,122,1.42343
0.0,39,1.424625
0.0,55,1.426274
0.5,75,1.428689
1.0,29,1.429651
0.0,107,1.432921
0.0,461,1.446878
0.5,129,1.450855
0.0,177,1.456228
1.0,317,1.46591
0.0,23,1.46664
0.0,882,1.493313
0.0,272,1.501443
1.0,466,1.515818
0.0,520,1.531711
0.5,648,1.551948
1.0,156,1.556618
0.0,657,1.576443
0.0,126,1.580296
0.5,39,1.58158
1.0,84,1.58425
0.0,281,1.592604
0.0,345,1.603119
0.0,1000,1.633233
0.0,699,1.65438
1.0,554,1.671076
0.0,62,1.672959
0.0,53,1.674558
1.0,76,1.677125
0.0,201,1.68324
0.0,160,1.688237
0.5,78,1.690635
0.0,69,1.692723
1.0,491,1.707622
0.0,24,1.708383
1.0,287,1.717266
1.0,247,1.724882
0.0,105,1.728063
0.0,287,1.736839
0.5,119,1.740418
1.0,97,1.743325
0.0,301,1.752514
0.0,34,1.753564
0.5,46,1.755144
0.0,515,1.770596
1.0,241,1.777891
0.0,27,1.778866
0.0,25,1.779646
1.0,55,1.781303
0.0,139,1.785568
0.0,10,1.785939
0.0,749,1.808635
1.0,180,1.814131
1.0,613,1.832777
0.0,373,1.844202
0.5,50,1.845828
0.0,65,1.847831
1.0,447,1.861128
0.0,588,1.879381
0.0,749,1.902066
1.0,45,1.903465
0.0,108,1.906797
0.0,53,1.908562
0.0,1000,1.938706
1.0,122,1.942803
0.0,39,1.944187
0.0,550,1.960631
0.5,148,1.965291
0.0,9,1.965602
1.0,463,1.979768
0.0,584,1.997607
0.5,271,2.005819
0.0,109,2.009073
0.0,93,2.01187
0.0,458,2.026181
1.0,151,2.030785
0.0,73,2.033044
0.0,17,2.033572
0.0,533,2.050058
0.0,680,2.07105
1.0,40,2.072291
0.0,198,2.078543
0.0,195,2.084563
0.5,187,2.090252
0.0,429,2.103545
0.0,114,2.106969
0.0,29,2.107864
0.0,433,2.121311
1.0,120,2.12505
1.0,375,2.136431
0.0,464,2.150365
1.0,197,2.156452
0.0,25,2.157239
0.0,120,2.160822
0.0,36,2.161932
0.0,13,2.162357
1.0,109,2.165621
0.0,144,2.170244
0.0,28,2.171257
0.5,215,2.178007
1.0,159,2.182804
1.0,778,2.206246
0.0,323,2.216357
0.0,56,2.21811
1.0,50,2.219631
1.0,570,2.236764
0.0,304,2.246148
0.0,1000,2.276356
1.0,102,2.279495
0.0,644,2.29906
1.0,400,2.311211
0.0,179,2.316559
1.0,40,2.317785
1.0,227,2.324857
1.0,709,2.346551
0.5,70,2.348672
1.0,54,2.350303
0.0,443,2.363737
0.0,415,2.37617
0.5,181,2.38197
1.0,197,2.387837
0.0,225,2.394706
0.0,1000,2.425158
0.5,177,2.430578
0.0,9,2.430885
1.0,490,2.445835
1.0,612,2.464431
0.0,919,2.492412
0.0,162,2.497461
1.0,256,2.505057
0.0,637,2.524314
0.0,85,2.526884
1.0,128,2.530919
1.0,577,2.548377
0.0,918,2.576292
0.0,1000,2.606524
1.0,77,2.608888
0.0,408,2.621252
1.0,434,2.634771
0.5,233,2.641856
0.0,37,2.642998
1.0,413,2.655504
1.0,644,2.675003
0.5,76,2.677295
1.0,577,2.694918
0.0,147,2.699288
0.0,579,2.716954
0.5,257,2.724875
1.0,119,2.728544
0.0,287,2.737218
0.0,476,2.75185
0.0,127,2.755843
1.0,41,2.757108
1.0,210,2.763505
0.0,31,2.764463
0.0,533,2.78076
1.0,24,2.781523
1.0,246,2.789072
1.0,725,2.811056
0.5,32,2.812061
1.0,70,2.814309
0.0,76,2.816807
0.0,367,2.828007
0.0,443,2.841424
1.0,79,2.843825
1.0,380,2.855733
0.0,108,2.858984
0.5,222,2.865609
1.0,41,2.86687
0.0,543,2.883539
0.0,740,2.906094
0.0,589,2.923909
1.0,52,2.925504
0.0,281,2.934264
0.0,567,2.951704
0.5,52,2.95334
0.0,152,2.957881
1.0,352,2.968442
0.0,132,2.972639
0.5,71,2.974819
1.0,111,2.978292
0.0,158,2.983032
0.0,531,2.999117
0.0,406,3.011584
1.0,48,3.013063
0.0,124,3.016792
0.0,417,3.029494
0.5,465,3.043903
1.0,51,3.045751
0.0,18,3.046322
1.0,316,3.055784
0.5,63,3.057701
1.0,138,3.061993
