# {"t_start": 1641543897.616922, "env_id": "Office-single-v0"} 
r,l,t
0.0,59,0.002287
0.0,5,0.002514
0.0,73,0.004776
0.0,178,0.010295
0.0,23,0.011038
0.0,89,0.014056
0.0,84,0.016644
0.0,131,0.020942
0.0,22,0.02166
0.0,40,0.022992
0.0,12,0.023415
0.0,55,0.025236
0.0,114,0.028738
0.0,95,0.031766
0.0,80,0.034474
0.0,233,0.041707
0.0,50,0.043307
0.0,73,0.045668
0.0,183,0.051483
0.0,82,0.054052
0.0,34,0.055287
0.0,66,0.057517
0.0,144,0.062165
0.0,126,0.066307
0.0,60,0.068676
0.0,77,0.071132
0.0,253,0.079323
0.0,78,0.081772
0.0,159,0.086797
0.0,193,0.092846
0.0,54,0.094743
0.0,151,0.099823
0.0,331,0.110466
0.0,389,0.122862
0.0,380,0.134955
0.0,165,0.140284
0.0,292,0.149463
0.0,272,0.158229
0.0,111,0.162014
0.0,48,0.16353
0.0,142,0.168118
0.0,410,0.181316
0.0,341,0.192282
0.0,154,0.197423
0.0,206,0.203901
0.0,80,0.206434
0.0,33,0.207483
0.0,310,0.217385
0.0,77,0.219853
0.0,195,0.226241
0.0,106,0.229678
0.0,151,0.234728
0.0,168,0.240074
0.0,377,0.25191
0.0,271,0.260612
0.0,356,0.271922
0.0,144,0.276735
0.0,439,0.291012
0.0,396,0.303781
0.0,37,0.304962
0.0,137,0.309267
0.0,548,0.326886
0.0,86,0.329612
0.0,457,0.344085
0.0,46,0.345643
0.0,486,0.361527
0.0,154,0.366412
0.0,64,0.368478
0.0,173,0.374031
0.0,81,0.376668
0.0,414,0.389895
0.0,53,0.391723
0.0,346,0.40261
0.0,963,0.433231
0.0,37,0.434433
0.0,155,0.439454
0.0,320,0.449664
0.0,83,0.452552
0.0,241,0.460079
0.0,375,0.471883
0.0,263,0.48025
0.0,103,0.483677
0.0,35,0.484977
0.0,1000,0.517166
0.0,122,0.520963
0.0,1000,0.552936
0.0,162,0.558063
0.0,383,0.570416
0.0,472,0.585465
0.0,446,0.599592
0.0,229,0.607132
0.0,1000,0.639042
0.0,111,0.642708
0.0,245,0.650465
0.0,96,0.653627
0.0,454,0.668032
0.0,241,0.675812
0.0,422,0.689154
0.0,25,0.689969
0.0,240,0.697754
0.0,99,0.700864
0.0,13,0.701305
0.0,468,0.716371
0.0,1000,0.748143
0.0,232,0.755672
0.0,44,0.757086
0.0,1000,0.788561
0.0,1000,0.820603
0.0,85,0.823334
0.0,177,0.828877
0.0,993,0.860454
0.0,376,0.872823
0.0,116,0.876552
0.0,7,0.876811
0.0,38,0.878048
0.0,140,0.882468
0.0,361,0.894153
0.0,396,0.907274
0.0,351,0.918294
0.0,136,0.922607
0.0,720,0.945634
0.0,67,0.947782
0.0,165,0.95299
0.0,1000,0.984836
0.0,43,0.986239
0.0,341,0.997429
0.0,490,1.013308
0.0,522,1.029899
0.0,196,1.036201
0.0,574,1.054298
0.0,607,1.074083
0.0,53,1.075808
0.0,357,1.087264
0.0,41,1.088583
0.0,244,1.096941
0.0,176,1.102473
0.0,551,1.120134
0.0,1000,1.151966
0.0,1000,1.18366
0.0,268,1.192588
0.0,542,1.210015
0.0,620,1.229851
0.0,205,1.236576
0.0,903,1.265087
0.0,38,1.266393
0.0,144,1.270968
0.0,581,1.289762
0.0,24,1.290583
0.0,631,1.310769
0.0,1000,1.342351
0.0,92,1.345297
0.0,158,1.350569
0.0,211,1.357246
0.0,474,1.372351
0.0,191,1.378337
0.0,361,1.390099
0.0,73,1.392411
0.0,42,1.393746
0.0,28,1.394695
0.0,483,1.410033
0.0,184,1.416064
0.0,256,1.424276
0.0,479,1.439528
0.0,41,1.44088
0.0,115,1.444713
0.0,260,1.45309
0.0,357,1.464598
0.0,155,1.46943
0.0,1000,1.501243
0.0,556,1.518991
0.0,329,1.529417
0.0,1000,1.561556
0.0,611,1.58114
0.0,627,1.600967
0.0,227,1.608506
0.0,189,1.614509
0.0,345,1.625631
0.0,17,1.626207
0.0,428,1.639848
0.0,77,1.642284
0.0,407,1.655132
0.0,160,1.660179
0.0,1000,1.691982
0.0,307,1.70206
0.0,279,1.710854
0.0,83,1.713488
0.0,601,1.732618
0.0,992,1.764358
0.0,282,1.773195
0.0,458,1.787604
0.0,1000,1.819524
0.0,392,1.831984
0.0,127,1.836262
0.0,17,1.83698
0.0,24,1.837763
0.0,187,1.843683
0.0,1000,1.875545
0.0,126,1.879659
0.0,1000,1.91182
0.0,10,1.912187
0.0,104,1.915671
0.0,422,1.929193
0.0,177,1.935114
0.0,71,1.937423
0.0,1000,1.969483
0.0,187,1.975348
0.0,115,1.979002
0.0,1000,2.011151
0.0,99,2.014284
0.0,266,2.022851
0.0,40,2.024139
0.0,356,2.035536
0.0,443,2.049566
0.0,400,2.062406
0.0,34,2.063576
0.0,1000,2.095457
0.0,195,2.101993
0.0,1000,2.133485
0.0,78,2.135962
0.0,443,2.150216
0.0,640,2.170644
0.0,352,2.181929
0.0,297,2.191324
0.0,372,2.203223
0.0,390,2.215768
0.0,36,2.21701
0.0,86,2.219746
0.0,107,2.223147
0.0,806,2.248762
0.0,151,2.253986
0.0,300,2.263373
0.0,317,2.273317
0.0,826,2.299826
0.0,314,2.310059
0.0,89,2.312875
0.0,1000,2.34446
0.0,51,2.346323
0.0,1000,2.377769
0.0,87,2.380563
0.0,238,2.38868
0.0,232,2.396167
0.0,100,2.399504
0.0,830,2.426152
0.0,165,2.431759
0.0,1000,2.463473
0.0,1000,2.495385
0.0,1000,2.527528
0.0,938,2.55718
0.0,297,2.567086
0.0,87,2.569837
0.0,1000,2.601803
0.0,218,2.608644
0.0,160,2.613814
0.0,848,2.640874
0.0,220,2.64788
0.0,243,2.655738
0.0,288,2.665009
0.0,690,2.687214
0.0,123,2.691272
0.0,1000,2.723181
0.0,323,2.733468
0.0,24,2.7343
0.0,613,2.753987
0.0,68,2.756357
0.0,1000,2.788515
0.0,230,2.795922
0.0,556,2.813495
0.0,123,2.817384
0.0,240,2.825249
0.0,25,2.826139
0.0,25,2.826951
0.0,284,2.836165
0.0,302,2.845681
0.0,130,2.849785
0.0,415,2.863286
0.0,1000,2.895231
0.0,377,2.907356
0.0,288,2.916642
0.0,1000,2.948645
0.0,485,2.963938
0.0,103,2.967162
0.0,119,2.970934
0.0,49,2.972529
0.0,252,2.981306
0.0,366,2.992896
0.0,69,2.995177
0.0,12,2.995586
0.0,141,3.000024
0.0,388,3.012611
0.0,101,3.016021
0.0,1000,3.047808
0.0,165,3.052981
0.0,588,3.071559
0.0,1000,3.103606
0.0,111,3.107109
0.0,529,3.124273
0.0,268,3.133061
0.0,67,3.135214
0.0,38,3.136461
0.0,519,3.152896
0.0,52,3.154605
0.0,586,3.173577
0.0,354,3.184776
0.0,113,3.188435
0.0,93,3.191448
0.0,922,3.220767
