episodes,steps,total reward
9,1000,1.0
22,2000,1.0
32,3000,0.5
46,4000,0.5
52,5000,1.0
57,6000,1.0
62,7000,0.0
68,8000,1.5
77,9000,2.0
82,10000,0.0
89,11000,1.0
95,12000,0.5
103,13000,0.0
106,14000,1.0
113,15000,1.5
117,16000,0.0
119,17000,0.0
124,18000,0.0
130,19000,3.0
135,20000,0.0
143,21000,1.5
149,22000,1.5
152,23000,0.0
157,24000,1.5
160,25000,1.0
164,26000,0.5
165,27000,0.0
169,28000,1.5
174,29000,2.0
177,30000,0.0
182,31000,3.0
185,32000,0.0
190,33000,1.0
194,34000,1.0
200,35000,1.5
203,36000,1.0
205,37000,0.0
210,38000,1.0
213,39000,1.5
217,40000,1.0
220,41000,1.5
223,42000,0.0
229,43000,0.5
232,44000,1.5
233,45000,0.0
237,46000,1.0
240,47000,0.0
244,48000,0.0
249,49000,1.0
253,50000,0.5
256,51000,1.0
259,52000,2.0
260,53000,0.0
263,54000,1.0
267,55000,1.0
273,56000,2.0
275,57000,1.0
279,58000,1.0
283,59000,1.5
286,60000,1.5
289,61000,1.5
293,62000,0.0
301,63000,3.0
305,64000,0.0
307,65000,1.0
312,66000,1.5
315,67000,1.0
321,68000,2.5
323,69000,2.0
327,70000,2.0
333,71000,2.5
340,72000,0.5
345,73000,1.5
348,74000,1.0
350,75000,2.0
353,76000,1.5
358,77000,3.0
361,78000,1.0
365,79000,2.5
368,80000,1.0
376,81000,1.5
379,82000,2.0
380,83000,0.0
383,84000,1.0
385,85000,1.0
389,86000,3.5
396,87000,3.5
398,88000,2.0
399,89000,0.0
402,90000,1.0
406,91000,2.5
410,92000,2.0
416,93000,2.0
421,94000,2.5
426,95000,2.5
432,96000,1.5
438,97000,3.0
443,98000,1.0
450,99000,4.5
453,100000,1.5
