# {"t_start": 1641565023.2303221, "env_id": "Office-single-v0"} 
r,l,t
0.0,29,0.001173
0.0,83,0.003782
0.0,63,0.005654
0.0,267,0.013864
0.0,28,0.014766
0.0,56,0.01662
0.0,110,0.019799
0.0,120,0.023183
0.0,24,0.023919
0.0,45,0.025218
0.0,116,0.0286
0.0,25,0.029346
0.0,148,0.033867
0.0,123,0.037439
0.0,99,0.04059
0.0,176,0.046368
0.0,190,0.051985
0.0,108,0.055212
0.0,70,0.057668
0.0,62,0.059872
0.0,320,0.069612
0.0,25,0.070403
0.0,102,0.073853
0.0,38,0.074999
0.0,74,0.077188
0.0,100,0.080242
0.0,345,0.090559
0.0,314,0.099895
0.0,87,0.102798
0.0,9,0.10309
0.0,269,0.111233
0.0,120,0.11475
0.0,26,0.115544
0.0,424,0.128194
0.0,99,0.13107
0.0,297,0.140162
0.0,45,0.141508
0.0,290,0.150185
0.0,215,0.156727
0.0,401,0.168964
0.0,200,0.174871
0.0,66,0.176838
0.0,397,0.188782
0.0,255,0.196663
0.0,72,0.198754
0.0,53,0.200312
0.0,159,0.205183
0.0,196,0.211019
0.0,226,0.217832
0.0,379,0.229174
0.0,356,0.239569
0.0,201,0.245867
0.0,182,0.25115
0.0,166,0.256266
0.0,155,0.260819
0.0,205,0.267127
0.0,65,0.269092
0.0,137,0.273317
0.0,183,0.278584
0.0,110,0.281811
0.0,11,0.282163
0.0,333,0.292144
0.0,375,0.303648
0.0,493,0.318227
0.0,573,0.335497
0.0,100,0.338435
0.0,111,0.341685
0.0,126,0.34548
0.0,27,0.346295
0.0,127,0.350336
0.0,67,0.352351
0.0,157,0.356925
0.0,270,0.36531
0.0,121,0.36884
0.0,448,0.38219
0.0,358,0.392665
0.0,233,0.399874
0.0,524,0.415193
0.0,784,0.438359
0.0,966,0.466894
0.0,259,0.475347
0.0,62,0.477217
0.0,54,0.478808
0.0,148,0.483417
0.0,3,0.483586
0.0,530,0.499358
0.0,747,0.521965
0.0,665,0.541781
0.0,135,0.545978
0.0,740,0.56831
0.0,818,0.593004
0.0,80,0.595343
0.0,33,0.596362
0.0,812,0.620589
0.0,1000,0.650615
0.0,225,0.657477
0.0,44,0.658797
0.0,352,0.669498
0.0,53,0.671051
0.0,456,0.684703
0.0,606,0.703156
0.0,40,0.704409
0.0,1000,0.734188
0.0,938,0.762151
0.0,29,0.763033
0.0,319,0.772288
0.0,163,0.777407
0.0,130,0.781547
0.0,166,0.786564
0.0,671,0.806045
0.0,291,0.815056
0.0,66,0.817309
0.0,68,0.819309
0.0,137,0.823253
0.0,1000,0.852293
0.0,437,0.865154
0.0,1000,0.894945
0.0,411,0.907585
0.0,389,0.919208
0.0,385,0.930677
0.0,353,0.941469
0.0,312,0.950968
0.0,523,0.966726
0.0,540,0.982708
0.0,96,0.985534
0.0,306,0.995221
0.0,94,0.99801
0.0,219,1.004552
0.0,103,1.007725
0.0,423,1.020091
0.0,49,1.021732
0.0,425,1.035335
0.0,428,1.047797
0.0,37,1.048906
0.0,64,1.050803
0.0,320,1.060632
0.0,210,1.067267
0.0,267,1.075047
0.0,1000,1.104672
0.0,260,1.112278
0.0,252,1.12052
0.0,80,1.122947
0.0,618,1.141145
0.0,310,1.150921
0.0,959,1.180177
0.0,392,1.191547
0.0,233,1.198343
0.0,94,1.201162
0.0,1000,1.231018
0.0,454,1.244724
0.0,121,1.248303
0.0,437,1.261532
0.0,134,1.266078
0.0,1000,1.29572
0.0,1000,1.325472
0.0,64,1.327883
0.0,75,1.330401
0.0,252,1.33785
0.0,48,1.339272
0.0,163,1.344016
0.0,154,1.34864
0.0,198,1.354815
0.0,46,1.356213
0.0,647,1.375724
0.0,263,1.383376
0.0,1000,1.41332
0.0,162,1.418388
0.0,332,1.428643
0.0,51,1.430153
0.0,220,1.436623
0.0,351,1.447125
0.0,92,1.450217
0.0,334,1.460044
0.0,74,1.462562
0.0,100,1.46554
0.0,1000,1.495313
0.0,112,1.498623
0.0,331,1.50835
0.0,432,1.521558
0.0,120,1.525047
0.0,699,1.545531
0.0,270,1.553427
0.0,269,1.561538
0.0,57,1.563195
0.0,1000,1.593315
0.0,61,1.595403
0.0,74,1.597553
0.0,294,1.606424
0.0,107,1.609584
0.0,89,1.612215
0.0,378,1.623686
0.0,370,1.634974
0.0,218,1.641453
0.0,672,1.661342
0.0,583,1.679391
0.0,25,1.680187
0.0,63,1.681994
0.0,296,1.690683
0.0,79,1.69297
0.0,377,1.704355
0.0,30,1.70526
0.0,39,1.7064
0.0,334,1.716643
0.0,580,1.733884
0.0,548,1.749927
0.0,96,1.752716
0.0,56,1.754334
0.0,1000,1.783963
0.0,421,1.796537
0.0,31,1.797476
0.0,288,1.806428
0.0,487,1.821069
0.0,11,1.821426
0.0,713,1.842852
0.0,1000,1.873158
0.0,37,1.874275
0.0,1000,1.904385
0.0,287,1.913136
0.0,234,1.920317
0.0,739,1.942388
0.0,183,1.947773
0.0,10,1.948104
0.0,7,1.94837
0.0,16,1.948866
0.0,804,1.973482
0.0,1000,2.003447
0.0,1000,2.033529
0.0,836,2.058623
0.0,206,2.065037
0.0,256,2.072879
0.0,245,2.080196
0.0,256,2.08774
0.0,280,2.096275
0.0,49,2.097704
0.0,1000,2.128322
0.0,1000,2.15836
0.0,305,2.167641
0.0,71,2.169877
0.0,623,2.188396
0.0,206,2.194566
0.0,792,2.218195
0.0,1000,2.248179
0.0,180,2.253428
0.0,71,2.255791
0.0,256,2.263545
0.0,229,2.270244
0.0,642,2.289985
0.0,1000,2.32033
0.0,30,2.321239
0.0,1000,2.35091
0.0,137,2.35492
0.0,187,2.36074
0.0,241,2.367753
0.0,31,2.3687
0.0,140,2.373119
0.0,450,2.386771
0.0,119,2.390309
0.0,1000,2.420459
0.0,46,2.421824
0.0,34,2.422966
0.0,258,2.430507
0.0,1000,2.460523
0.0,141,2.465086
0.0,17,2.465621
0.0,311,2.475241
0.0,67,2.477209
0.0,1000,2.506798
0.0,75,2.50932
0.0,318,2.518682
0.0,235,2.525813
0.0,264,2.534192
0.0,432,2.547231
0.0,265,2.555336
0.0,106,2.558731
0.0,84,2.56128
0.0,62,2.56341
0.0,140,2.567882
0.0,42,2.569127
0.0,335,2.579005
0.0,1000,2.608805
0.0,56,2.610489
0.0,333,2.62094
0.0,163,2.626065
0.0,813,2.650429
0.0,1000,2.680638
0.0,13,2.681165
0.0,68,2.683149
0.0,772,2.705509
0.0,262,2.713847
0.0,90,2.716563
0.0,107,2.720081
0.0,692,2.740846
0.0,51,2.742396
0.0,580,2.759545
0.0,1000,2.789719
0.0,512,2.8053
0.0,105,2.808445
0.0,450,2.821836
0.0,227,2.828678
0.0,585,2.846594
0.0,48,2.848021
0.0,308,2.857109
0.0,162,2.862419
0.0,842,2.887263
0.0,314,2.897019
0.0,18,2.897564
0.0,318,2.907131
0.0,251,2.914598
0.0,301,2.92394
0.0,50,2.92542
0.0,412,2.937657
0.0,525,2.953605
0.0,1000,2.983498
0.0,228,2.990472
0.0,287,2.998834
0.0,276,3.006906
0.0,1000,3.037288
