# {"t_start": 1641566869.374595, "env_id": "Office-v0"} 
r,l,t
0.0,27,0.001162
0.0,8,0.001449
0.0,25,0.002216
0.0,121,0.005826
0.0,35,0.006908
0.0,124,0.010605
0.0,184,0.016319
0.0,46,0.017781
0.0,135,0.021812
0.0,94,0.025005
0.0,143,0.02929
0.0,72,0.031722
0.0,27,0.032542
0.0,92,0.035254
0.0,12,0.035637
0.0,150,0.039999
0.0,250,0.047521
0.0,64,0.04941
0.0,30,0.050327
0.0,34,0.051406
0.0,32,0.052436
0.0,124,0.056284
0.0,141,0.060416
0.0,41,0.061978
0.0,130,0.065907
0.0,12,0.066299
0.0,33,0.06729
0.0,75,0.069484
0.0,108,0.07268
0.0,160,0.07746
0.0,120,0.081055
0.0,41,0.082302
0.0,119,0.085873
0.0,23,0.086581
0.0,37,0.087699
0.0,3,0.087822
0.0,65,0.089798
0.0,52,0.091591
0.0,206,0.097863
0.0,48,0.099322
0.0,149,0.103814
0.0,323,0.113643
0.0,179,0.118968
0.0,133,0.123206
0.0,150,0.127737
0.0,36,0.128844
0.0,33,0.129832
0.0,63,0.131731
1.0,132,0.135785
0.0,193,0.141561
0.0,92,0.144312
0.0,61,0.146198
1.0,358,0.157217
0.0,88,0.159878
0.0,49,0.161378
0.0,49,0.162874
0.0,92,0.165744
0.0,38,0.166993
0.0,47,0.168584
0.0,249,0.175907
0.0,104,0.179057
0.0,67,0.18107
0.0,54,0.182704
0.0,134,0.186957
0.0,104,0.190147
0.0,231,0.197071
0.0,182,0.202545
0.0,83,0.205281
0.0,145,0.209678
0.0,49,0.211137
0.0,276,0.219716
0.0,26,0.220531
0.0,235,0.22762
0.0,391,0.239104
0.0,114,0.242734
0.0,71,0.245156
1.0,107,0.248396
0.0,356,0.259101
0.0,36,0.260236
0.0,394,0.272165
1.0,360,0.283123
0.0,17,0.28367
0.0,98,0.286739
0.0,81,0.28915
0.0,263,0.296937
0.0,230,0.304027
0.0,235,0.31127
0.0,29,0.312166
0.0,270,0.320441
0.0,250,0.327827
0.0,121,0.331521
0.0,139,0.335944
0.0,153,0.3405
0.0,878,0.366873
0.0,218,0.37332
0.0,135,0.377454
1.0,137,0.381594
0.0,183,0.386991
0.0,283,0.395718
0.0,95,0.398758
1.0,210,0.40508
0.0,456,0.418969
0.0,105,0.422196
0.0,173,0.427638
0.0,78,0.429968
0.0,302,0.439089
0.0,339,0.449225
0.0,148,0.453817
0.0,210,0.460238
0.0,225,0.466923
0.0,256,0.474689
0.0,74,0.476954
1.0,120,0.480606
0.0,321,0.490482
0.0,408,0.503028
0.0,34,0.504141
0.0,156,0.509102
1.0,738,0.53224
0.0,38,0.533413
0.0,50,0.534923
0.0,36,0.536024
0.0,590,0.553792
0.0,219,0.560405
0.0,334,0.570707
1.0,141,0.57492
0.0,337,0.58517
0.0,52,0.586754
0.0,195,0.592744
0.0,16,0.593267
0.0,567,0.610616
0.0,357,0.621331
0.0,47,0.622875
0.0,318,0.632433
0.0,77,0.634739
0.0,102,0.63778
0.0,458,0.651859
0.0,149,0.656401
1.0,542,0.673061
0.0,138,0.677226
0.0,269,0.685339
1.0,124,0.689038
1.0,535,0.705457
0.0,215,0.711943
0.0,447,0.725473
0.0,170,0.730538
1.0,515,0.746248
0.0,123,0.749986
0.0,37,0.751113
1.0,112,0.754458
0.0,192,0.760437
0.0,385,0.772243
0.0,204,0.778683
1.0,208,0.785068
1.0,416,0.797637
0.0,210,0.804015
0.0,47,0.805541
0.0,84,0.808067
0.0,72,0.810237
0.0,43,0.811557
0.0,355,0.822512
0.0,764,0.845443
1.0,787,0.869282
0.0,193,0.875221
0.0,58,0.876958
1.0,62,0.878806
1.0,776,0.902129
0.0,517,0.917987
0.0,317,0.927554
1.0,50,0.929168
1.0,406,0.94132
0.0,128,0.945597
0.0,284,0.954036
0.0,41,0.955269
0.0,62,0.957145
0.0,100,0.960278
0.0,186,0.966172
1.0,70,0.968288
0.0,82,0.970929
0.0,78,0.97331
0.0,425,0.986323
1.0,126,0.990197
1.0,326,1.000045
0.0,552,1.017019
0.0,51,1.018582
0.0,598,1.036941
0.0,139,1.041063
0.0,24,1.041809
0.0,108,1.045088
0.0,101,1.048141
1.0,472,1.062431
0.0,649,1.082738
0.0,268,1.090745
0.0,740,1.113067
0.0,599,1.13134
0.0,82,1.133854
0.0,183,1.139329
1.0,175,1.144725
0.0,12,1.145114
0.0,333,1.155248
0.0,264,1.163402
1.0,99,1.166366
0.0,44,1.167695
0.0,199,1.173681
0.0,113,1.177144
1.0,73,1.179337
0.0,116,1.182816
0.0,24,1.183563
0.0,139,1.187723
1.0,83,1.190454
1.0,546,1.206951
0.0,115,1.210399
0.0,109,1.213905
0.0,77,1.216192
0.0,49,1.217675
0.0,354,1.228423
0.0,86,1.231018
0.0,260,1.238939
0.0,249,1.246325
0.0,179,1.25209
0.0,165,1.256956
0.0,84,1.259514
0.0,98,1.262436
0.0,228,1.269355
1.0,449,1.283261
1.0,174,1.288515
0.0,274,1.296793
0.0,204,1.302941
0.0,228,1.310122
0.0,24,1.310921
0.0,72,1.313226
0.0,391,1.324896
0.0,248,1.332657
1.0,66,1.334663
0.0,294,1.343643
0.0,16,1.344163
0.0,37,1.345306
0.0,14,1.345759
1.0,425,1.358593
0.0,282,1.367213
1.0,143,1.371576
0.0,32,1.372783
