episodes,steps,total reward
26,1000,0.0
43,2000,0.0
56,3000,0.0
71,4000,0.0
84,5000,0.0
92,6000,0.0
103,7000,0.0
112,8000,0.0
116,9000,0.0
129,10000,0.0
134,11000,0.0
138,12000,0.0
146,13000,0.0
159,14000,0.0
169,15000,0.0
176,16000,0.0
183,17000,0.0
191,18000,0.0
195,19000,0.0
196,20000,0.0
204,21000,0.0
211,22000,0.0
214,23000,0.0
223,24000,0.0
234,25000,0.0
240,26000,0.0
247,27000,0.0
256,28000,0.0
267,29000,0.0
273,30000,0.0
279,31000,0.0
291,32000,0.0
303,33000,0.0
310,34000,0.0
316,35000,0.0
318,36000,1.0
325,37000,0.0
332,38000,0.0
343,39000,0.0
346,40000,0.0
355,41000,1.0
359,42000,1.0
367,43000,0.0
370,44000,0.0
376,45000,0.0
388,46000,1.0
393,47000,0.0
401,48000,0.0
409,49000,2.0
415,50000,0.0
419,51000,0.0
427,52000,1.0
434,53000,0.0
436,54000,0.0
445,55000,1.0
455,56000,0.0
461,57000,1.0
475,58000,0.0
488,59000,2.0
491,60000,0.0
496,61000,0.0
512,62000,1.0
516,63000,0.0
522,64000,0.0
527,65000,0.0
533,66000,0.0
542,67000,1.0
549,68000,0.0
565,69000,3.0
574,70000,1.0
590,71000,1.0
603,72000,4.0
614,73000,1.0
615,74000,0.0
619,75000,0.0
626,76000,2.0
633,77000,1.0
645,78000,5.0
657,79000,3.0
666,80000,5.0
676,81000,6.0
687,82000,5.0
704,83000,12.0
724,84000,12.0
754,85000,22.0
767,86000,9.0
795,87000,22.0
824,88000,17.0
853,89000,17.0
883,90000,23.0
916,91000,26.0
947,92000,21.0
966,93000,15.0
983,94000,10.0
1010,95000,24.0
1043,96000,23.0
1080,97000,27.0
1101,98000,16.0
1139,99000,32.0
1172,100000,25.0
