episodes,steps,total reward
9,1000,0.0
24,2000,0.0
34,3000,0.0
45,4000,0.0
57,5000,2.0
61,6000,0.0
66,7000,0.0
72,8000,0.0
78,9000,1.0
82,10000,0.0
87,11000,0.0
94,12000,1.0
98,13000,0.0
104,14000,0.0
109,15000,1.0
115,16000,1.0
123,17000,1.0
128,18000,0.0
130,19000,1.0
134,20000,1.0
138,21000,0.0
143,22000,0.0
147,23000,1.0
152,24000,1.0
153,25000,0.0
159,26000,1.0
162,27000,1.0
166,28000,1.0
175,29000,1.0
183,30000,1.0
185,31000,0.0
189,32000,1.0
193,33000,1.0
197,34000,1.0
200,35000,0.0
203,36000,0.0
208,37000,0.0
210,38000,1.0
213,39000,0.0
215,40000,1.0
218,41000,0.0
222,42000,0.0
223,43000,0.0
227,44000,1.0
230,45000,1.0
231,46000,0.0
239,47000,0.0
242,48000,2.0
246,49000,2.0
248,50000,0.0
250,51000,0.0
254,52000,0.0
258,53000,2.0
263,54000,0.0
266,55000,2.0
268,56000,0.0
272,57000,1.0
277,58000,3.0
279,59000,2.0
282,60000,1.0
283,61000,0.0
289,62000,2.0
294,63000,1.0
297,64000,1.0
303,65000,1.0
305,66000,0.0
311,67000,2.0
315,68000,0.0
321,69000,2.0
322,70000,1.0
323,71000,0.0
326,72000,2.0
327,73000,1.0
330,74000,1.0
337,75000,2.0
338,76000,1.0
345,77000,4.0
348,78000,0.0
353,79000,1.0
355,80000,1.0
358,81000,2.0
363,82000,2.0
365,83000,0.0
371,84000,3.0
379,85000,2.0
382,86000,1.0
387,87000,1.0
394,88000,2.0
397,89000,1.0
403,90000,3.0
409,91000,2.0
414,92000,2.0
416,93000,0.0
418,94000,1.0
419,95000,0.0
422,96000,1.0
427,97000,3.0
430,98000,1.0
433,99000,1.0
434,100000,1.0
