# {"t_start": 1640944554.6312852, "env_id": "Office-single-v0"} 
r,l,t
0.0,2,0.000283
0.0,58,0.00216
0.0,21,0.002849
0.0,7,0.003115
0.0,44,0.004562
0.0,59,0.006405
0.0,13,0.00685
0.0,12,0.007246
0.0,5,0.007419
0.0,34,0.008418
0.0,17,0.008937
0.0,48,0.01035
0.0,39,0.01161
0.0,15,0.012179
0.0,106,0.015391
0.0,23,0.016098
0.0,6,0.016309
0.0,23,0.017006
0.0,54,0.018722
0.0,33,0.019759
0.0,33,0.020802
0.0,37,0.021896
0.0,55,0.023551
0.0,32,0.024499
0.0,130,0.028507
0.0,36,0.029587
0.0,42,0.030902
0.0,147,0.035527
0.0,41,0.036738
0.0,99,0.039588
0.0,44,0.040859
0.0,56,0.042771
0.0,27,0.043581
0.0,117,0.047029
0.0,75,0.049262
0.0,79,0.051602
0.0,61,0.053357
0.0,169,0.058439
0.0,57,0.060188
0.0,55,0.062009
0.0,30,0.063068
0.0,10,0.063385
0.0,52,0.064963
0.0,114,0.068267
0.0,21,0.06891
0.0,5,0.069086
0.0,69,0.071072
0.0,68,0.07323
0.0,12,0.073636
0.0,42,0.074911
0.0,106,0.077965
0.0,37,0.079086
0.0,25,0.079831
0.0,45,0.081192
0.0,13,0.08159
0.0,221,0.088045
0.0,48,0.089475
0.0,136,0.093771
0.0,145,0.098044
0.0,6,0.098256
0.0,101,0.101229
0.0,8,0.101491
0.0,77,0.104
0.0,135,0.108004
0.0,51,0.109519
0.0,94,0.112338
0.0,90,0.115101
0.0,123,0.118787
0.0,186,0.124422
0.0,19,0.124997
0.0,529,0.140824
0.0,23,0.141595
0.0,71,0.143695
0.0,194,0.149958
0.0,549,0.166615
0.0,5,0.166802
0.0,68,0.168798
0.0,257,0.176601
0.0,175,0.181955
0.0,113,0.185573
0.0,182,0.191036
0.0,164,0.196105
0.0,265,0.203914
0.0,1000,0.233726
0.0,195,0.239607
0.0,104,0.242731
0.0,31,0.243924
0.0,10,0.244262
0.0,32,0.245228
0.0,39,0.246396
0.0,97,0.249301
0.0,261,0.25697
0.0,753,0.279677
0.0,46,0.281037
0.0,58,0.282763
0.0,391,0.294451
0.0,54,0.296227
0.0,169,0.30132
0.0,519,0.316988
0.0,21,0.317656
0.0,80,0.320221
0.0,36,0.321322
0.0,34,0.322368
0.0,58,0.324086
0.0,109,0.327548
0.0,83,0.330002
0.0,95,0.33288
0.0,2,0.333042
0.0,49,0.334707
0.0,43,0.335965
0.0,110,0.339278
0.0,271,0.347283
0.0,2,0.34738
0.0,7,0.347621
0.0,62,0.349653
0.0,68,0.351734
0.0,109,0.355065
0.0,104,0.358232
0.0,272,0.366942
0.0,23,0.367646
0.0,35,0.368684
0.0,146,0.373094
0.0,212,0.379312
0.0,13,0.379777
0.0,63,0.381818
0.0,120,0.385552
0.0,58,0.387326
0.0,66,0.389347
0.0,96,0.392201
0.0,167,0.397354
0.0,334,0.407175
0.0,220,0.413912
0.0,301,0.422924
0.0,179,0.42846
0.0,58,0.430177
0.0,32,0.431146
0.0,91,0.433862
0.0,68,0.435932
0.0,134,0.439862
0.0,82,0.442515
0.0,25,0.44332
0.0,70,0.4454
0.0,250,0.452833
0.0,126,0.456777
0.0,92,0.459731
0.0,14,0.460227
0.0,97,0.463065
0.0,80,0.465495
0.0,315,0.474937
0.0,6,0.475173
0.0,59,0.476926
0.0,787,0.500492
0.0,50,0.50202
0.0,30,0.503066
0.0,28,0.504028
0.0,34,0.505063
0.0,47,0.506452
0.0,724,0.528061
0.0,62,0.529975
0.0,169,0.535294
0.0,41,0.536541
0.0,5,0.536721
0.0,37,0.537832
0.0,163,0.542734
0.0,20,0.543362
0.0,15,0.543838
0.0,30,0.544748
0.0,139,0.549006
0.0,42,0.550339
0.0,6,0.550592
0.0,117,0.554136
0.0,193,0.560015
0.0,924,0.587791
0.0,31,0.588748
0.0,143,0.592954
0.0,85,0.595732
0.0,97,0.598674
0.0,28,0.599524
0.0,11,0.599878
0.0,61,0.601671
0.0,143,0.605929
0.0,147,0.61059
0.0,152,0.615222
0.0,31,0.616178
0.0,32,0.617148
0.0,100,0.620222
0.0,24,0.620966
0.0,48,0.62242
0.0,60,0.62423
0.0,50,0.625924
0.0,266,0.634017
0.0,101,0.637041
0.0,46,0.638689
0.0,114,0.642129
0.0,22,0.642858
0.0,8,0.643127
0.0,70,0.645212
0.0,26,0.645993
0.0,116,0.649478
0.0,55,0.651188
0.0,163,0.656133
0.0,30,0.657119
0.0,126,0.660943
0.0,142,0.665215
0.0,112,0.668737
0.0,11,0.66914
0.0,59,0.670994
0.0,6,0.671221
0.0,76,0.67361
0.0,29,0.674475
0.0,88,0.677143
0.0,80,0.679546
0.0,103,0.68276
0.0,108,0.686071
0.0,28,0.687055
0.0,129,0.691195
