# {"t_start": 1641600035.2749813, "env_id": "Office-single-v0"} 
r,l,t
0.0,109,0.002944
0.0,35,0.003885
0.0,153,0.00755
0.0,96,0.009883
0.0,70,0.011732
0.0,156,0.015449
0.0,9,0.015701
0.0,104,0.018258
0.0,13,0.018908
0.0,200,0.024074
0.0,41,0.025086
0.0,25,0.025943
0.0,29,0.026711
0.0,106,0.029278
0.0,106,0.031871
0.0,144,0.03524
0.0,79,0.037112
0.0,44,0.03817
0.0,128,0.041141
0.0,120,0.044003
0.0,97,0.046314
0.0,235,0.052555
0.0,522,0.065544
0.0,56,0.066882
0.0,61,0.068347
0.0,431,0.079329
0.0,22,0.08009
0.0,380,0.090065
0.0,107,0.092717
0.0,136,0.095932
0.0,59,0.09735
0.0,215,0.102664
0.0,118,0.105577
0.0,97,0.107975
0.0,146,0.11147
0.0,367,0.12018
0.0,106,0.123352
0.0,44,0.12445
0.0,86,0.126709
0.0,104,0.129152
0.0,223,0.134431
0.0,170,0.138664
0.0,357,0.148935
0.0,287,0.156258
0.0,204,0.161038
0.0,78,0.162903
0.0,88,0.165015
0.0,163,0.169229
0.0,23,0.169812
0.0,175,0.17402
0.0,33,0.174873
0.0,108,0.177716
0.0,334,0.186352
0.0,81,0.188324
0.0,61,0.189783
0.0,80,0.191716
0.0,382,0.20088
0.0,107,0.20353
0.0,131,0.207276
0.0,99,0.21048
0.0,97,0.21312
0.0,458,0.22377
0.0,410,0.234457
0.0,234,0.240057
0.0,495,0.251961
0.0,205,0.256812
0.0,3,0.256918
0.0,149,0.260567
0.0,163,0.264436
0.0,154,0.268146
0.0,291,0.275647
0.0,249,0.281715
0.0,47,0.282854
0.0,21,0.283381
0.0,115,0.286082
0.0,85,0.288124
0.0,69,0.289843
0.0,160,0.294296
0.0,25,0.294991
0.0,136,0.298265
0.0,421,0.308446
0.0,600,0.32264
0.0,197,0.327826
0.0,299,0.33556
0.0,1000,0.359317
0.0,99,0.36167
0.0,180,0.365977
0.0,971,0.390343
0.0,169,0.394331
0.0,1000,0.418036
0.0,111,0.420648
0.0,23,0.421218
0.0,425,0.432179
0.0,135,0.435416
0.0,16,0.435831
0.0,1000,0.460936
0.0,385,0.469882
0.0,63,0.471387
0.0,106,0.474151
0.0,117,0.476903
0.0,208,0.48185
0.0,116,0.484712
0.0,205,0.490178
0.0,385,0.499411
0.0,1000,0.525106
0.0,209,0.530018
0.0,118,0.532834
0.0,301,0.539973
0.0,119,0.542835
0.0,214,0.547957
0.0,84,0.549958
0.0,130,0.553715
0.0,226,0.559091
0.0,59,0.560593
0.0,17,0.561022
0.0,249,0.566964
0.0,211,0.572249
0.0,359,0.582634
0.0,14,0.583007
0.0,441,0.593376
0.0,623,0.609027
0.0,189,0.61358
0.0,387,0.622913
0.0,484,0.63444
0.0,54,0.635886
0.0,428,0.646781
0.0,481,0.658163
0.0,553,0.671273
0.0,102,0.673779
0.0,339,0.682339
0.0,314,0.689809
0.0,579,0.704206
0.0,1000,0.72808
0.0,263,0.734857
0.0,496,0.746793
0.0,1000,0.771248
0.0,445,0.781804
0.0,91,0.783987
0.0,72,0.785721
0.0,781,0.805428
0.0,419,0.815389
0.0,89,0.817723
0.0,718,0.835508
0.0,729,0.853662
0.0,43,0.854746
0.0,343,0.862966
0.0,224,0.86855
0.0,354,0.877012
0.0,384,0.886558
0.0,131,0.889962
0.0,258,0.896152
0.0,949,0.919468
0.0,384,0.928565
0.0,69,0.930238
0.0,20,0.930741
0.0,402,0.940579
0.0,275,0.947513
0.0,159,0.951319
0.0,466,0.962141
0.0,152,0.966019
0.0,104,0.968533
0.0,410,0.978116
0.0,149,0.982171
0.0,358,0.99072
0.0,71,0.992449
0.0,28,0.993133
0.0,671,1.009353
0.0,94,1.01177
0.0,116,1.014713
0.0,306,1.021971
0.0,259,1.028127
0.0,25,1.02875
0.0,856,1.049476
0.0,342,1.057712
0.0,209,1.063371
0.0,384,1.072329
0.0,203,1.077144
0.0,487,1.08884
0.0,75,1.09076
0.0,141,1.094208
0.0,354,1.103018
0.0,657,1.11868
0.0,189,1.123201
0.0,230,1.128676
0.0,99,1.131032
0.0,319,1.139419
0.0,1000,1.163544
0.0,32,1.164337
0.0,609,1.178733
0.0,992,1.20273
0.0,193,1.207627
0.0,98,1.209994
0.0,64,1.211974
0.0,125,1.214983
0.0,36,1.215863
0.0,1000,1.239209
0.0,269,1.245583
0.0,349,1.254575
0.0,1000,1.278039
0.0,37,1.279025
0.0,53,1.280287
0.0,1000,1.304727
0.0,65,1.306567
0.0,85,1.308815
0.0,114,1.311602
0.0,263,1.317853
0.0,559,1.331597
0.0,159,1.335401
0.0,224,1.34069
0.0,178,1.345346
0.0,42,1.346419
0.0,433,1.357159
0.0,771,1.376043
0.0,1000,1.39972
0.0,334,1.408086
0.0,291,1.415054
0.0,163,1.418886
0.0,447,1.429605
0.0,717,1.446718
0.0,1000,1.470788
0.0,359,1.479463
0.0,173,1.483569
0.0,1000,1.507741
0.0,356,1.516277
0.0,47,1.517798
0.0,682,1.533959
0.0,74,1.535702
0.0,205,1.540447
0.0,331,1.548567
0.0,1000,1.572499
0.0,1000,1.596763
0.0,184,1.601143
0.0,60,1.602592
0.0,1000,1.626872
0.0,89,1.628983
0.0,1000,1.65298
0.0,77,1.654864
0.0,3,1.65497
0.0,41,1.655973
0.0,40,1.657058
0.0,21,1.657575
0.0,21,1.658101
0.0,11,1.658393
0.0,1000,1.681945
0.0,817,1.701751
0.0,1000,1.726003
0.0,50,1.727262
0.0,54,1.728584
0.0,419,1.738698
0.0,29,1.739434
0.0,183,1.744167
0.0,156,1.747952
0.0,387,1.756963
0.0,104,1.759491
0.0,69,1.761357
0.0,227,1.76744
0.0,431,1.77764
0.0,233,1.783117
0.0,688,1.79944
0.0,207,1.805122
0.0,162,1.809036
0.0,93,1.811441
0.0,1000,1.835261
0.0,163,1.839649
0.0,268,1.846075
0.0,249,1.852061
0.0,138,1.855387
0.0,731,1.873176
0.0,227,1.878581
0.0,373,1.887667
0.0,192,1.892132
0.0,176,1.896745
0.0,1000,1.921085
0.0,315,1.92856
0.0,45,1.929677
0.0,192,1.934445
0.0,1000,1.958539
0.0,81,1.960564
0.0,1000,1.984615
0.0,531,1.997899
0.0,225,2.003197
0.0,463,2.014797
0.0,68,2.016437
0.0,140,2.019725
0.0,176,2.023916
0.0,19,2.0244
0.0,305,2.031777
0.0,176,2.036128
0.0,214,2.04122
0.0,688,2.05794
0.0,122,2.060872
0.0,802,2.08047
0.0,1000,2.104085
0.0,142,2.107938
0.0,78,2.109882
0.0,1000,2.13357
0.0,67,2.135169
0.0,211,2.140134
0.0,260,2.146755
0.0,812,2.166856
0.0,215,2.171969
0.0,78,2.173805
0.0,651,2.189278
0.0,594,2.203701
0.0,160,2.20746
0.0,181,2.211711
0.0,551,2.22511
0.0,847,2.244839
0.0,1000,2.269019
0.0,926,2.290951
0.0,357,2.299834
0.0,407,2.309536
0.0,1000,2.333753
0.0,595,2.348191
0.0,81,2.350145
0.0,87,2.352435
0.0,67,2.354052
0.0,393,2.363156
0.0,122,2.366289
0.0,414,2.376281
0.0,19,2.376759
0.0,85,2.378737
0.0,277,2.38525
0.0,299,2.392736
0.0,1000,2.416852
0.0,45,2.41794
0.0,368,2.426555
0.0,270,2.43321
0.0,605,2.447863
