episodes,steps,total reward
11,1000,0.0
21,2000,0.0
28,3000,0.0
30,4000,0.0
35,5000,0.0
43,6000,0.0
50,7000,0.0
52,8000,0.0
58,9000,0.0
66,10000,0.0
70,11000,0.0
75,12000,0.0
76,13000,0.0
80,14000,0.0
82,15000,0.0
84,16000,0.0
86,17000,0.0
89,18000,0.0
92,19000,0.0
98,20000,0.0
100,21000,0.0
101,22000,0.0
103,23000,0.0
111,24000,0.0
116,25000,0.0
117,26000,0.0
123,27000,0.0
128,28000,0.0
129,29000,0.0
133,30000,0.0
135,31000,0.0
137,32000,0.0
138,33000,0.0
142,34000,0.0
145,35000,0.0
150,36000,0.0
153,37000,0.0
155,38000,0.0
157,39000,0.0
159,40000,0.0
161,41000,0.0
164,42000,0.0
169,43000,0.0
170,44000,0.0
173,45000,0.0
176,46000,0.0
179,47000,0.0
180,48000,0.0
183,49000,0.0
188,50000,0.0
189,51000,0.0
192,52000,0.0
193,53000,0.0
200,54000,0.0
201,55000,0.0
202,56000,0.0
205,57000,0.0
208,58000,0.0
212,59000,0.0
213,60000,0.0
214,61000,0.0
218,62000,0.0
221,63000,0.0
222,64000,0.0
223,65000,0.0
230,66000,0.0
231,67000,0.0
233,68000,0.0
235,69000,0.0
240,70000,0.0
241,71000,0.0
242,72000,0.0
243,73000,0.0
247,74000,0.0
249,75000,0.0
253,76000,0.0
259,77000,0.0
261,78000,0.0
266,79000,0.0
267,80000,0.0
274,81000,0.0
276,82000,0.0
280,83000,0.0
284,84000,0.0
289,85000,0.0
291,86000,0.0
293,87000,0.0
296,88000,0.0
297,89000,0.0
301,90000,0.0
303,91000,0.0
306,92000,0.0
308,93000,0.0
311,94000,0.0
316,95000,0.0
317,96000,0.0
320,97000,0.0
321,98000,0.0
324,99000,0.0
326,100000,0.0
