# {"t_start": 1642048944.2998672, "env_id": "Office-single-v0"} 
r,l,t
0.0,146,0.00398
0.0,7,0.0042
0.0,161,0.008144
0.0,48,0.009432
0.0,104,0.012349
0.0,24,0.012958
0.0,136,0.016345
0.0,122,0.019671
0.0,11,0.01999
0.0,46,0.021102
0.0,23,0.021674
0.0,59,0.02315
0.0,38,0.024113
0.0,80,0.026091
0.0,44,0.027167
0.0,49,0.028338
0.0,72,0.030112
0.0,101,0.032496
0.0,38,0.033421
0.0,177,0.037567
0.0,98,0.03996
0.0,175,0.044229
0.0,80,0.046162
0.0,187,0.050606
0.0,147,0.054156
0.0,117,0.057426
0.0,468,0.068446
0.0,217,0.073632
0.0,83,0.075653
0.0,273,0.082214
0.0,350,0.090616
0.0,387,0.099912
0.0,378,0.109018
0.0,284,0.115836
0.0,366,0.124801
0.0,84,0.126865
0.0,44,0.127938
0.0,3,0.12804
0.0,126,0.131096
0.0,366,0.140323
0.0,75,0.142181
0.0,61,0.143679
0.0,242,0.149567
0.0,270,0.156153
0.0,336,0.164583
0.0,609,0.179307
0.0,42,0.180554
0.0,280,0.187287
0.0,83,0.189288
0.0,20,0.189792
0.0,189,0.194484
0.0,67,0.196162
0.0,566,0.209983
0.0,321,0.218086
0.0,27,0.218784
0.0,317,0.226441
0.0,177,0.230989
0.0,799,0.250858
0.0,90,0.25309
0.0,40,0.254093
0.0,503,0.26667
0.0,213,0.271937
0.0,52,0.273269
0.0,8,0.273493
0.0,80,0.275581
0.0,288,0.282788
0.0,759,0.30134
0.0,223,0.306779
0.0,106,0.309472
0.0,206,0.314517
0.0,20,0.315043
0.0,735,0.332653
0.0,199,0.337586
0.0,886,0.358886
0.0,156,0.3627
0.0,643,0.378151
0.0,106,0.380761
0.0,117,0.383682
0.0,60,0.385163
0.0,340,0.393804
0.0,236,0.399639
0.0,720,0.416872
0.0,376,0.425999
0.0,1000,0.449812
0.0,102,0.452299
0.0,223,0.45773
0.0,60,0.459304
0.0,45,0.460425
0.0,9,0.460675
0.0,114,0.463453
0.0,70,0.465161
0.0,141,0.468582
0.0,220,0.473878
0.0,599,0.488214
0.0,53,0.489533
0.0,401,0.499525
0.0,317,0.50724
0.0,18,0.507728
0.0,343,0.516391
0.0,477,0.528079
0.0,333,0.53637
0.0,802,0.555767
0.0,69,0.557475
0.0,185,0.561937
0.0,452,0.572973
0.0,1000,0.596956
0.0,85,0.599057
0.0,214,0.604248
0.0,1000,0.628298
0.0,803,0.647697
0.0,192,0.652442
0.0,239,0.658274
0.0,106,0.660881
0.0,53,0.662196
0.0,803,0.682138
0.0,448,0.69308
0.0,1000,0.717495
0.0,104,0.720083
0.0,561,0.734107
0.0,53,0.735514
0.0,30,0.736275
0.0,70,0.738005
0.0,244,0.743953
0.0,23,0.744645
0.0,431,0.755495
0.0,47,0.756674
0.0,160,0.760697
0.0,531,0.773992
0.0,594,0.788295
0.0,72,0.790083
0.0,136,0.793373
0.0,23,0.793978
0.0,78,0.795915
0.0,500,0.807953
0.0,183,0.812357
0.0,338,0.8205
0.0,246,0.82642
0.0,296,0.833521
0.0,189,0.838151
0.0,661,0.853979
0.0,236,0.859684
0.0,121,0.862619
0.0,117,0.865468
0.0,325,0.873402
0.0,294,0.880569
0.0,825,0.900286
0.0,279,0.907076
0.0,525,0.919799
0.0,117,0.922627
0.0,815,0.942097
0.0,22,0.942673
0.0,152,0.946382
0.0,256,0.952671
0.0,634,0.967868
0.0,319,0.975564
0.0,732,0.993774
0.0,98,0.996227
0.0,992,1.020499
0.0,633,1.035768
0.0,258,1.042051
0.0,332,1.050054
0.0,1000,1.073972
0.0,169,1.078068
0.0,201,1.08293
0.0,246,1.088841
0.0,95,1.091175
0.0,50,1.092409
0.0,392,1.101918
0.0,52,1.103204
0.0,231,1.108793
0.0,1000,1.132711
0.0,580,1.146694
0.0,93,1.14897
0.0,342,1.157284
0.0,57,1.158701
0.0,958,1.182159
0.0,299,1.189427
0.0,80,1.191403
0.0,424,1.201607
0.0,246,1.20757
0.0,365,1.216857
0.0,451,1.228033
0.0,736,1.24634
0.0,145,1.250033
0.0,632,1.26569
0.0,1000,1.289651
0.0,1000,1.313632
0.0,1000,1.337537
0.0,103,1.340053
0.0,845,1.360216
0.0,757,1.378466
0.0,60,1.379963
0.0,1000,1.403963
0.0,670,1.420126
0.0,147,1.4237
0.0,717,1.440852
0.0,329,1.448843
0.0,60,1.450324
0.0,624,1.465569
0.0,1000,1.490204
0.0,60,1.491703
0.0,119,1.494609
0.0,300,1.502149
0.0,485,1.513815
0.0,291,1.521009
0.0,811,1.540583
0.0,1000,1.564675
0.0,170,1.56881
0.0,350,1.577222
0.0,29,1.577963
0.0,986,1.60195
0.0,233,1.607813
0.0,220,1.613212
0.0,11,1.613519
0.0,1000,1.637608
0.0,193,1.64242
0.0,49,1.643648
0.0,285,1.650479
0.0,861,1.671381
0.0,54,1.67273
0.0,129,1.675863
0.0,67,1.677514
0.0,549,1.690946
0.0,1000,1.715685
0.0,273,1.722422
0.0,58,1.724033
0.0,1000,1.749064
0.0,71,1.750884
0.0,249,1.756898
0.0,44,1.758003
0.0,83,1.760034
0.0,59,1.761489
0.0,274,1.768113
0.0,505,1.780604
0.0,1000,1.804779
0.0,1000,1.828759
0.0,121,1.831734
0.0,320,1.83945
0.0,184,1.84391
0.0,297,1.851138
0.0,451,1.86208
0.0,123,1.865126
0.0,40,1.86613
0.0,168,1.870172
0.0,274,1.876801
0.0,1000,1.900825
0.0,254,1.906962
0.0,43,1.908038
0.0,173,1.912247
0.0,281,1.919076
0.0,295,1.926252
0.0,26,1.926927
0.0,181,1.931306
0.0,700,1.94814
0.0,184,1.952899
0.0,517,1.965714
0.0,25,1.966374
0.0,77,1.968282
0.0,125,1.971433
0.0,174,1.975713
0.0,60,1.977282
0.0,9,1.977529
0.0,205,1.982733
0.0,50,1.984126
0.0,411,1.994145
0.0,1000,2.018287
0.0,57,2.019745
0.0,111,2.022507
0.0,135,2.025832
0.0,402,2.035512
0.0,915,2.057401
0.0,256,2.063636
0.0,24,2.064254
0.0,401,2.073945
0.0,270,2.08043
0.0,66,2.082053
0.0,511,2.094484
0.0,83,2.096531
0.0,370,2.105486
0.0,429,2.115869
0.0,109,2.11863
0.0,232,2.124402
0.0,360,2.133053
0.0,1000,2.15694
0.0,541,2.170419
0.0,179,2.17475
0.0,296,2.182154
0.0,130,2.185316
0.0,92,2.187556
0.0,18,2.188032
0.0,144,2.191856
0.0,61,2.193436
0.0,495,2.205801
0.0,540,2.219371
0.0,1000,2.244018
0.0,1000,2.268173
0.0,539,2.281205
0.0,42,2.282269
0.0,578,2.296166
0.0,10,2.29645
0.0,110,2.299116
0.0,721,2.316518
0.0,231,2.322118
0.0,1000,2.346025
0.0,1000,2.370156
0.0,176,2.374475
0.0,289,2.381517
0.0,527,2.394463
0.0,373,2.403499
0.0,946,2.426272
0.0,586,2.440771
0.0,133,2.444055
0.0,337,2.45261
0.0,241,2.4585
0.0,1000,2.482941
0.0,72,2.484734
0.0,175,2.489008
