episodes,steps,total reward
61,10000,0.0
90,20000,0.0
121,30000,0.0
149,40000,0.0
187,50000,0.0
214,60000,0.0
236,70000,0.0
272,80000,0.0
301,90000,0.0
323,100000,0.0
355,110000,0.0
378,120000,0.0
405,130000,0.0
428,140000,0.0
456,150000,0.0
475,160000,0.0
501,170000,0.0
521,180000,0.0
548,190000,0.0
570,200000,0.0
596,210000,0.0
618,220000,0.0
645,230000,0.0
675,240000,0.0
696,250000,0.0
723,260000,0.0
745,270000,0.0
765,280000,0.0
791,290000,0.0
812,300000,0.0
838,310000,0.0
863,320000,0.0
893,330000,0.0
917,340000,0.0
935,350000,0.0
964,360000,0.0
985,370000,0.0
1005,380000,0.0
1029,390000,0.0
1049,400000,0.0
1079,410000,0.0
1102,420000,0.0
1125,430000,0.0
1146,440000,0.0
1169,450000,1.0
1194,460000,1.0
1221,470000,1.0
1240,480000,0.0
1262,490000,0.0
1284,500000,0.0
1309,510000,0.0
1334,520000,0.0
1357,530000,0.0
1388,540000,0.0
1408,550000,1.0
1431,560000,0.0
1464,570000,0.0
1487,580000,0.0
1505,590000,1.0
1529,600000,2.0
1550,610000,1.0
1575,620000,0.0
1596,630000,0.0
1620,640000,4.0
1644,650000,0.0
1662,660000,0.0
1680,670000,1.0
1702,680000,0.0
1727,690000,3.0
1750,700000,0.0
1767,710000,1.0
1790,720000,1.0
1812,730000,1.0
1841,740000,2.0
1868,750000,3.0
1890,760000,1.0
1912,770000,1.0
1941,780000,1.0
1972,790000,0.0
1998,800000,2.0
2026,810000,1.0
2053,820000,0.0
2076,830000,1.0
2096,840000,1.0
2121,850000,2.0
2144,860000,1.0
2169,870000,5.0
2193,880000,2.0
2216,890000,2.0
2239,900000,2.0
2264,910000,3.0
2279,920000,1.0
2301,930000,4.0
2332,940000,2.0
2358,950000,6.0
2394,960000,3.0
2424,970000,3.0
2447,980000,3.0
2477,990000,3.0
2497,1000000,5.0
