# {"t_start": 1641212590.923968, "env_id": "Office-single-v0"} 
r,l,t
0.0,24,0.000886
0.0,65,0.002433
0.0,11,0.002707
0.0,20,0.003165
0.0,24,0.003696
0.0,21,0.004164
0.0,4,0.004276
0.0,21,0.004759
0.0,7,0.005024
0.0,16,0.005388
0.0,17,0.005778
0.0,54,0.007028
0.0,34,0.007773
0.0,19,0.008204
0.0,109,0.010633
0.0,73,0.012295
0.0,24,0.01286
0.0,71,0.014469
0.0,20,0.014951
0.0,26,0.015555
0.0,10,0.015814
0.0,52,0.017002
0.0,38,0.017915
0.0,30,0.018603
0.0,25,0.019232
0.0,47,0.020285
0.0,65,0.021831
0.0,38,0.022714
0.0,52,0.024133
0.0,106,0.026491
0.0,126,0.029267
0.0,103,0.031562
0.0,52,0.032695
0.0,190,0.036824
0.0,57,0.038188
0.0,102,0.040512
0.0,53,0.041713
0.0,13,0.042058
0.0,200,0.046799
0.0,57,0.048049
0.0,42,0.048958
0.0,6,0.049115
0.0,54,0.050336
0.0,51,0.051458
0.0,97,0.053611
0.0,133,0.056524
0.0,28,0.057256
0.0,254,0.063028
0.0,42,0.064011
0.0,59,0.065306
0.0,95,0.067419
0.0,67,0.069095
0.0,90,0.071211
0.0,53,0.072409
0.0,117,0.075
0.0,8,0.075207
0.0,87,0.077179
0.0,46,0.07825
0.0,59,0.079623
0.0,65,0.081138
0.0,333,0.088495
0.0,150,0.092141
0.0,299,0.098771
0.0,34,0.09957
0.0,126,0.102869
0.0,36,0.103702
0.0,80,0.105494
0.0,39,0.106395
0.0,111,0.108886
0.0,82,0.110755
0.0,18,0.11119
0.0,119,0.113851
0.0,107,0.116377
0.0,32,0.117126
0.0,51,0.118284
0.0,21,0.118782
0.0,146,0.122044
0.0,39,0.122948
0.0,89,0.12495
0.0,31,0.125673
0.0,86,0.12761
0.0,296,0.134223
0.0,217,0.139268
0.0,170,0.143059
0.0,109,0.145556
0.0,99,0.147788
0.0,135,0.150816
0.0,2,0.150897
0.0,119,0.153596
0.0,139,0.156761
0.0,48,0.157871
0.0,493,0.169192
0.0,91,0.171271
0.0,150,0.174745
0.0,12,0.175086
0.0,10,0.175344
0.0,104,0.177658
0.0,179,0.181735
0.0,232,0.187185
0.0,249,0.192806
0.0,132,0.195916
0.0,307,0.202804
0.0,14,0.203152
0.0,255,0.209224
0.0,13,0.209553
0.0,581,0.222473
0.0,12,0.222812
0.0,108,0.225271
0.0,460,0.235773
0.0,4,0.235903
0.0,110,0.238397
0.0,43,0.239423
0.0,51,0.240586
0.0,77,0.242334
0.0,10,0.242591
0.0,10,0.242841
0.0,16,0.243285
0.0,17,0.243736
0.0,38,0.245346
0.0,32,0.246096
0.0,167,0.249858
0.0,25,0.250452
0.0,103,0.252788
0.0,278,0.259218
0.0,156,0.262806
0.0,241,0.268558
0.0,19,0.269284
0.0,78,0.271058
0.0,371,0.279691
0.0,82,0.281564
0.0,193,0.285952
0.0,450,0.296009
0.0,28,0.296658
0.0,106,0.29903
0.0,192,0.303782
0.0,13,0.304121
0.0,2,0.304195
0.0,131,0.307269
0.0,117,0.310013
0.0,426,0.31956
0.0,15,0.31993
0.0,7,0.320117
0.0,105,0.322667
0.0,237,0.328103
0.0,43,0.329083
0.0,120,0.331814
0.0,6,0.332016
0.0,65,0.333496
0.0,113,0.33609
0.0,87,0.338041
0.0,204,0.342655
0.0,321,0.350559
0.0,265,0.35652
0.0,172,0.360434
0.0,11,0.360798
0.0,406,0.370307
0.0,33,0.371078
0.0,89,0.373097
0.0,162,0.376758
0.0,264,0.382955
0.0,28,0.383726
0.0,50,0.384928
0.0,141,0.388179
0.0,23,0.388731
0.0,15,0.389097
0.0,145,0.39254
0.0,26,0.393176
0.0,330,0.400526
0.0,153,0.404189
0.0,19,0.404653
0.0,106,0.407081
0.0,33,0.407878
0.0,76,0.409625
0.0,204,0.41437
0.0,29,0.415056
0.0,26,0.415884
0.0,346,0.423986
0.0,337,0.431474
0.0,34,0.432276
0.0,25,0.432861
0.0,157,0.436409
0.0,74,0.438083
0.0,221,0.443367
0.0,36,0.444268
0.0,17,0.444672
0.0,17,0.445074
0.0,66,0.446644
0.0,174,0.450568
0.0,411,0.459913
0.0,17,0.460332
0.0,388,0.469234
0.0,30,0.470016
0.0,44,0.471017
0.0,135,0.474056
0.0,371,0.482486
0.0,83,0.484372
0.0,17,0.484987
0.0,204,0.489661
0.0,135,0.492735
0.0,77,0.494481
0.0,26,0.495085
0.0,236,0.500357
0.0,18,0.500813
0.0,74,0.502488
0.0,249,0.508345
0.0,22,0.508872
0.0,15,0.509232
0.0,78,0.510992
0.0,42,0.511968
0.0,2,0.512042
0.0,23,0.512583
0.0,19,0.51304
0.0,266,0.519173
0.0,267,0.525129
0.0,45,0.526173
0.0,128,0.529068
0.0,54,0.530306
0.0,33,0.531351
0.0,196,0.536001
0.0,26,0.536683
0.0,115,0.539346
0.0,94,0.541477
0.0,502,0.552615
0.0,466,0.563398
0.0,56,0.56468
0.0,259,0.570542
0.0,22,0.571072
0.0,241,0.576778
0.0,484,0.587764
0.0,68,0.589322
0.0,507,0.600898
0.0,147,0.604212
0.0,273,0.610467
0.0,447,0.62047
0.0,38,0.621365
0.0,279,0.627923
0.0,153,0.631572
0.0,25,0.632176
0.0,108,0.634681
0.0,334,0.642139
0.0,105,0.644497
0.0,109,0.647186
0.0,350,0.655087
0.0,42,0.656048
0.0,53,0.657254
0.0,148,0.660555
0.0,32,0.661304
0.0,294,0.667888
0.0,287,0.674594
0.0,61,0.675992
0.0,23,0.676541
0.0,133,0.679524
0.0,21,0.680017
0.0,107,0.682471
0.0,333,0.690257
0.0,175,0.694516
0.0,118,0.697184
0.0,484,0.707846
0.0,45,0.708885
0.0,180,0.71295
0.0,47,0.714262
0.0,298,0.720926
0.0,166,0.7247
0.0,86,0.726785
0.0,28,0.727438
0.0,35,0.728269
0.0,43,0.729248
0.0,205,0.733833
0.0,75,0.735523
0.0,13,0.735839
0.0,22,0.736362
0.0,425,0.746165
0.0,61,0.747562
0.0,16,0.747953
0.0,43,0.748943
0.0,107,0.751393
0.0,15,0.75176
0.0,330,0.759099
0.0,711,0.77553
0.0,33,0.776376
0.0,80,0.778255
0.0,109,0.780726
0.0,24,0.781296
0.0,548,0.793815
0.0,235,0.799166
0.0,232,0.804436
0.0,135,0.807798
0.0,147,0.811223
0.0,59,0.812576
0.0,43,0.813564
0.0,4,0.813681
0.0,169,0.817459
0.0,252,0.82323
0.0,182,0.827353
0.0,46,0.828407
0.0,118,0.831422
0.0,102,0.83373
0.0,158,0.837386
0.0,18,0.837829
0.0,165,0.841652
0.0,197,0.84635
0.0,20,0.846842
0.0,99,0.849097
0.0,48,0.850206
0.0,298,0.857235
0.0,122,0.860166
0.0,2,0.860244
0.0,125,0.863323
0.0,99,0.865565
0.0,143,0.86881
0.0,89,0.870925
0.0,15,0.871291
0.0,33,0.872058
0.0,25,0.872642
0.0,76,0.874504
0.0,76,0.876467
0.0,165,0.880315
0.0,25,0.880914
0.0,33,0.881674
0.0,109,0.884161
0.0,5,0.884308
0.0,66,0.885814
0.0,404,0.894917
0.0,428,0.904862
0.0,149,0.908291
0.0,61,0.909687
0.0,126,0.912625
0.0,80,0.914429
0.0,128,0.917488
0.0,114,0.920256
0.0,32,0.921017
0.0,45,0.92206
0.0,35,0.923069
0.0,32,0.923816
0.0,103,0.926126
0.0,59,0.927451
0.0,332,0.934957
0.0,77,0.93683
0.0,54,0.938185
0.0,118,0.940828
0.0,49,0.942006
0.0,41,0.942946
0.0,130,0.946095
0.0,626,0.960265
0.0,101,0.962605
0.0,31,0.963324
0.0,39,0.96423
0.0,57,0.965531
0.0,93,0.967764
0.0,164,0.971677
0.0,141,0.975047
0.0,200,0.979534
0.0,214,0.984338
0.0,139,0.987544
0.0,130,0.990455
0.0,11,0.990741
0.0,55,0.992156
0.0,34,0.992953
0.0,256,0.998716
0.0,153,1.002138
0.0,29,1.002811
0.0,790,1.020729
0.0,114,1.023391
0.0,302,1.03038
0.0,155,1.033927
0.0,56,1.035226
0.0,56,1.03651
0.0,125,1.039519
0.0,172,1.043488
0.0,176,1.047438
0.0,11,1.047723
0.0,41,1.048667
0.0,211,1.053467
0.0,80,1.055315
0.0,161,1.05893
0.0,40,1.059841
0.0,142,1.063327
0.0,543,1.075594
0.0,138,1.078834
0.0,22,1.079363
0.0,237,1.084979
0.0,292,1.091814
0.0,267,1.097731
0.0,543,1.110065
0.0,6,1.110238
0.0,38,1.111124
0.0,305,1.118031
0.0,68,1.119573
0.0,115,1.122156
0.0,378,1.131057
0.0,118,1.133716
0.0,21,1.134256
0.0,6,1.13442
0.0,520,1.146094
0.0,60,1.147476
0.0,121,1.150208
0.0,181,1.154567
0.0,24,1.15514
0.0,113,1.15769
0.0,327,1.165263
0.0,71,1.166881
0.0,858,1.186797
0.0,8,1.187023
0.0,119,1.189701
0.0,8,1.189948
0.0,37,1.190807
0.0,87,1.192741
0.0,238,1.198603
0.0,124,1.201624
0.0,229,1.206963
0.0,209,1.211799
0.0,56,1.213107
0.0,247,1.218918
0.0,12,1.219288
0.0,476,1.230415
0.0,52,1.231604
0.0,142,1.234868
0.0,17,1.235287
0.0,105,1.237665
0.0,123,1.240496
0.0,303,1.247534
0.0,394,1.256545
0.0,19,1.257036
0.0,45,1.258107
0.0,494,1.269382
0.0,180,1.273475
0.0,52,1.274674
0.0,42,1.275624
0.0,62,1.277098
0.0,304,1.284074
0.0,399,1.293328
0.0,209,1.298138
0.0,36,1.298977
0.0,189,1.303283
0.0,10,1.30354
0.0,468,1.313931
0.0,43,1.315265
0.0,484,1.326148
0.0,20,1.326639
0.0,157,1.33028
0.0,568,1.343549
0.0,4,1.34368
0.0,125,1.346736
0.0,173,1.350625
0.0,50,1.351762
0.0,159,1.355324
0.0,215,1.360209
0.0,380,1.369211
0.0,209,1.374133
0.0,117,1.376781
0.0,248,1.382313
0.0,110,1.38506
0.0,61,1.386496
0.0,19,1.386955
0.0,74,1.388635
0.0,52,1.389865
0.0,78,1.391662
0.0,97,1.39389
0.0,17,1.394304
0.0,129,1.39721
0.0,11,1.39749
0.0,206,1.40212
0.0,159,1.406047
0.0,188,1.410744
0.0,137,1.413943
0.0,266,1.420036
0.0,43,1.421128
0.0,21,1.421646
0.0,126,1.424522
0.0,10,1.424786
0.0,117,1.427415
0.0,34,1.428209
