episodes,steps,total reward
29,1000,0.0
42,2000,0.0
54,3000,0.0
68,4000,0.0
76,5000,0.0
78,6000,0.0
80,7000,0.0
88,8000,0.0
99,9000,0.0
107,10000,0.0
117,11000,0.0
123,12000,0.0
133,13000,0.0
144,14000,0.0
151,15000,0.0
161,16000,0.0
167,17000,0.0
177,18000,0.0
182,19000,0.0
189,20000,0.0
196,21000,0.0
202,22000,0.0
212,23000,0.0
222,24000,0.0
229,25000,0.0
244,26000,0.0
247,27000,0.0
255,28000,0.0
259,29000,0.0
266,30000,0.0
272,31000,0.0
277,32000,0.0
286,33000,0.0
292,34000,0.0
296,35000,0.0
302,36000,0.0
314,37000,0.0
320,38000,0.0
326,39000,0.0
329,40000,0.0
337,41000,0.0
345,42000,0.0
352,43000,0.0
358,44000,0.0
364,45000,0.0
368,46000,0.0
370,47000,0.0
375,48000,0.0
380,49000,0.0
389,50000,0.0
391,51000,0.0
401,52000,0.0
410,53000,0.0
417,54000,0.0
424,55000,0.0
432,56000,0.0
437,57000,0.0
444,58000,0.0
450,59000,0.0
456,60000,0.0
464,61000,0.0
470,62000,0.0
477,63000,0.0
485,64000,0.0
493,65000,0.0
502,66000,0.0
511,67000,0.0
519,68000,0.0
523,69000,0.0
530,70000,0.0
536,71000,0.0
545,72000,0.0
548,73000,0.0
550,74000,0.0
554,75000,0.0
564,76000,0.0
568,77000,0.0
574,78000,0.0
580,79000,0.0
586,80000,0.0
594,81000,0.0
602,82000,0.0
612,83000,0.0
623,84000,0.0
629,85000,0.0
633,86000,0.0
635,87000,0.0
644,88000,0.0
653,89000,0.0
662,90000,0.0
669,91000,0.0
676,92000,0.0
681,93000,0.0
691,94000,0.0
698,95000,0.0
702,96000,0.0
708,97000,0.0
715,98000,0.0
718,99000,0.0
727,100000,0.0
