# {"t_start": 1641550028.8068895, "env_id": "Office-v0"} 
r,l,t
0.0,136,0.004562
0.0,149,0.00836
0.0,12,0.008703
0.5,149,0.012448
0.0,131,0.015881
0.0,110,0.018533
0.0,254,0.024671
0.5,205,0.030356
0.0,12,0.030681
0.0,16,0.031138
0.0,41,0.032147
0.5,156,0.035887
0.0,191,0.040574
0.0,107,0.043263
0.0,41,0.044269
0.0,87,0.046342
0.0,19,0.046813
0.0,25,0.047427
0.0,105,0.049935
0.0,3,0.050046
0.0,41,0.051147
0.0,15,0.051828
0.0,144,0.055439
0.0,26,0.056092
0.0,142,0.059461
0.0,11,0.059762
0.0,100,0.062171
0.0,23,0.062747
0.0,75,0.064556
0.0,117,0.067348
0.0,21,0.067881
0.5,75,0.069708
0.0,97,0.072111
0.0,59,0.073531
0.0,69,0.075416
0.0,24,0.076014
0.0,55,0.077583
0.0,72,0.079339
0.0,105,0.081889
0.0,72,0.083627
0.0,130,0.086717
0.0,89,0.088914
0.0,102,0.091706
0.0,30,0.092441
1.0,247,0.098484
0.0,147,0.102321
0.0,185,0.106845
0.0,64,0.108448
0.0,156,0.112324
0.0,107,0.115033
0.0,102,0.117511
0.5,61,0.118979
0.0,341,0.12737
0.0,457,0.138598
0.0,69,0.140427
0.5,140,0.143845
0.0,426,0.154273
0.0,270,0.16083
0.0,308,0.168394
0.0,49,0.169607
1.0,196,0.174321
0.0,247,0.180712
0.0,191,0.185324
0.0,111,0.188011
1.0,91,0.19021
0.0,88,0.192375
0.0,332,0.200742
0.0,84,0.202926
0.0,81,0.204973
0.0,428,0.21538
0.0,9,0.21563
0.5,60,0.217092
0.0,245,0.223043
0.0,346,0.231536
0.0,86,0.233636
0.5,98,0.236047
0.0,250,0.242215
0.0,232,0.247859
0.0,174,0.252244
0.0,28,0.252971
1.0,75,0.254849
0.0,140,0.258166
0.0,79,0.260125
0.0,116,0.263061
0.0,18,0.263526
0.0,146,0.267137
0.0,166,0.271154
0.0,176,0.275632
1.0,104,0.278166
0.0,324,0.28601
0.0,5,0.286168
0.0,16,0.286588
1.0,213,0.291712
0.0,680,0.308352
0.0,254,0.314531
0.5,227,0.320214
0.0,115,0.323204
0.0,432,0.333983
0.0,540,0.346923
0.0,84,0.349272
1.0,200,0.354432
0.0,580,0.3682
0.0,142,0.371662
0.0,357,0.380499
0.0,242,0.386345
0.0,287,0.393554
0.0,84,0.395645
0.0,313,0.403374
1.0,134,0.406693
0.0,46,0.407876
0.0,65,0.409476
0.5,64,0.411072
1.0,98,0.413516
0.0,577,0.427701
0.0,150,0.431446
0.0,271,0.438063
0.0,140,0.4415
0.0,184,0.446113
0.0,89,0.448638
0.5,235,0.454372
1.0,250,0.460541
1.0,634,0.476352
0.0,31,0.477151
0.0,88,0.479288
0.0,358,0.488172
1.0,380,0.497611
0.0,229,0.503359
0.0,176,0.507829
1.0,724,0.525593
1.0,954,0.549935
0.0,384,0.559345
0.0,250,0.565563
0.0,118,0.568648
0.0,166,0.572945
0.0,317,0.580846
0.5,138,0.584264
1.0,200,0.589081
0.0,172,0.593357
0.0,146,0.597149
0.0,37,0.598084
0.0,30,0.598843
1.0,725,0.616381
0.0,44,0.617492
0.0,112,0.620374
1.0,184,0.625108
1.0,567,0.638972
0.0,136,0.642339
0.0,476,0.654199
0.0,165,0.658297
1.0,650,0.674339
0.0,56,0.675737
