episodes,steps,total reward
12,1000,0.0
22,2000,0.0
27,3000,0.0
34,4000,0.0
38,5000,0.0
45,6000,0.0
50,7000,0.0
54,8000,0.0
56,9000,0.0
60,10000,0.0
63,11000,0.0
64,12000,0.0
68,13000,0.0
70,14000,0.0
73,15000,0.0
76,16000,0.0
78,17000,0.0
83,18000,0.0
88,19000,0.0
89,20000,0.0
91,21000,0.0
95,22000,0.0
97,23000,0.0
99,24000,0.0
102,25000,0.0
103,26000,0.0
104,27000,0.0
109,28000,0.0
113,29000,0.0
119,30000,0.0
122,31000,0.0
125,32000,0.0
127,33000,0.0
131,34000,0.0
136,35000,0.0
138,36000,0.0
139,37000,0.0
141,38000,0.0
143,39000,0.0
148,40000,0.0
149,41000,0.0
150,42000,0.0
154,43000,0.0
157,44000,0.0
161,45000,0.0
163,46000,0.0
166,47000,0.0
169,48000,0.0
170,49000,0.0
173,50000,0.0
174,51000,0.0
175,52000,0.0
181,53000,0.0
187,54000,0.0
190,55000,0.0
193,56000,0.0
194,57000,0.0
198,58000,0.0
200,59000,0.0
205,60000,0.0
211,61000,0.0
213,62000,0.0
214,63000,0.0
215,64000,0.0
217,65000,0.0
221,66000,0.0
222,67000,0.0
224,68000,0.0
226,69000,0.0
229,70000,0.0
232,71000,0.0
236,72000,0.0
238,73000,0.0
242,74000,0.0
245,75000,0.0
252,76000,0.0
253,77000,0.0
258,78000,0.0
259,79000,0.0
263,80000,0.0
267,81000,0.0
269,82000,0.0
272,83000,0.0
275,84000,0.0
281,85000,0.0
284,86000,0.0
285,87000,0.0
287,88000,0.0
288,89000,0.0
291,90000,0.0
292,91000,0.0
294,92000,0.0
297,93000,0.0
300,94000,0.0
303,95000,0.0
306,96000,0.0
309,97000,0.0
312,98000,0.0
315,99000,0.0
318,100000,0.0
