# {"t_start": 1641556688.254226, "env_id": "Office-single-v0"} 
r,l,t
0.0,15,0.000774
0.0,36,0.00169
0.0,199,0.006714
0.0,58,0.008187
0.0,72,0.009935
0.0,168,0.015465
0.0,72,0.017254
0.0,12,0.017576
0.0,108,0.02048
0.0,13,0.02084
0.0,61,0.022305
0.0,21,0.022838
0.0,248,0.029221
0.0,192,0.033877
0.0,69,0.035544
0.0,427,0.046286
0.0,108,0.048937
0.0,187,0.053684
0.0,158,0.057491
0.0,32,0.058295
0.0,89,0.060452
0.0,93,0.062928
0.0,28,0.063735
0.0,55,0.065056
0.0,335,0.073181
0.0,84,0.075318
0.0,103,0.078161
0.0,240,0.084413
0.0,141,0.087873
0.0,129,0.091037
0.0,36,0.091997
0.0,114,0.094791
0.0,125,0.097841
0.0,42,0.098898
0.0,72,0.10079
0.0,66,0.102679
0.0,51,0.104005
0.0,30,0.104789
0.0,253,0.11118
0.0,245,0.117136
0.0,41,0.11816
0.0,30,0.118939
0.0,330,0.126982
0.0,313,0.134859
0.0,261,0.141294
0.0,47,0.14254
0.0,173,0.146875
0.0,293,0.154444
0.0,208,0.159575
0.0,226,0.165105
0.0,190,0.169912
0.0,303,0.177316
0.0,431,0.188536
0.0,135,0.1919
0.0,296,0.199219
0.0,557,0.213488
0.0,503,0.225951
0.0,248,0.23232
0.0,84,0.234383
0.0,68,0.236074
0.0,265,0.24249
0.0,40,0.243477
0.0,113,0.246511
0.0,311,0.254371
0.0,49,0.255642
0.0,140,0.259179
0.0,260,0.265783
0.0,117,0.268827
0.0,465,0.280495
0.0,179,0.285005
0.0,497,0.297296
0.0,527,0.310571
0.0,68,0.312341
0.0,1000,0.337189
0.0,72,0.338964
0.0,208,0.344016
0.0,229,0.349657
0.0,110,0.352422
0.0,187,0.357248
0.0,23,0.357845
0.0,371,0.366853
0.0,583,0.381521
0.0,298,0.389083
0.0,211,0.394401
0.0,252,0.400607
0.0,424,0.411379
0.0,90,0.41361
0.0,15,0.414044
0.0,609,0.429057
0.0,215,0.434619
0.0,68,0.436359
0.0,1000,0.461318
0.0,203,0.46631
0.0,3,0.466421
0.0,1000,0.491411
0.0,1000,0.516134
0.0,62,0.517678
0.0,253,0.524017
0.0,1000,0.548673
0.0,695,0.56603
0.0,82,0.568142
0.0,54,0.569484
0.0,110,0.572308
0.0,156,0.576105
0.0,474,0.588225
0.0,536,0.601429
0.0,56,0.602953
0.0,26,0.603821
0.0,451,0.615084
0.0,1000,0.639832
0.0,87,0.641996
0.0,222,0.647678
0.0,1000,0.672781
0.0,83,0.674857
0.0,38,0.675837
0.0,192,0.681009
0.0,196,0.685881
0.0,54,0.68725
0.0,190,0.692041
0.0,559,0.706089
0.0,208,0.711351
0.0,136,0.714725
0.0,86,0.716874
0.0,18,0.717343
0.0,178,0.721854
0.0,162,0.726158
0.0,150,0.730252
0.0,179,0.734723
0.0,12,0.73505
0.0,74,0.736902
0.0,95,0.739269
0.0,30,0.740099
0.0,179,0.744533
0.0,305,0.752265
0.0,352,0.761218
0.0,1000,0.786283
0.0,115,0.789127
0.0,134,0.792488
0.0,55,0.793875
0.0,231,0.799767
0.0,357,0.808932
0.0,129,0.812166
0.0,251,0.818439
0.0,374,0.827935
0.0,159,0.83212
0.0,232,0.837784
0.0,256,0.844262
0.0,715,0.86234
0.0,618,0.877733
0.0,196,0.882838
0.0,333,0.890989
0.0,224,0.896531
0.0,235,0.902319
0.0,169,0.906888
0.0,168,0.911015
0.0,18,0.911488
0.0,529,0.924564
0.0,538,0.938097
0.0,25,0.938746
0.0,252,0.944831
0.0,95,0.947136
0.0,370,0.95679
0.0,469,0.968248
0.0,287,0.975565
0.0,140,0.978973
0.0,1000,1.003541
0.0,1000,1.028532
0.0,82,1.030827
0.0,311,1.038445
0.0,1000,1.063309
0.0,838,1.084123
0.0,166,1.088286
0.0,212,1.093557
0.0,555,1.107521
0.0,1000,1.132212
0.0,546,1.145473
0.0,262,1.151972
0.0,1000,1.177243
0.0,196,1.182442
0.0,260,1.188972
0.0,1000,1.213956
0.0,123,1.217206
0.0,369,1.226188
0.0,1000,1.250856
0.0,194,1.256415
0.0,86,1.258537
0.0,94,1.26088
0.0,446,1.271928
0.0,1000,1.297026
0.0,936,1.320467
0.0,267,1.327009
0.0,129,1.3304
0.0,395,1.340075
0.0,247,1.346061
0.0,265,1.352764
0.0,219,1.358437
0.0,212,1.363668
0.0,701,1.380924
0.0,120,1.383902
0.0,442,1.394909
0.0,17,1.395363
0.0,1000,1.420296
0.0,171,1.42454
0.0,25,1.42518
0.0,165,1.429461
0.0,444,1.440659
0.0,252,1.447164
0.0,164,1.451164
0.0,301,1.458899
0.0,676,1.47549
0.0,537,1.488959
0.0,1000,1.513933
0.0,107,1.516561
0.0,1000,1.541414
0.0,1000,1.566328
0.0,1000,1.590992
0.0,1000,1.616054
0.0,1000,1.640718
0.0,1000,1.665531
0.0,54,1.666876
0.0,106,1.669483
0.0,137,1.672879
0.0,148,1.676593
0.0,1000,1.701602
0.0,57,1.703032
0.0,164,1.707391
0.0,729,1.725513
0.0,48,1.726717
0.0,1000,1.751671
0.0,12,1.752015
0.0,733,1.770277
0.0,446,1.781422
0.0,356,1.790334
0.0,938,1.81379
0.0,104,1.816362
0.0,703,1.833807
0.0,353,1.842713
0.0,773,1.86214
0.0,229,1.867852
