episodes,steps,total reward
41,1000,41.0
85,2000,44.0
320,3000,235.0
1031,4000,712.0
1836,5000,804.0
2433,6000,598.0
3254,7000,821.0
4075,8000,821.0
4963,9000,888.0
5832,10000,869.0
6684,11000,851.0
7589,12000,906.0
8479,13000,890.0
9358,14000,879.0
10229,15000,871.0
11114,16000,885.0
11952,17000,838.0
12835,18000,883.0
13725,19000,890.0
14590,20000,865.0
15459,21000,869.0
16319,22000,860.0
17202,23000,882.0
18059,24000,858.0
18938,25000,878.0
19829,26000,892.0
20692,27000,863.0
21590,28000,898.0
22475,29000,885.0
23342,30000,867.0
24226,31000,884.0
25097,32000,871.0
25992,33000,895.0
26875,34000,883.0
27745,35000,870.0
28632,36000,887.0
29526,37000,894.0
30394,38000,868.0
31277,39000,883.0
32151,40000,873.0
33031,41000,881.0
33885,42000,854.0
34776,43000,891.0
35660,44000,883.0
36534,45000,875.0
37405,46000,871.0
38259,47000,854.0
39138,48000,879.0
40034,49000,896.0
40917,50000,883.0
41799,51000,882.0
42685,52000,886.0
43555,53000,870.0
44417,54000,862.0
45295,55000,878.0
46160,56000,865.0
47023,57000,863.0
47899,58000,875.0
48769,59000,871.0
49644,60000,875.0
50523,61000,879.0
51394,62000,871.0
52257,63000,863.0
53137,64000,880.0
54014,65000,876.0
54861,66000,848.0
55737,67000,876.0
56571,68000,834.0
57424,69000,853.0
58303,70000,879.0
59178,71000,875.0
60047,72000,869.0
60902,73000,855.0
61776,74000,874.0
62635,75000,859.0
63514,76000,879.0
64406,77000,892.0
65298,78000,892.0
66174,79000,876.0
67051,80000,876.0
67928,81000,878.0
68812,82000,884.0
69673,83000,861.0
70565,84000,892.0
71473,85000,908.0
72341,86000,868.0
73249,87000,908.0
74140,88000,891.0
75022,89000,881.0
75890,90000,869.0
76763,91000,873.0
77634,92000,871.0
78506,93000,872.0
79398,94000,892.0
80278,95000,880.0
81145,96000,867.0
82033,97000,888.0
82902,98000,869.0
83804,99000,902.0
84693,100000,889.0
