# {"t_start": 1641565506.4753385, "env_id": "Office-single-v0"} 
r,l,t
0.0,91,0.002515
0.0,39,0.003567
0.0,66,0.005211
0.0,43,0.006287
0.0,241,0.012434
0.0,118,0.015732
0.0,3,0.015846
0.0,21,0.016387
0.0,110,0.019368
0.0,80,0.021489
0.0,121,0.024432
0.0,49,0.025625
0.0,39,0.026886
0.0,75,0.028759
0.0,88,0.030987
0.0,33,0.031814
0.0,60,0.033286
0.0,43,0.034335
0.0,33,0.035162
0.0,48,0.036346
0.0,82,0.038334
0.0,134,0.041549
0.0,38,0.042755
0.0,40,0.044035
0.0,117,0.047285
0.0,314,0.055715
0.0,281,0.062676
0.0,43,0.063738
0.0,24,0.064348
0.0,142,0.067887
0.0,147,0.071446
0.0,208,0.077843
0.0,488,0.08997
0.0,334,0.098213
0.0,36,0.099125
0.0,363,0.109472
0.0,189,0.114062
0.0,136,0.117549
0.0,343,0.12576
0.0,106,0.128411
0.0,75,0.130501
0.0,46,0.131628
0.0,446,0.142715
0.0,113,0.14541
0.0,51,0.146621
0.0,56,0.147949
0.0,187,0.152535
0.0,92,0.155158
0.0,258,0.161332
0.0,324,0.169284
0.0,84,0.17137
0.0,126,0.174338
0.0,424,0.185163
0.0,565,0.198994
0.0,90,0.201135
0.0,112,0.204201
0.0,21,0.204722
0.0,204,0.209651
0.0,273,0.216609
0.0,109,0.219239
0.0,297,0.226428
0.0,78,0.228446
0.0,168,0.232655
0.0,178,0.237214
0.0,382,0.246554
0.0,135,0.24983
0.0,291,0.257084
0.0,304,0.264591
0.0,179,0.268873
0.0,574,0.283257
0.0,25,0.283902
0.0,147,0.287453
0.0,316,0.295187
0.0,127,0.298563
0.0,569,0.312488
0.0,1000,0.337096
0.0,167,0.341167
0.0,1000,0.365853
0.0,60,0.367413
0.0,3,0.367521
0.0,53,0.368809
0.0,87,0.37091
0.0,318,0.378722
0.0,295,0.385921
0.0,285,0.392878
0.0,797,0.412623
0.0,72,0.414415
0.0,460,0.425848
0.0,171,0.430478
0.0,174,0.434751
0.0,54,0.436072
0.0,557,0.449437
0.0,161,0.453536
0.0,215,0.459101
0.0,37,0.460135
