episodes,steps,total reward
14,1000,0.0
24,2000,0.0
31,3000,0.0
37,4000,0.0
43,5000,0.0
48,6000,0.0
50,7000,0.0
56,8000,0.0
58,9000,0.0
62,10000,0.0
63,11000,0.0
64,12000,0.0
69,13000,0.0
72,14000,0.0
76,15000,0.0
79,16000,0.0
84,17000,0.0
88,18000,0.0
94,19000,0.0
96,20000,0.0
100,21000,0.0
101,22000,0.0
102,23000,0.0
104,24000,0.0
108,25000,0.0
110,26000,0.0
112,27000,0.0
113,28000,0.0
117,29000,0.0
121,30000,0.0
122,31000,0.0
129,32000,0.0
131,33000,0.0
134,34000,0.0
137,35000,0.0
140,36000,0.0
141,37000,0.0
144,38000,0.0
149,39000,0.0
150,40000,0.0
152,41000,0.0
153,42000,0.0
155,43000,0.0
156,44000,0.0
157,45000,0.0
159,46000,0.0
160,47000,0.0
165,48000,0.0
170,49000,0.0
173,50000,0.0
176,51000,0.0
181,52000,0.0
185,53000,0.0
187,54000,0.0
191,55000,0.0
194,56000,0.0
197,57000,0.0
199,58000,0.0
200,59000,0.0
207,60000,0.0
208,61000,0.0
210,62000,0.0
212,63000,0.0
215,64000,0.0
217,65000,0.0
219,66000,0.0
221,67000,0.0
223,68000,0.0
228,69000,0.0
230,70000,0.0
235,71000,0.0
236,72000,0.0
238,73000,0.0
240,74000,0.0
242,75000,0.0
243,76000,0.0
246,77000,0.0
250,78000,0.0
253,79000,0.0
256,80000,0.0
257,81000,0.0
261,82000,0.0
262,83000,0.0
264,84000,0.0
268,85000,0.0
270,86000,0.0
271,87000,0.0
272,88000,0.0
278,89000,0.0
279,90000,0.0
282,91000,0.0
285,92000,0.0
286,93000,0.0
289,94000,0.0
293,95000,0.0
294,96000,0.0
297,97000,0.0
301,98000,0.0
304,99000,0.0
306,100000,0.0
