episodes,steps,total reward
22,1000,2.0
35,2000,1.0
39,3000,1.0
57,4000,4.0
69,5000,1.0
84,6000,4.0
95,7000,3.0
102,8000,3.0
111,9000,5.0
119,10000,2.0
127,11000,2.0
131,12000,2.0
149,13000,8.0
165,14000,11.0
170,15000,3.0
179,16000,5.0
189,17000,6.0
203,18000,11.0
219,19000,9.0
235,20000,9.0
266,21000,16.0
279,22000,10.0
291,23000,9.0
307,24000,9.0
331,25000,17.0
347,26000,9.0
367,27000,13.0
379,28000,7.0
391,29000,7.0
399,30000,6.0
415,31000,11.0
433,32000,10.0
466,33000,20.0
483,34000,10.0
507,35000,17.0
519,36000,9.0
527,37000,4.0
545,38000,12.0
571,39000,19.0
608,40000,33.0
643,41000,26.0
657,42000,10.0
702,43000,33.0
747,44000,33.0
789,45000,32.0
831,46000,31.0
873,47000,32.0
913,48000,33.0
955,49000,32.0
1002,50000,33.0
1043,51000,34.0
1086,52000,35.0
1127,53000,31.0
1171,54000,35.0
1211,55000,34.0
1255,56000,34.0
1295,57000,35.0
1339,58000,33.0
1381,59000,36.0
1423,60000,31.0
1467,61000,32.0
1515,62000,33.0
1554,63000,33.0
1595,64000,31.0
1635,65000,35.0
1676,66000,34.0
1717,67000,31.0
1765,68000,33.0
1807,69000,33.0
1851,70000,33.0
1896,71000,33.0
1937,72000,35.0
1978,73000,33.0
2018,74000,35.0
2062,75000,35.0
2105,76000,34.0
2150,77000,34.0
2192,78000,31.0
2235,79000,30.0
2275,80000,37.0
2318,81000,32.0
2359,82000,33.0
2402,83000,33.0
2443,84000,28.0
2486,85000,34.0
2527,86000,31.0
2570,87000,32.0
2619,88000,31.0
2660,89000,33.0
2699,90000,33.0
2743,91000,34.0
2786,92000,35.0
2828,93000,34.0
2869,94000,34.0
2910,95000,35.0
2951,96000,33.0
2991,97000,32.0
3031,98000,33.0
3073,99000,34.0
3121,100000,34.0
