episodes,steps,total reward
21,1000,0.0
29,2000,0.0
32,3000,0.0
34,4000,0.0
40,5000,0.0
49,6000,0.0
61,7000,0.0
66,8000,0.0
71,9000,0.0
80,10000,0.0
87,11000,0.0
92,12000,0.0
95,13000,0.0
98,14000,0.0
100,15000,0.0
108,16000,0.0
117,17000,0.0
126,18000,0.0
134,19000,0.0
139,20000,0.0
142,21000,1.0
149,22000,0.0
154,23000,0.0
165,24000,0.0
174,25000,1.0
178,26000,0.0
187,27000,0.0
192,28000,0.0
196,29000,0.0
205,30000,2.0
207,31000,0.0
211,32000,1.0
222,33000,7.0
239,34000,10.0
266,35000,21.0
290,36000,11.0
321,37000,19.0
352,38000,18.0
381,39000,18.0
413,40000,18.0
443,41000,19.0
469,42000,21.0
498,43000,18.0
524,44000,20.0
554,45000,18.0
582,46000,19.0
611,47000,21.0
638,48000,19.0
664,49000,21.0
694,50000,17.0
721,51000,18.0
749,52000,18.0
780,53000,20.0
809,54000,20.0
835,55000,20.0
863,56000,19.0
889,57000,20.0
922,58000,18.0
951,59000,19.0
978,60000,20.0
1008,61000,21.0
1038,62000,20.0
1066,63000,18.0
1092,64000,21.0
1117,65000,20.0
1145,66000,19.0
1173,67000,20.0
1203,68000,15.0
1230,69000,20.0
1261,70000,23.0
1291,71000,19.0
1324,72000,19.0
1355,73000,18.0
1386,74000,20.0
1416,75000,20.0
1448,76000,18.0
1479,77000,18.0
1513,78000,16.0
1538,79000,20.0
1563,80000,19.0
1593,81000,22.0
1623,82000,16.0
1650,83000,22.0
1676,84000,20.0
1703,85000,19.0
1731,86000,17.0
1759,87000,19.0
1788,88000,21.0
1817,89000,18.0
1845,90000,17.0
1877,91000,17.0
1907,92000,19.0
1934,93000,19.0
1962,94000,18.0
1993,95000,20.0
2019,96000,19.0
2048,97000,18.0
2078,98000,18.0
2106,99000,18.0
2133,100000,19.0
