# {"t_start": 1641371971.7866652, "env_id": "Office-single-v0"} 
r,l,t
0.0,2,0.000667
0.0,7,0.001952
0.0,62,0.013375
0.0,5,0.014334
0.0,54,0.023805
0.0,31,0.02928
0.0,2,0.029652
0.0,68,0.041811
0.0,27,0.047074
0.0,17,0.050008
0.0,17,0.052953
0.0,124,0.074657
0.0,103,0.092908
0.0,45,0.100652
0.0,42,0.10789
0.0,58,0.117841
0.0,106,0.136262
0.0,67,0.147731
0.0,44,0.155366
0.0,71,0.167662
0.0,105,0.186539
0.0,67,0.198847
0.0,90,0.214771
0.0,322,0.271644
0.0,157,0.299232
0.0,63,0.310312
0.0,136,0.334115
0.0,13,0.336432
0.0,541,0.433061
0.0,601,0.540163
0.0,43,0.548256
0.0,144,0.574224
0.0,21,0.57797
0.0,256,0.623186
0.0,59,0.633611
0.0,607,0.743327
0.0,24,0.747772
0.0,416,0.821238
0.0,81,0.835454
0.0,19,0.838842
0.0,469,0.92288
0.0,18,0.926168
0.0,29,0.93136
0.0,112,0.951145
0.0,216,0.989267
0.0,247,1.032888
0.0,31,1.038359
0.0,22,1.042258
0.0,37,1.048802
0.0,29,1.053926
0.0,198,1.089607
0.0,43,1.097368
0.0,127,1.119913
0.0,70,1.13225
0.0,238,1.174576
0.0,18,1.177862
0.0,77,1.191683
0.0,153,1.219124
0.0,110,1.239509
0.0,228,1.280944
0.0,13,1.283349
0.0,49,1.292165
0.0,202,1.327933
0.0,39,1.334842
0.0,233,1.376012
0.0,14,1.378551
0.0,8,1.379995
0.0,164,1.409004
0.0,12,1.411155
0.0,31,1.416666
0.0,44,1.42446
0.0,95,1.442151
0.0,411,1.515996
0.0,107,1.534865
0.0,55,1.544583
0.0,5,1.545496
0.0,243,1.58841
0.0,106,1.607618
0.0,269,1.656405
0.0,224,1.697481
0.0,160,1.726466
0.0,104,1.744951
0.0,42,1.752358
0.0,157,1.780145
0.0,146,1.806763
0.0,107,1.826313
0.0,40,1.833498
0.0,25,1.837955
0.0,29,1.84309
0.0,268,1.890737
0.0,21,1.89453
0.0,323,1.951632
0.0,51,1.960668
0.0,174,1.992297
0.0,453,2.072986
0.0,11,2.074958
0.0,65,2.086553
0.0,214,2.124394
0.0,70,2.136777
0.0,141,2.162407
0.0,1000,2.34239
0.0,442,2.421275
0.0,100,2.438969
0.0,231,2.479625
0.0,11,2.481635
0.0,215,2.52025
0.0,48,2.528921
0.0,2,2.529308
0.0,42,2.537123
0.0,190,2.570745
0.0,51,2.579787
0.0,167,2.60923
0.0,310,2.663862
0.0,52,2.673299
0.0,766,2.811056
0.0,19,2.81444
0.0,521,2.907705
0.0,162,2.936728
0.0,46,2.945186
0.0,43,2.952938
0.0,5,2.953907
0.0,231,2.994704
0.0,51,3.003756
0.0,610,3.113177
0.0,46,3.121305
0.0,219,3.159945
0.0,77,3.173741
0.0,301,3.2283
0.0,54,3.237924
0.0,6,3.239015
0.0,259,3.28551
0.0,97,3.302764
0.0,69,3.314961
0.0,76,3.32838
0.0,141,3.353343
0.0,383,3.422003
0.0,302,3.475905
0.0,65,3.487445
0.0,55,3.497142
0.0,276,3.546163
0.0,478,3.6333
0.0,8,3.634767
0.0,636,3.749449
0.0,28,3.754668
0.0,14,3.757195
0.0,66,3.769416
0.0,2,3.769806
0.0,42,3.777326
0.0,229,3.818833
0.0,723,3.948272
0.0,49,3.957031
0.0,128,3.980125
0.0,62,3.991405
0.0,374,4.058178
0.0,139,4.082803
0.0,83,4.097579
0.0,56,4.107499
0.0,96,4.124992
0.0,51,4.13405
0.0,331,4.194234
0.0,16,4.197141
0.0,563,4.298084
0.0,105,4.317253
0.0,458,4.399278
0.0,66,4.41092
0.0,65,4.422327
0.0,17,4.425414
0.0,951,4.595253
0.0,64,4.60655
0.0,539,4.703922
0.0,150,4.731089
0.0,56,4.741262
0.0,263,4.787896
