episodes,steps,total reward
24,1000,0.0
32,2000,0.0
36,3000,0.0
40,4000,0.0
47,5000,0.0
51,6000,0.0
57,7000,0.0
60,8000,0.0
66,9000,0.0
68,10000,0.0
75,11000,0.0
84,12000,0.0
92,13000,0.0
95,14000,0.0
98,15000,0.0
102,16000,0.0
111,17000,0.0
119,18000,0.0
124,19000,0.0
127,20000,0.0
132,21000,0.0
142,22000,0.0
149,23000,0.0
156,24000,0.0
158,25000,0.0
159,26000,0.0
163,27000,0.0
168,28000,0.0
176,29000,0.0
190,30000,0.0
197,31000,0.0
202,32000,0.0
204,33000,0.0
210,34000,0.0
213,35000,0.0
223,36000,1.0
224,37000,0.0
228,38000,1.0
235,39000,0.0
242,40000,0.0
246,41000,0.0
252,42000,0.0
260,43000,0.0
268,44000,0.0
275,45000,0.0
282,46000,0.0
284,47000,0.0
293,48000,0.0
300,49000,0.0
310,50000,0.0
318,51000,0.0
324,52000,2.0
333,53000,0.0
342,54000,1.0
345,55000,0.0
352,56000,2.0
363,57000,1.0
383,58000,10.0
400,59000,10.0
416,60000,9.0
435,61000,11.0
451,62000,10.0
466,63000,12.0
482,64000,12.0
497,65000,10.0
521,66000,8.0
536,67000,11.0
554,68000,9.0
571,69000,10.0
591,70000,7.0
610,71000,11.0
626,72000,13.0
644,73000,10.0
660,74000,11.0
680,75000,9.0
699,76000,10.0
716,77000,9.0
740,78000,10.0
757,79000,11.0
776,80000,8.0
795,81000,9.0
813,82000,10.0
830,83000,9.0
853,84000,9.0
871,85000,10.0
890,86000,11.0
910,87000,9.0
931,88000,7.0
949,89000,9.0
971,90000,9.0
989,91000,12.0
1007,92000,9.0
1025,93000,12.0
1044,94000,7.0
1064,95000,10.0
1085,96000,8.0
1105,97000,8.0
1123,98000,10.0
1147,99000,7.0
1165,100000,10.0
