# {"t_start": 1641522426.6997552, "env_id": "Office-single-v0"} 
r,l,t
0.5,42,0.005054
0.5,21,0.007273
0.0,10,0.00834
0.5,54,0.014161
0.5,47,0.019243
0.0,17,0.021484
0.0,12,0.022764
0.0,46,0.027899
0.5,41,0.032082
0.0,36,0.035875
0.0,24,0.038313
0.0,14,0.039751
0.0,79,0.047849
0.0,90,0.056947
0.5,72,0.064157
0.0,37,0.067899
0.0,22,0.070122
0.0,73,0.077605
0.5,45,0.082144
0.5,156,0.097842
0.0,118,0.109916
0.0,8,0.110896
0.0,80,0.119547
0.0,90,0.129056
0.0,25,0.132015
0.0,61,0.138191
0.5,16,0.13978
0.5,35,0.143269
0.0,261,0.170667
0.0,74,0.178056
0.0,144,0.192531
0.5,18,0.19439
0.5,155,0.210124
0.0,43,0.214547
0.0,20,0.216563
0.0,18,0.218586
0.0,69,0.226221
0.5,47,0.231282
0.0,230,0.255852
0.0,283,0.284224
0.0,25,0.28671
0.0,115,0.29814
0.5,18,0.300072
0.5,57,0.305941
0.0,15,0.307457
0.0,157,0.323628
0.0,45,0.328129
0.5,10,0.329145
0.0,242,0.354883
0.0,5,0.355438
0.5,6,0.356081
0.0,26,0.359255
0.0,10,0.360423
0.5,45,0.364881
0.0,87,0.373871
0.0,70,0.381015
0.0,86,0.389679
0.5,19,0.391579
0.0,421,0.43459
0.5,27,0.437626
0.0,5,0.438158
0.0,6,0.438778
0.0,723,0.512494
0.0,106,0.523406
0.0,61,0.529778
0.5,29,0.532655
0.5,41,0.53672
0.0,245,0.563369
0.0,194,0.582832
0.0,89,0.591636
0.0,2,0.591863
0.0,31,0.594925
0.5,55,0.60054
0.0,16,0.602324
0.0,225,0.625791
0.0,47,0.630527
0.0,378,0.670559
0.5,14,0.671972
0.0,77,0.680251
0.5,19,0.68217
0.5,7,0.682892
0.0,169,0.69989
0.0,105,0.71048
0.5,17,0.71228
0.5,14,0.713697
0.5,29,0.716785
0.5,9,0.717743
0.0,61,0.723869
0.0,135,0.738801
0.5,8,0.739637
0.5,7,0.740361
0.5,7,0.741081
0.5,4,0.741503
0.0,229,0.766229
0.0,487,0.814867
0.0,220,0.837131
0.5,8,0.837954
0.0,30,0.841157
0.5,8,0.841978
0.5,6,0.842603
0.5,10,0.843624
0.5,6,0.844244
0.5,11,0.845355
0.0,148,0.861117
0.5,4,0.86155
0.5,4,0.861977
0.5,4,0.862458
0.5,7,0.863219
0.5,4,0.863638
0.5,4,0.864058
0.5,4,0.864478
0.5,4,0.8649
0.5,6,0.865518
0.5,4,0.865939
0.5,4,0.866482
0.5,4,0.86697
0.5,8,0.867976
0.5,20,0.870131
0.5,4,0.87059
0.5,4,0.871372
0.5,6,0.872025
0.5,4,0.872505
0.5,6,0.873162
0.5,4,0.873584
0.5,4,0.874007
0.5,4,0.874438
0.5,6,0.875058
0.5,19,0.876959
0.5,4,0.877382
0.5,4,0.877805
0.5,9,0.87926
0.5,4,0.879686
0.5,4,0.880111
0.5,4,0.880533
0.5,4,0.880956
0.5,6,0.881571
0.5,4,0.881992
0.5,4,0.882456
0.5,4,0.882877
0.5,6,0.883493
0.5,6,0.884112
0.5,6,0.884742
0.5,4,0.885163
0.5,8,0.886082
0.5,4,0.886525
0.5,4,0.886948
0.5,4,0.887369
0.5,6,0.887982
0.5,4,0.888404
0.5,8,0.889218
0.5,4,0.889637
0.5,4,0.890062
0.5,4,0.890483
0.0,466,0.937273
0.5,6,0.937903
0.5,4,0.938362
0.5,4,0.938783
0.5,4,0.939202
0.5,6,0.939812
0.5,6,0.94046
0.5,4,0.940881
0.5,4,0.941299
0.5,4,0.941716
0.5,6,0.942445
0.5,4,0.942948
0.5,4,0.943461
0.5,4,0.943886
0.5,4,0.944309
0.5,4,0.944729
0.5,4,0.945152
0.5,4,0.945573
0.5,6,0.946192
0.5,4,0.946619
0.5,4,0.947037
0.5,6,0.947673
0.5,4,0.948108
0.5,4,0.948526
0.5,4,0.948947
0.5,4,0.949401
