episodes,steps,total reward
20,1000,4.0
32,2000,1.5
45,3000,2.0
58,4000,2.0
63,5000,0.5
74,6000,1.5
88,7000,3.5
95,8000,2.0
153,9000,27.5
255,10000,48.5
465,11000,104.0
477,12000,6.0
682,13000,101.5
863,14000,90.0
1079,15000,108.0
1292,16000,106.5
1509,17000,108.5
1727,18000,109.0
1941,19000,106.5
2154,20000,106.5
2372,21000,109.0
2590,22000,109.0
2807,23000,108.5
3026,24000,109.5
3245,25000,109.5
3456,26000,105.5
3674,27000,109.0
3889,28000,107.5
4106,29000,108.5
4324,30000,108.5
4541,31000,108.5
4752,32000,106.0
4965,33000,106.0
5182,34000,108.5
5403,35000,110.5
5619,36000,108.0
5835,37000,108.0
6054,38000,109.0
6272,39000,109.0
6490,40000,108.5
6704,41000,106.5
6922,42000,109.0
7138,43000,107.5
7351,44000,106.5
7572,45000,110.5
7793,46000,110.5
8012,47000,109.0
8226,48000,107.5
8441,49000,107.0
8663,50000,111.0
8881,51000,109.0
9104,52000,112.0
9311,53000,103.0
9526,54000,107.0
9744,55000,109.5
9962,56000,108.0
10176,57000,107.5
10397,58000,109.5
10610,59000,106.5
10837,60000,113.5
11051,61000,106.5
11265,62000,107.0
11481,63000,108.0
11700,64000,109.5
11917,65000,108.5
12133,66000,108.0
12343,67000,105.0
12565,68000,111.5
12786,69000,110.0
13001,70000,107.5
13214,71000,106.5
13420,72000,102.5
13605,73000,92.5
13818,74000,105.5
14034,75000,107.0
14253,76000,109.5
14465,77000,106.0
14677,78000,106.0
14896,79000,109.0
15109,80000,106.5
15332,81000,111.5
15550,82000,109.0
15764,83000,107.5
15978,84000,106.5
16199,85000,110.0
16414,86000,107.5
16629,87000,108.0
16846,88000,107.5
17065,89000,109.5
17284,90000,109.5
17495,91000,105.5
17714,92000,108.5
17932,93000,109.0
18143,94000,106.0
18364,95000,110.0
18583,96000,109.5
18795,97000,106.0
19012,98000,108.5
19229,99000,108.5
19446,100000,108.5
