episodes,steps,total reward
20,1000,1.0
32,2000,1.5
42,3000,2.0
58,4000,4.0
71,5000,6.5
86,6000,7.0
98,7000,7.5
111,8000,6.5
125,9000,9.5
149,10000,13.0
170,11000,12.5
194,12000,14.0
218,13000,15.0
258,14000,24.0
290,15000,23.0
326,16000,23.5
373,17000,36.0
442,18000,49.5
505,19000,48.0
565,20000,45.5
626,21000,42.5
688,22000,48.0
749,23000,45.5
814,24000,48.0
876,25000,46.0
936,26000,48.5
997,27000,47.5
1059,28000,49.0
1123,29000,47.5
1189,30000,46.5
1252,31000,46.0
1321,32000,49.5
1382,33000,47.5
1447,34000,47.0
1509,35000,52.0
1569,36000,48.5
1630,37000,48.5
1693,38000,48.0
1754,39000,45.5
1817,40000,47.0
1884,41000,46.5
1945,42000,47.5
2004,43000,46.5
2066,44000,48.5
2133,45000,50.5
2198,46000,48.0
2262,47000,47.0
2325,48000,48.0
2387,49000,49.5
2449,50000,49.0
2514,51000,46.0
2578,52000,47.0
2638,53000,47.5
2702,54000,49.0
2765,55000,45.0
2826,56000,47.5
2890,57000,47.0
2953,58000,50.0
3015,59000,49.0
3080,60000,48.5
3138,61000,48.0
3200,62000,49.0
3262,63000,48.5
3321,64000,49.5
3385,65000,47.0
3450,66000,49.0
3512,67000,50.0
3574,68000,48.5
3641,69000,46.5
3706,70000,48.0
3765,71000,46.5
3833,72000,48.5
3897,73000,50.0
3956,74000,48.5
4014,75000,48.0
4076,76000,46.0
4141,77000,47.0
4204,78000,47.0
4269,79000,46.0
4329,80000,46.5
4396,81000,45.5
4458,82000,46.5
4525,83000,48.5
4593,84000,46.5
4658,85000,45.0
4718,86000,49.5
4780,87000,48.0
4846,88000,48.0
4909,89000,49.0
4970,90000,48.5
5037,91000,49.5
5097,92000,48.5
5165,93000,44.5
5229,94000,49.0
5293,95000,47.0
5357,96000,47.0
5420,97000,50.0
5481,98000,48.5
5546,99000,48.0
5610,100000,47.0
