# {"t_start": 1641530514.7054994, "env_id": "Office-v0"} 
r,l,t
0.0,6,0.00236
0.0,28,0.011536
0.0,8,0.014803
0.5,33,0.025802
0.0,24,0.033828
0.0,41,0.047102
0.0,49,0.063335
0.0,31,0.0734
0.0,74,0.097608
0.0,55,0.115337
0.0,84,0.142509
0.0,14,0.147126
0.0,37,0.159198
0.0,58,0.178086
0.0,69,0.200277
0.0,51,0.217214
1.0,76,0.241714
0.0,14,0.246244
0.0,114,0.283053
0.0,52,0.30021
1.0,51,0.316855
0.0,103,0.350953
0.0,117,0.38946
0.0,107,0.424455
0.0,92,0.454621
0.0,75,0.478791
0.0,41,0.49204
0.5,21,0.498813
0.0,100,0.531419
0.0,38,0.544036
0.0,8,0.546662
0.0,96,0.57767
1.0,69,0.599878
0.0,136,0.643961
0.0,23,0.651412
0.0,83,0.678995
1.0,43,0.693373
0.0,113,0.730254
0.0,54,0.747755
0.0,78,0.772904
0.0,6,0.77486
1.0,223,0.84825
0.0,61,0.868121
0.0,570,1.05639
1.0,76,1.081108
1.0,319,1.185396
0.0,90,1.214831
0.0,146,1.262276
0.0,38,1.274688
0.0,182,1.335118
1.0,209,1.403893
0.0,11,1.407509
1.0,43,1.421898
1.0,265,1.508601
1.0,396,1.639228
0.5,27,1.648072
1.0,36,1.660378
0.0,153,1.711196
0.0,31,1.721384
0.5,6,1.723366
1.0,38,1.735881
0.0,132,1.778978
1.0,566,1.964875
0.5,29,1.974665
1.0,20,1.981589
0.0,18,1.987553
0.0,9,1.990512
0.5,9,1.993464
1.0,18,1.9995
0.0,34,2.011091
0.0,83,2.038926
0.5,7,2.041243
1.0,16,2.046484
1.0,200,2.111789
0.0,77,2.137063
0.5,45,2.151913
1.0,18,2.157817
0.0,196,2.221843
0.0,117,2.260689
0.5,6,2.262671
0.0,7,2.265057
0.0,59,2.284418
0.0,41,2.298141
0.5,4,2.299719
1.0,11,2.303476
1.0,196,2.369035
1.0,281,2.46098
0.5,6,2.462966
1.0,12,2.466901
0.0,41,2.48031
0.0,129,2.522993
0.5,14,2.52759
1.0,11,2.531268
0.0,16,2.536752
1.0,285,2.630628
0.5,14,2.635897
1.0,11,2.639584
0.0,100,2.673685
1.0,396,2.804345
0.5,4,2.805674
1.0,11,2.809278
1.0,46,2.824566
0.0,70,2.847363
0.5,4,2.848768
1.0,15,2.854056
0.0,35,2.865677
1.0,175,2.923042
0.5,4,2.92438
1.0,13,2.928641
1.0,64,2.949636
1.0,177,3.008848
0.5,4,3.010176
1.0,14,3.014741
1.0,176,3.072721
0.0,34,3.083866
0.5,4,3.085197
1.0,11,3.088809
1.0,120,3.128173
0.0,44,3.142836
0.5,4,3.144163
1.0,11,3.147872
1.0,120,3.188008
1.0,133,3.23248
0.5,4,3.233844
1.0,11,3.237519
1.0,44,3.252431
0.0,136,3.297836
