# {"t_start": 1641353725.2889514, "env_id": "Office-single-v0"} 
r,l,t
1.0,7,0.000729
1.0,1,0.000845
1.0,4,0.001121
1.0,1,0.001219
1.0,5,0.001545
1.0,1,0.001642
1.0,1,0.001736
1.0,1,0.001829
1.0,1,0.001921
1.0,4,0.002183
1.0,1,0.002277
1.0,1,0.002369
1.0,1,0.002462
1.0,1,0.002553
1.0,1,0.002646
1.0,1,0.002738
1.0,1,0.002831
1.0,1,0.002923
1.0,1,0.003022
1.0,1,0.003117
1.0,1,0.003208
1.0,1,0.003299
1.0,1,0.003391
1.0,1,0.003482
1.0,1,0.003575
1.0,1,0.003666
1.0,1,0.003758
1.0,1,0.003849
1.0,1,0.003941
1.0,1,0.004033
1.0,1,0.004124
1.0,1,0.004215
1.0,1,0.004306
1.0,1,0.004397
1.0,1,0.004488
1.0,1,0.004579
1.0,1,0.00467
1.0,1,0.004763
1.0,1,0.004869
1.0,1,0.004965
1.0,1,0.005056
1.0,1,0.005147
1.0,1,0.005238
1.0,1,0.005328
1.0,1,0.005419
1.0,1,0.005511
1.0,1,0.005602
1.0,1,0.005693
1.0,1,0.005785
1.0,1,0.005877
1.0,1,0.005969
1.0,1,0.00606
1.0,1,0.006152
1.0,3,0.006356
1.0,1,0.006449
1.0,1,0.006542
1.0,1,0.006634
1.0,1,0.006726
1.0,1,0.006818
1.0,1,0.006913
1.0,1,0.007004
1.0,1,0.007096
1.0,1,0.007188
1.0,1,0.007279
1.0,1,0.007434
1.0,1,0.007532
1.0,1,0.007624
1.0,1,0.007716
1.0,1,0.007808
1.0,1,0.0079
1.0,1,0.007991
1.0,1,0.008083
1.0,1,0.008175
1.0,1,0.008268
1.0,1,0.008355
1.0,1,0.008446
1.0,1,0.008538
1.0,1,0.00863
1.0,1,0.008722
1.0,1,0.008818
1.0,1,0.008919
1.0,8,0.009408
1.0,1,0.009504
1.0,7,0.009931
1.0,6,0.010318
1.0,1,0.010424
1.0,1,0.010508
1.0,1,0.010612
1.0,1,0.010709
1.0,1,0.010807
1.0,1,0.010893
1.0,1,0.010999
1.0,1,0.011115
1.0,1,0.011223
1.0,1,0.01133
1.0,1,0.011437
1.0,1,0.011544
1.0,1,0.01165
1.0,1,0.011756
1.0,5,0.012132
1.0,1,0.012241
1.0,1,0.012349
1.0,1,0.012456
1.0,1,0.012563
1.0,1,0.012669
1.0,1,0.012774
1.0,1,0.012888
1.0,1,0.012999
1.0,1,0.013108
1.0,1,0.013217
1.0,1,0.013326
1.0,1,0.013432
1.0,1,0.013538
1.0,1,0.013643
1.0,1,0.013749
1.0,1,0.01385
1.0,1,0.013956
1.0,1,0.014062
1.0,1,0.014168
1.0,1,0.014274
1.0,1,0.014379
1.0,1,0.014484
1.0,1,0.014591
1.0,1,0.014697
1.0,1,0.014802
1.0,1,0.014907
1.0,1,0.015012
1.0,1,0.015119
1.0,1,0.015225
1.0,3,0.015533
