episodes,steps,total reward
21,1000,0.0
29,2000,0.0
32,3000,0.0
40,4000,0.0
43,5000,0.0
52,6000,0.0
64,7000,2.0
69,8000,1.0
72,9000,0.0
77,10000,0.0
87,11000,2.0
93,12000,1.0
102,13000,4.0
152,14000,39.0
191,15000,32.0
248,16000,49.0
307,17000,46.0
364,18000,50.0
423,19000,48.0
480,20000,45.0
535,21000,45.0
591,22000,49.0
649,23000,48.0
703,24000,51.0
759,25000,49.0
815,26000,48.0
871,27000,49.0
928,28000,48.0
988,29000,46.0
1038,30000,42.0
1082,31000,39.0
1142,32000,46.0
1199,33000,47.0
1254,34000,51.0
1313,35000,48.0
1370,36000,48.0
1423,37000,49.0
1483,38000,48.0
1536,39000,49.0
1593,40000,50.0
1650,41000,48.0
1707,42000,50.0
1765,43000,48.0
1826,44000,44.0
1880,45000,48.0
1935,46000,49.0
1992,47000,47.0
2050,48000,47.0
2107,49000,48.0
2162,50000,50.0
2222,51000,48.0
2281,52000,46.0
2340,53000,49.0
2396,54000,48.0
2455,55000,51.0
2510,56000,48.0
2562,57000,49.0
2619,58000,50.0
2675,59000,48.0
2730,60000,49.0
2786,61000,49.0
2844,62000,49.0
2900,63000,49.0
2955,64000,47.0
3012,65000,49.0
3068,66000,47.0
3125,67000,47.0
3183,68000,48.0
3240,69000,46.0
3296,70000,48.0
3354,71000,47.0
3411,72000,49.0
3467,73000,49.0
3522,74000,49.0
3578,75000,48.0
3635,76000,50.0
3692,77000,48.0
3748,78000,51.0
3802,79000,51.0
3863,80000,45.0
3921,81000,49.0
3980,82000,49.0
4040,83000,47.0
4097,84000,48.0
4154,85000,50.0
4216,86000,42.0
4270,87000,49.0
4325,88000,49.0
4383,89000,50.0
4440,90000,47.0
4501,91000,48.0
4559,92000,45.0
4615,93000,48.0
4672,94000,49.0
4731,95000,50.0
4787,96000,48.0
4843,97000,50.0
4900,98000,48.0
4956,99000,47.0
5015,100000,49.0
