# {"t_start": 1641613162.0922701, "env_id": "Office-v0"} 
r,l,t
0.0,13,0.003568
0.0,47,0.014737
0.0,8,0.016713
0.0,8,0.018863
0.0,45,0.029806
0.0,28,0.036286
0.0,41,0.045746
0.0,12,0.048617
0.0,26,0.054827
0.0,49,0.066156
0.0,55,0.078948
0.0,41,0.088521
0.0,67,0.104121
0.0,70,0.120591
0.0,2,0.121094
0.0,121,0.149782
0.0,6,0.151218
0.0,49,0.16281
0.0,52,0.175322
0.0,21,0.180294
0.0,141,0.213689
0.0,12,0.216532
0.0,20,0.221261
0.0,57,0.234689
1.0,55,0.248494
0.0,59,0.262821
0.0,59,0.277066
0.0,17,0.28113
0.0,73,0.298856
0.0,47,0.309941
0.0,57,0.323513
0.0,22,0.328702
0.0,40,0.338176
0.0,73,0.355507
0.0,97,0.378352
0.0,176,0.420112
0.0,26,0.426331
0.0,4,0.427298
0.0,10,0.429718
0.0,77,0.44787
0.0,96,0.470479
0.0,14,0.473823
0.0,6,0.475248
0.0,203,0.524146
0.0,89,0.545254
1.0,173,0.585996
0.0,208,0.635828
0.0,66,0.651517
1.0,31,0.659156
0.0,95,0.681605
0.0,8,0.683526
0.0,35,0.691828
1.0,50,0.703604
1.0,153,0.740335
0.0,27,0.747116
0.0,117,0.775455
1.0,20,0.780891
1.0,97,0.803867
0.0,29,0.810795
0.0,24,0.816471
1.0,54,0.829242
1.0,148,0.864274
0.0,229,0.918489
0.0,228,0.973176
0.0,15,0.976762
0.0,174,1.01868
0.0,11,1.021371
0.0,587,1.161242
0.0,24,1.166945
1.0,157,1.204603
0.0,175,1.246862
0.0,355,1.331501
1.0,29,1.338507
0.0,34,1.346583
0.0,326,1.424041
0.0,192,1.470837
1.0,25,1.476898
0.0,100,1.500733
0.0,190,1.546054
0.0,877,1.756636
1.0,19,1.761353
0.0,81,1.780518
0.0,2,1.781016
0.0,61,1.79557
1.0,29,1.802543
0.0,58,1.816656
1.0,326,1.894189
0.0,147,1.929443
1.0,11,1.932392
1.0,132,1.964432
0.0,304,2.036764
0.0,42,2.046701
1.0,11,2.049314
1.0,132,2.080715
0.0,45,2.091553
0.0,20,2.096312
1.0,18,2.10058
1.0,118,2.128596
0.0,13,2.131708
0.0,450,2.239806
0.0,7,2.241723
0.0,126,2.271944
0.0,33,2.279875
0.0,70,2.296508
0.0,4,2.297485
0.0,180,2.340254
0.0,519,2.46449
0.0,781,2.65078
1.0,11,2.653414
1.0,101,2.678024
0.0,45,2.688634
0.0,186,2.732595
1.0,11,2.735323
1.0,103,2.760047
0.0,8,2.761967
0.0,36,2.77049
1.0,11,2.773185
1.0,72,2.790242
0.0,34,2.798295
0.0,161,2.836421
1.0,16,2.840236
1.0,56,2.853596
1.0,101,2.877839
0.0,61,2.892759
0.0,4,2.893773
1.0,62,2.908966
0.0,144,2.943193
0.0,314,3.018032
1.0,15,3.021612
1.0,35,3.029888
0.0,23,3.035497
0.0,95,3.058124
1.0,11,3.060751
1.0,99,3.084324
1.0,35,3.092627
1.0,19,3.097151
1.0,11,3.099787
0.0,77,3.118446
0.0,46,3.129717
1.0,20,3.134582
0.0,6,3.136171
1.0,35,3.144552
1.0,73,3.162273
1.0,17,3.166379
1.0,11,3.169009
0.0,15,3.17257
1.0,121,3.201424
1.0,17,3.205491
1.0,11,3.208124
1.0,61,3.222612
0.0,133,3.254534
1.0,24,3.260484
1.0,15,3.264175
1.0,51,3.276297
1.0,40,3.285842
0.0,13,3.288949
1.0,11,3.291585
0.0,36,3.300359
0.0,25,3.306335
1.0,19,3.310887
1.0,14,3.314237
1.0,31,3.321633
0.0,43,3.331835
1.0,20,3.336619
1.0,11,3.339375
1.0,29,3.346286
1.0,88,3.367864
1.0,20,3.372651
0.0,9,3.374925
1.0,32,3.383067
1.0,59,3.397142
1.0,17,3.401279
1.0,11,3.403918
0.0,16,3.40772
1.0,40,3.417326
1.0,19,3.421903
1.0,11,3.424548
1.0,28,3.431229
1.0,81,3.450472
0.0,13,3.453699
1.0,11,3.456347
0.0,9,3.45851
1.0,44,3.469025
1.0,21,3.474053
0.0,2,3.474549
1.0,31,3.481937
1.0,28,3.488613
1.0,20,3.49348
1.0,11,3.496122
1.0,27,3.502631
0.0,20,3.507397
0.0,8,3.50932
1.0,15,3.512913
1.0,34,3.521022
1.0,28,3.527774
1.0,17,3.531848
1.0,11,3.534501
0.0,15,3.538079
1.0,71,3.554924
1.0,17,3.558989
1.0,13,3.562099
1.0,65,3.577706
1.0,75,3.595809
0.0,13,3.599192
1.0,11,3.601959
1.0,24,3.607842
0.0,8,3.609774
1.0,17,3.613882
1.0,11,3.61656
