episodes,steps,total reward
23,1000,1.0
33,2000,1.0
45,3000,3.0
54,4000,4.0
68,5000,3.0
75,6000,3.0
85,7000,4.0
95,8000,3.0
98,9000,2.0
107,10000,4.0
121,11000,5.0
127,12000,5.0
147,13000,10.0
170,14000,12.0
187,15000,12.0
202,16000,9.0
219,17000,12.0
235,18000,11.0
247,19000,6.0
267,20000,13.0
279,21000,9.0
294,22000,13.0
342,23000,37.0
363,24000,17.0
411,25000,42.0
462,26000,40.0
511,27000,39.0
552,28000,33.0
598,29000,37.0
646,30000,40.0
687,31000,37.0
732,32000,42.0
783,33000,38.0
833,34000,42.0
879,35000,40.0
930,36000,38.0
977,37000,40.0
1024,38000,38.0
1069,39000,40.0
1115,40000,39.0
1165,41000,41.0
1211,42000,42.0
1257,43000,40.0
1310,44000,37.0
1360,45000,40.0
1408,46000,40.0
1458,47000,38.0
1506,48000,42.0
1555,49000,38.0
1604,50000,41.0
1650,51000,42.0
1693,52000,43.0
1743,53000,40.0
1794,54000,37.0
1839,55000,40.0
1886,56000,40.0
1933,57000,39.0
1980,58000,42.0
2029,59000,36.0
2075,60000,42.0
2123,61000,37.0
2172,62000,39.0
2218,63000,40.0
2262,64000,39.0
2310,65000,43.0
2360,66000,39.0
2411,67000,38.0
2459,68000,38.0
2507,69000,39.0
2558,70000,41.0
2605,71000,40.0
2654,72000,42.0
2705,73000,39.0
2756,74000,40.0
2806,75000,40.0
2857,76000,36.0
2905,77000,42.0
2955,78000,40.0
3002,79000,40.0
3052,80000,42.0
3101,81000,41.0
3146,82000,42.0
3199,83000,36.0
3247,84000,40.0
3295,85000,38.0
3343,86000,39.0
3393,87000,42.0
3442,88000,43.0
3493,89000,38.0
3538,90000,39.0
3585,91000,42.0
3634,92000,37.0
3686,93000,39.0
3731,94000,37.0
3780,95000,41.0
3831,96000,37.0
3885,97000,37.0
3932,98000,36.0
3982,99000,38.0
4030,100000,40.0
