# {"t_start": 1641622877.644047, "env_id": "Office-single-v0"} 
r,l,t
0.0,7,0.001447
0.0,29,0.006214
0.0,36,0.012392
0.0,18,0.015665
0.0,27,0.020106
0.0,7,0.021217
0.0,51,0.029221
0.0,33,0.03438
0.0,42,0.041437
0.0,102,0.057296
0.0,33,0.06243
0.0,15,0.064736
0.0,89,0.078475
0.0,13,0.080489
0.0,98,0.095538
0.0,14,0.097709
0.0,14,0.099965
0.0,45,0.106869
0.0,19,0.109803
0.0,78,0.121814
0.0,71,0.132826
0.0,124,0.151896
0.0,127,0.171646
0.0,81,0.185042
0.0,172,0.212538
0.0,5,0.213465
0.0,161,0.238313
0.0,88,0.251874
0.0,13,0.253863
0.0,98,0.268726
0.0,23,0.272221
0.0,94,0.286452
0.0,155,0.310211
0.0,106,0.327043
0.0,56,0.335517
0.0,18,0.338452
0.0,708,0.448849
0.0,43,0.455443
0.0,1000,0.609998
0.0,164,0.635535
0.0,56,0.644403
0.0,136,0.66603
0.0,35,0.671572
0.0,423,0.736308
0.0,102,0.752057
0.0,18,0.754783
0.0,180,0.782937
0.0,292,0.830431
0.0,37,0.836163
0.0,16,0.838615
0.0,89,0.852212
0.0,96,0.866885
0.0,24,0.870534
0.0,52,0.878481
0.0,158,0.90253
0.0,177,0.929569
0.0,63,0.939747
0.0,142,0.962546
0.0,62,0.972136
0.0,257,1.012249
0.0,169,1.038169
0.0,93,1.05256
0.0,94,1.066834
0.0,188,1.095647
0.0,5,1.096431
0.0,364,1.153891
0.0,246,1.191287
0.0,59,1.200355
0.0,784,1.323829
0.0,64,1.333498
0.0,616,1.432666
0.0,189,1.46406
0.0,76,1.475845
0.0,649,1.576715
0.0,14,1.578984
0.0,48,1.586329
0.0,215,1.619993
0.0,20,1.623095
0.0,457,1.692676
0.0,267,1.734692
0.0,8,1.736119
0.0,9,1.737547
0.0,8,1.738811
0.0,95,1.753829
0.0,131,1.774448
0.0,209,1.806396
0.0,54,1.814802
0.0,18,1.817571
0.0,145,1.839764
0.0,27,1.843859
0.0,28,1.848149
0.0,111,1.865113
0.0,41,1.871391
0.0,62,1.881293
0.0,61,1.890683
0.0,104,1.907938
0.0,88,1.921737
0.0,140,1.943069
0.0,148,1.965848
0.0,147,1.988571
0.0,433,2.0568
0.0,248,2.095126
0.0,305,2.141663
0.0,614,2.23714
0.0,340,2.29053
0.0,89,2.304778
0.0,24,2.308634
0.0,363,2.367127
0.0,620,2.464474
0.0,22,2.467888
0.0,215,2.50183
0.0,726,2.614902
0.0,83,2.627478
0.0,140,2.648958
0.0,288,2.695898
0.0,35,2.701227
0.0,45,2.70818
0.0,15,2.710921
0.0,266,2.751904
0.0,121,2.770421
0.0,54,2.778611
0.0,301,2.825124
0.0,530,2.907768
0.0,30,2.912355
0.0,53,2.920362
1.0,84,2.933084
0.0,429,2.999933
0.0,8,3.001186
1.0,273,3.043489
1.0,76,3.055192
0.0,9,3.056579
0.0,80,3.068729
0.0,15,3.071017
0.0,10,3.072554
0.0,25,3.076383
0.0,212,3.10869
1.0,41,3.115002
0.0,168,3.14105
1.0,54,3.151124
1.0,62,3.160708
0.0,8,3.162011
1.0,61,3.171849
0.0,668,3.275711
0.0,20,3.279003
1.0,27,3.283165
1.0,27,3.287255
1.0,30,3.292017
0.0,39,3.298228
0.0,37,3.304035
0.0,16,3.306956
1.0,31,3.311827
0.0,62,3.32189
0.0,33,3.327106
0.0,8,3.328353
0.0,41,3.334773
0.0,304,3.382067
1.0,29,3.38663
1.0,30,3.391392
0.0,21,3.394673
1.0,31,3.399633
1.0,25,3.403478
0.0,11,3.405154
1.0,29,3.409572
1.0,28,3.413804
0.0,13,3.415787
0.0,24,3.419461
1.0,27,3.423549
1.0,31,3.428414
0.0,20,3.431498
1.0,29,3.436244
0.0,13,3.43826
0.0,247,3.477404
0.0,16,3.479888
1.0,29,3.484376
1.0,27,3.488563
1.0,27,3.492972
1.0,35,3.498474
1.0,25,3.502412
1.0,27,3.506513
0.0,22,3.510194
0.0,6,3.511124
1.0,28,3.515353
0.0,24,3.519023
1.0,28,3.523308
1.0,26,3.527352
0.0,10,3.528888
0.0,11,3.53057
1.0,29,3.534995
1.0,28,3.539244
1.0,33,3.544398
1.0,28,3.548682
1.0,28,3.552929
0.0,24,3.556711
0.0,6,3.557639
1.0,25,3.561514
1.0,35,3.566847
1.0,25,3.570826
1.0,31,3.575528
1.0,36,3.581128
1.0,25,3.584926
1.0,28,3.589234
1.0,27,3.593623
1.0,28,3.597964
0.0,15,3.60025
0.0,21,3.603576
1.0,25,3.607379
0.0,26,3.611726
0.0,15,3.614057
1.0,25,3.618494
1.0,29,3.622956
1.0,25,3.626835
0.0,24,3.630495
0.0,9,3.632102
1.0,27,3.636439
1.0,27,3.640604
0.0,8,3.641877
1.0,26,3.645962
1.0,31,3.650744
0.0,8,3.651977
1.0,31,3.656847
0.0,4,3.657474
1.0,25,3.661313
1.0,26,3.6653
1.0,29,3.669694
1.0,29,3.674181
1.0,35,3.67952
1.0,27,3.683616
1.0,29,3.688163
1.0,25,3.692882
1.0,26,3.69691
