episodes,steps,total reward
19,1000,0.0
33,2000,0.0
40,3000,0.0
47,4000,0.0
49,5000,0.0
57,6000,0.0
65,7000,0.0
68,8000,0.0
77,9000,0.0
82,10000,0.0
85,11000,0.0
88,12000,1.0
94,13000,1.0
100,14000,0.0
105,15000,0.0
108,16000,0.0
116,17000,0.0
122,18000,0.0
125,19000,0.0
133,20000,0.0
137,21000,1.0
141,22000,1.0
156,23000,3.0
189,24000,23.0
218,25000,22.0
239,26000,15.0
268,27000,24.0
307,28000,26.0
347,29000,29.0
382,30000,27.0
418,31000,28.0
452,32000,32.0
488,33000,28.0
524,34000,29.0
562,35000,27.0
600,36000,27.0
642,37000,27.0
680,38000,26.0
719,39000,28.0
757,40000,29.0
795,41000,29.0
835,42000,28.0
874,43000,28.0
911,44000,31.0
946,45000,30.0
982,46000,27.0
1018,47000,30.0
1054,48000,29.0
1094,49000,28.0
1132,50000,30.0
1169,51000,30.0
1212,52000,26.0
1249,53000,29.0
1285,54000,28.0
1323,55000,27.0
1359,56000,27.0
1399,57000,28.0
1437,58000,26.0
1473,59000,28.0
1509,60000,31.0
1549,61000,28.0
1589,62000,27.0
1628,63000,31.0
1662,64000,29.0
1700,65000,29.0
1739,66000,29.0
1776,67000,28.0
1810,68000,31.0
1849,69000,30.0
1887,70000,28.0
1928,71000,27.0
1965,72000,28.0
2004,73000,31.0
2042,74000,26.0
2077,75000,31.0
2114,76000,25.0
2150,77000,29.0
2187,78000,31.0
2223,79000,28.0
2258,80000,27.0
2288,81000,22.0
2322,82000,25.0
2359,83000,28.0
2400,84000,27.0
2438,85000,26.0
2474,86000,28.0
2512,87000,26.0
2549,88000,30.0
2587,89000,26.0
2625,90000,28.0
2663,91000,27.0
2699,92000,28.0
2736,93000,27.0
2772,94000,30.0
2808,95000,31.0
2845,96000,28.0
2883,97000,31.0
2919,98000,29.0
2959,99000,27.0
2997,100000,29.0
