# {"t_start": 1641375058.5888326, "env_id": "Office-single-v0"} 
r,l,t
0.0,5,0.001617
0.0,54,0.014756
0.0,24,0.019964
0.0,15,0.023319
0.0,6,0.025108
0.0,26,0.030666
0.0,49,0.041385
0.0,51,0.052183
0.0,84,0.070291
0.0,7,0.071802
0.0,39,0.080233
0.0,127,0.107851
0.0,17,0.11302
0.0,50,0.123947
0.0,32,0.13089
0.0,2,0.131348
0.0,105,0.154036
0.0,54,0.165649
0.0,53,0.177008
0.0,85,0.195339
0.0,75,0.211654
0.0,110,0.235908
0.0,131,0.264386
0.0,157,0.298102
0.0,134,0.326966
0.0,16,0.330427
0.0,23,0.335339
0.0,180,0.374791
0.0,83,0.392681
0.0,165,0.428027
0.0,87,0.446811
0.0,33,0.45429
0.0,221,0.502362
0.0,283,0.563257
0.0,36,0.571089
0.0,216,0.618186
0.0,137,0.647812
0.0,36,0.655849
0.0,217,0.703772
0.0,49,0.714348
0.0,686,0.863269
0.0,108,0.887119
0.0,101,0.909216
0.0,43,0.918596
0.0,188,0.959204
0.0,6,0.960527
0.0,69,0.975581
0.0,98,0.996962
0.0,46,1.006883
0.0,522,1.120367
0.0,10,1.122753
0.0,50,1.133825
0.0,79,1.150983
0.0,5,1.152129
0.0,9,1.154092
0.0,13,1.156909
0.0,100,1.17854
0.0,234,1.229459
0.0,17,1.233255
0.0,149,1.265692
0.0,38,1.273913
0.0,49,1.284573
0.0,503,1.395217
0.0,33,1.402476
0.0,20,1.406812
0.0,183,1.448651
0.0,104,1.471131
0.0,528,1.587086
0.0,163,1.622243
0.0,121,1.648406
0.0,78,1.66534
0.0,170,1.702117
0.0,43,1.711397
0.0,45,1.721165
0.0,154,1.754885
0.0,268,1.813793
0.0,301,1.879626
0.0,30,1.886146
0.0,257,1.941809
0.0,263,2.000079
0.0,351,2.076588
0.0,425,2.168829
0.0,64,2.182641
0.0,25,2.188556
0.0,265,2.246969
0.0,44,2.2565
1.0,318,2.325326
0.0,368,2.406358
0.0,45,2.416214
0.0,19,2.420366
0.0,42,2.429808
0.0,10,2.43199
0.0,60,2.445105
0.0,34,2.452739
0.0,281,2.514014
0.0,165,2.549892
0.0,136,2.579317
0.0,36,2.587103
0.0,39,2.595509
0.0,398,2.682997
0.0,16,2.686528
0.0,148,2.718508
0.0,314,2.786616
0.0,475,2.891209
0.0,163,2.92642
0.0,14,2.929474
0.0,63,2.943139
0.0,13,2.945956
0.0,22,2.950749
0.0,396,3.037303
0.0,315,3.106427
0.0,14,3.109471
0.0,12,3.112093
0.0,24,3.117383
0.0,214,3.163716
0.0,43,3.173024
0.0,149,3.205395
0.0,308,3.272067
0.0,16,3.27579
0.0,288,3.338874
0.0,447,3.436184
0.0,34,3.443593
0.0,39,3.452026
0.0,243,3.505671
0.0,15,3.508948
0.0,62,3.522686
0.0,43,3.532322
0.0,234,3.583243
0.0,9,3.585218
0.0,302,3.651367
0.0,36,3.659163
0.0,260,3.715762
0.0,74,3.732086
0.0,12,3.734703
0.0,262,3.792186
0.0,296,3.856838
0.0,135,3.886301
0.0,75,3.902533
0.0,52,3.913774
0.0,142,3.945258
0.0,73,3.961198
0.0,173,3.999694
0.0,197,4.042354
0.0,36,4.050168
0.0,88,4.06921
0.0,29,4.075501
0.0,105,4.098529
0.0,61,4.111882
0.0,255,4.16779
0.0,478,4.272778
0.0,597,4.403997
0.0,497,4.512448
0.0,82,4.530207
0.0,62,4.543844
0.0,99,4.565836
0.0,226,4.615755
0.0,21,4.620462
0.0,131,4.649185
0.0,4,4.650078
0.0,43,4.659377
0.0,16,4.662891
0.0,115,4.687777
