episodes,steps,total reward
19,1000,1.0
30,2000,1.0
34,3000,1.0
40,4000,2.0
49,5000,1.0
62,6000,2.0
70,7000,1.0
78,8000,4.0
91,9000,3.0
99,10000,1.0
106,11000,3.0
121,12000,7.0
138,13000,8.0
150,14000,5.0
159,15000,5.0
166,16000,2.0
179,17000,8.0
181,18000,1.0
195,19000,9.0
211,20000,7.0
231,21000,12.0
239,22000,5.0
257,23000,13.0
283,24000,18.0
301,25000,10.0
323,26000,13.0
349,27000,14.0
367,28000,10.0
379,29000,5.0
408,30000,19.0
427,31000,14.0
447,32000,14.0
451,33000,3.0
459,34000,5.0
478,35000,15.0
503,36000,19.0
530,37000,18.0
554,38000,17.0
596,39000,34.0
641,40000,33.0
683,41000,31.0
722,42000,32.0
763,43000,32.0
805,44000,32.0
847,45000,25.0
897,46000,30.0
941,47000,37.0
986,48000,36.0
1031,49000,37.0
1067,50000,30.0
1097,51000,20.0
1141,52000,32.0
1186,53000,33.0
1229,54000,34.0
1271,55000,32.0
1313,56000,34.0
1356,57000,34.0
1397,58000,37.0
1442,59000,34.0
1488,60000,33.0
1530,61000,35.0
1572,62000,30.0
1621,63000,32.0
1660,64000,33.0
1703,65000,34.0
1746,66000,33.0
1790,67000,33.0
1837,68000,33.0
1876,69000,35.0
1915,70000,33.0
1959,71000,34.0
1998,72000,35.0
2039,73000,33.0
2082,74000,33.0
2124,75000,33.0
2167,76000,34.0
2206,77000,35.0
2248,78000,37.0
2287,79000,34.0
2331,80000,33.0
2375,81000,34.0
2415,82000,36.0
2458,83000,34.0
2502,84000,32.0
2544,85000,34.0
2586,86000,34.0
2631,87000,34.0
2671,88000,33.0
2715,89000,35.0
2755,90000,34.0
2801,91000,33.0
2844,92000,34.0
2887,93000,33.0
2926,94000,33.0
2971,95000,33.0
3019,96000,34.0
3061,97000,33.0
3107,98000,34.0
3149,99000,34.0
3191,100000,34.0
