episodes,steps,total reward
21,1000,0.0
33,2000,0.0
37,3000,0.0
41,4000,0.0
45,5000,0.0
52,6000,0.0
60,7000,0.0
64,8000,0.0
67,9000,0.0
68,10000,0.0
71,11000,0.0
84,12000,0.0
90,13000,0.0
94,14000,0.0
98,15000,0.0
109,16000,1.0
113,17000,0.0
120,18000,0.0
123,19000,0.0
128,20000,0.0
133,21000,0.0
143,22000,0.0
149,23000,2.0
152,24000,0.0
161,25000,2.0
163,26000,0.0
166,27000,0.0
175,28000,1.0
179,29000,1.0
191,30000,2.0
198,31000,1.0
208,32000,3.0
219,33000,1.0
231,34000,5.0
244,35000,8.0
270,36000,15.0
293,37000,16.0
314,38000,10.0
341,39000,18.0
373,40000,20.0
399,41000,20.0
409,42000,7.0
432,43000,17.0
460,44000,23.0
491,45000,16.0
517,46000,13.0
547,47000,21.0
572,48000,16.0
598,49000,20.0
626,50000,21.0
654,51000,18.0
683,52000,19.0
710,53000,20.0
739,54000,16.0
767,55000,16.0
797,56000,20.0
827,57000,17.0
856,58000,21.0
889,59000,18.0
919,60000,17.0
952,61000,19.0
983,62000,17.0
1011,63000,20.0
1037,64000,18.0
1066,65000,20.0
1095,66000,17.0
1121,67000,21.0
1150,68000,21.0
1174,69000,22.0
1200,70000,21.0
1228,71000,20.0
1254,72000,21.0
1283,73000,19.0
1313,74000,18.0
1341,75000,18.0
1372,76000,20.0
1402,77000,18.0
1429,78000,21.0
1457,79000,20.0
1483,80000,18.0
1510,81000,22.0
1538,82000,18.0
1564,83000,21.0
1594,84000,17.0
1625,85000,20.0
1654,86000,18.0
1682,87000,19.0
1711,88000,19.0
1740,89000,19.0
1766,90000,24.0
1798,91000,19.0
1821,92000,15.0
1851,93000,19.0
1880,94000,19.0
1913,95000,18.0
1942,96000,19.0
1971,97000,18.0
1999,98000,21.0
2027,99000,20.0
2057,100000,17.0
