# {"t_start": 1641645328.961948, "env_id": "Office-v0"} 
r,l,t
0.0,31,0.013457
0.0,6,0.015707
0.0,81,0.040883
0.0,8,0.043351
0.0,24,0.050842
0.0,20,0.057579
0.0,24,0.064866
0.0,49,0.079946
0.0,28,0.088529
0.0,20,0.094925
0.0,23,0.102128
0.0,11,0.105536
0.0,55,0.122511
0.0,111,0.156931
0.0,42,0.170016
0.0,80,0.194745
0.0,33,0.205012
0.0,59,0.222867
0.0,24,0.230034
0.0,126,0.268943
0.0,46,0.282922
0.0,138,0.325691
0.0,75,0.349469
0.0,77,0.372916
0.0,24,0.380177
0.0,36,0.391005
0.0,83,0.416207
0.0,22,0.422811
0.0,2,0.423445
0.0,225,0.491888
0.0,74,0.514806
0.0,221,0.581686
1.0,48,0.59644
0.0,74,0.618845
0.0,102,0.651337
0.0,193,0.710416
1.0,409,0.835932
0.0,32,0.845678
0.0,75,0.868633
0.0,265,0.950954
1.0,90,0.979143
0.0,53,0.995286
1.0,282,1.082185
0.0,37,1.093558
0.0,9,1.096339
1.0,229,1.166994
0.0,15,1.171702
0.0,275,1.25689
1.0,47,1.271884
0.0,123,1.310056
1.0,454,1.449685
0.0,69,1.470729
0.0,27,1.478989
0.0,76,1.502558
0.0,44,1.516151
0.0,153,1.563661
1.0,116,1.599943
0.0,15,1.604699
0.0,24,1.611995
0.0,203,1.674126
1.0,42,1.687091
0.0,78,1.710952
0.0,16,1.716022
0.0,33,1.72633
1.0,81,1.751227
0.0,33,1.761805
0.0,16,1.766675
0.0,341,1.872996
1.0,66,1.89384
0.0,5,1.895442
1.0,117,1.931703
0.0,117,1.967614
1.0,113,2.002949
0.0,196,2.063287
0.0,161,2.112627
0.0,429,2.24567
0.0,6,2.247687
1.0,130,2.28756
0.0,330,2.389195
0.0,426,2.522024
1.0,84,2.548249
0.0,41,2.560815
0.0,229,2.632988
0.0,8,2.635485
1.0,14,2.639852
0.0,112,2.674797
0.0,22,2.681618
0.0,589,2.86404
1.0,11,2.867422
0.0,36,2.878584
0.0,133,2.92008
0.0,52,2.936331
1.0,11,2.939741
1.0,177,2.994263
0.0,331,3.096016
0.0,61,3.115696
1.0,12,3.119568
1.0,141,3.163586
0.0,23,3.170669
0.0,49,3.186433
1.0,13,3.190496
0.0,50,3.206155
1.0,117,3.242685
