# {"t_start": 1641645488.6808634, "env_id": "Office-single-v0"} 
r,l,t
0.0,4,0.001075
0.0,4,0.001927
0.0,40,0.010332
0.0,68,0.022009
0.0,25,0.026115
0.0,15,0.028447
0.0,22,0.031948
0.0,42,0.038849
0.0,49,0.046412
0.0,14,0.048569
0.0,61,0.058069
0.0,83,0.070673
0.0,67,0.080812
0.0,33,0.085884
0.0,75,0.097411
0.0,37,0.103307
0.0,57,0.112222
0.0,124,0.131407
0.0,74,0.142788
0.0,126,0.162306
0.0,118,0.180991
0.0,80,0.193443
0.0,130,0.21385
0.0,92,0.228138
0.0,235,0.26459
0.0,27,0.268765
0.0,37,0.274449
0.0,103,0.2903
0.0,43,0.296929
0.0,80,0.309216
0.0,91,0.323588
0.0,116,0.341832
0.0,88,0.355573
0.0,153,0.379204
0.0,531,0.461368
0.0,83,0.474395
0.0,14,0.476537
0.0,271,0.519241
0.0,339,0.571677
0.0,233,0.607453
0.0,29,0.611881
0.0,2,0.612219
0.0,616,0.708023
0.0,304,0.754506
0.0,110,0.771405
0.0,60,0.780813
0.0,15,0.783144
0.0,8,0.784393
0.0,183,0.81313
0.0,36,0.818711
0.0,172,0.845493
0.0,17,0.848112
0.0,297,0.893778
0.0,66,0.903929
0.0,121,0.922587
0.0,31,0.927388
0.0,94,0.942066
0.0,6,0.943009
0.0,46,0.950175
0.0,8,0.951432
0.0,70,0.962488
0.0,11,0.964282
0.0,349,1.018384
0.0,27,1.022535
0.0,397,1.084141
0.0,395,1.14624
0.0,589,1.237026
0.0,75,1.248751
0.0,515,1.328933
0.0,79,1.341095
0.0,25,1.344931
0.0,29,1.349375
0.0,651,1.450563
0.0,175,1.477287
0.0,224,1.511608
0.0,146,1.534068
0.0,78,1.546041
0.0,282,1.590157
0.0,476,1.665085
0.0,66,1.675123
0.0,55,1.683543
0.0,32,1.688504
0.0,101,1.704035
0.0,262,1.745047
0.0,76,1.757035
0.0,102,1.772644
0.0,338,1.824321
0.0,14,1.826502
0.0,8,1.82778
0.0,271,1.869776
0.0,69,1.880443
0.0,101,1.89647
0.0,141,1.918686
0.0,136,1.93956
0.0,51,1.947562
0.0,177,1.974691
0.0,89,1.988411
0.0,1000,2.144176
0.0,65,2.154129
0.0,204,2.185587
0.0,75,2.197096
0.0,191,2.226966
1.0,235,2.263378
0.0,51,2.271151
0.0,507,2.349182
0.0,464,2.421387
0.0,47,2.428547
1.0,265,2.469179
0.0,44,2.476011
0.0,47,2.483214
0.0,36,2.488985
0.0,471,2.562449
0.0,20,2.56554
0.0,55,2.573994
0.0,18,2.576772
0.0,162,2.601687
0.0,240,2.638574
0.0,31,2.643656
0.0,151,2.667331
0.0,249,2.706085
0.0,188,2.735243
0.0,342,2.788
0.0,48,2.795428
0.0,4,2.796078
0.0,218,2.830611
0.0,442,2.900532
0.0,24,2.904258
0.0,131,2.924587
0.0,123,2.943543
0.0,206,2.976254
0.0,287,3.021507
0.0,22,3.024981
0.0,736,3.139631
0.0,49,3.147461
0.0,15,3.149905
0.0,386,3.209788
0.0,177,3.237035
0.0,105,3.253209
0.0,556,3.340877
0.0,81,3.353427
0.0,24,3.357158
0.0,11,3.358881
0.0,191,3.388391
1.0,126,3.407859
0.0,287,3.453255
0.0,198,3.484054
0.0,44,3.490903
0.0,230,3.526586
0.0,121,3.545368
1.0,105,3.561497
0.0,306,3.610043
0.0,151,3.633727
0.0,117,3.651792
0.0,66,3.66192
0.0,29,3.666371
0.0,126,3.685705
0.0,24,3.689382
0.0,44,3.696141
0.0,123,3.714952
0.0,125,3.734386
0.0,147,3.757344
0.0,179,3.785287
0.0,760,3.90181
0.0,52,3.909869
0.0,640,4.008392
0.0,890,4.146171
0.0,226,4.181598
0.0,77,4.193516
1.0,130,4.213843
0.0,76,4.225717
0.0,60,4.235293
0.0,4,4.235956
0.0,68,4.246423
0.0,75,4.258
0.0,198,4.288546
0.0,31,4.293309
0.0,16,4.295768
0.0,15,4.298128
1.0,87,4.311455
0.0,433,4.378863
0.0,21,4.382169
0.0,430,4.448675
0.0,8,4.449931
1.0,69,4.460471
0.0,91,4.474443
0.0,49,4.482068
0.0,36,4.48758
0.0,94,4.50195
0.0,200,4.533142
0.0,322,4.58338
0.0,135,4.604192
0.0,21,4.607427
1.0,75,4.619036
1.0,103,4.63495
0.0,251,4.674011
0.0,30,4.678622
0.0,37,4.684577
0.0,11,4.686292
